"Net generation for electric power"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=fttb&geo=00fvvvvvvvvvo&sec=008&linechart=ELEC.GEN.COW-CT-98.A&columnchart=ELEC.GEN.COW-CT-98.A&map=ELEC.GEN.COW-CT-98.A&freq=A&start=2010&end=2016&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0"
"Fri Aug 18 2017 17:48:24 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2010","2011","2012","2013","2014","2015","2016"
"Massachusetts : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-MA-98.A",-337,-440,-308,-368,-458,-474,-500
"Massachusetts : other","thousand megawatthours","ELEC.GEN.OTH-MA-98.A",771,860,877,876,878,868,886
"Massachusetts : all solar",,"ELEC.GEN.TSN-MA-98.A",,,,,,,
"Massachusetts : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-MA-98.A","--","--","--","--","--","--","--"
"Massachusetts : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-MA-98.A",1,4,29,106,301,448,700
"New Hampshire",,"ELEC.GEN..A",,,,,,,
"New Hampshire : all fuels (utility-scale)",,"ELEC.GEN.ALL-NH-98.A",,,,,,,
"New Hampshire : coal","thousand megawatthours","ELEC.GEN.COW-NH-98.A",3083,2208,1268,1464,1311,937,422
"New Hampshire : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-NH-98.A",52,57,20,90,271,160,22
"New Hampshire : petroleum coke","thousand megawatthours","ELEC.GEN.PC-NH-98.A","--","--","--","--","--","--","--"
"New Hampshire : natural gas","thousand megawatthours","ELEC.GEN.NG-NH-98.A",5337,6631,7005,4055,4343,5998,4689
"New Hampshire : other gases","thousand megawatthours","ELEC.GEN.OOG-NH-98.A","--","--","--","--","--","--","--"
"New Hampshire : nuclear","thousand megawatthours","ELEC.GEN.NUC-NH-98.A",10910,8363,8189,10927,10168,9484,10761
"New Hampshire : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-NH-98.A",1472,1600,1247,1427,1381,1270,1121
"New Hampshire : other renewables",,"ELEC.GEN.AOR-NH-98.A",,,,,,,
"New Hampshire : wind","thousand megawatthours","ELEC.GEN.WND-NH-98.A",76,66,209,389,412,423,447
"New Hampshire : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NH-98.A","--","--","--","--","--","--","--"
"New Hampshire : geothermal","thousand megawatthours","ELEC.GEN.GEO-NH-98.A","--","--","--","--","--","--","--"
"New Hampshire : biomass","thousand megawatthours","ELEC.GEN.BIO-NH-98.A",1156,1025,1142,1266,1503,1589,1645
"New Hampshire : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-NH-98.A","--","--","--","--","--","--","--"
"New Hampshire : other","thousand megawatthours","ELEC.GEN.OTH-NH-98.A",57,64,66,61,50,50,54
"New Hampshire : all solar",,"ELEC.GEN.TSN-NH-98.A",,,,,,,
"New Hampshire : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-NH-98.A","--","--","--","--","--","--","--"
"New Hampshire : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NH-98.A","--","--","--","--","--","--","--"
"Rhode Island",,"ELEC.GEN..A",,,,,,,
"Rhode Island : all fuels (utility-scale)",,"ELEC.GEN.ALL-RI-98.A",,,,,,,
"Rhode Island : coal","thousand megawatthours","ELEC.GEN.COW-RI-98.A","--","--","--","--",0,0,0
