"Net generation for electric power"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=fttb&geo=00fvvvvvvvvvo&sec=008&linechart=ELEC.GEN.COW-CT-98.A&columnchart=ELEC.GEN.COW-CT-98.A&map=ELEC.GEN.COW-CT-98.A&freq=A&start=2010&end=2016&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0"
"Fri Aug 18 2017 17:48:24 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2010","2011","2012","2013","2014","2015","2016"
"Michigan : other gases","thousand megawatthours","ELEC.GEN.OOG-MI-98.A",299,269,315,957,1120,1213,1615
"Michigan : nuclear","thousand megawatthours","ELEC.GEN.NUC-MI-98.A",29625,32889,28020,28921,31246,29334,31552
"Michigan : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-MI-98.A",1222,1328,1181,1390,1571,1469,1518
"Michigan : other renewables",,"ELEC.GEN.AOR-MI-98.A",,,,,,,
"Michigan : wind","thousand megawatthours","ELEC.GEN.WND-MI-98.A",360,456,1132,2800,3868,4797,4693
"Michigan : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-MI-98.A","--","--","--","--","--",1,17
"Michigan : geothermal","thousand megawatthours","ELEC.GEN.GEO-MI-98.A","--","--","--","--","--","--","--"
"Michigan : biomass","thousand megawatthours","ELEC.GEN.BIO-MI-98.A",1625,1665,1652,1747,1852,1609,1685
"Michigan : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-MI-98.A",-1023,-945,-773,-871,-701,-481,-752
"Michigan : other","thousand megawatthours","ELEC.GEN.OTH-MI-98.A",187,183,183,153,184,192,160
"Michigan : all solar",,"ELEC.GEN.TSN-MI-98.A",,,,,,,
"Michigan : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-MI-98.A","--","--","--","--","--","--","--"
"Michigan : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-MI-98.A","--","--","--","--","--",1,17
"Ohio",,"ELEC.GEN..A",,,,,,,
"Ohio : all fuels (utility-scale)",,"ELEC.GEN.ALL-OH-98.A",,,,,,,
"Ohio : coal","thousand megawatthours","ELEC.GEN.COW-OH-98.A",117484,105021,85346,94341,89639,71497,68795
"Ohio : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-OH-98.A",296,312,256,224,302,214,211
"Ohio : petroleum coke","thousand megawatthours","ELEC.GEN.PC-OH-98.A",1054,1075,1020,1140,939,1088,955
"Ohio : natural gas","thousand megawatthours","ELEC.GEN.NG-OH-98.A",7083,12104,22285,21461,23491,27833,28646
"Ohio : other gases","thousand megawatthours","ELEC.GEN.OOG-OH-98.A",105,116,350,746,725,748,696
"Ohio : nuclear","thousand megawatthours","ELEC.GEN.NUC-OH-98.A",15805,14890,17087,16121,16284,17377,16817
"Ohio : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-OH-98.A",429,384,414,549,478,457,517
"Ohio : other renewables",,"ELEC.GEN.AOR-OH-98.A",,,,,,,
"Ohio : wind","thousand megawatthours","ELEC.GEN.WND-OH-98.A",13,197,973,1117,1118,1169,1195
"Ohio : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-OH-98.A",13,15,36,43,51,51,74
"Ohio : geothermal","thousand megawatthours","ELEC.GEN.GEO-OH-98.A","--","--","--","--","--","--","--"
"Ohio : biomass","thousand megawatthours","ELEC.GEN.BIO-OH-98.A",291,340,377,488,478,480,507
"Ohio : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-OH-98.A","--","--","--","--","--","--","--"
"Ohio : other","thousand megawatthours","ELEC.GEN.OTH-OH-98.A",0,0,"--",-2,-11,-11,11
"Ohio : all solar",,"ELEC.GEN.TSN-OH-98.A",,,,,,,
"Ohio : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-OH-98.A","--","--","--","--","--","--","--"
"Ohio : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-OH-98.A",13,15,36,43,51,51,74
"Wisconsin",,"ELEC.GEN..A",,,,,,,
"Wisconsin : all fuels (utility-scale)",,"ELEC.GEN.ALL-WI-98.A",,,,,,,
"Wisconsin : coal","thousand megawatthours","ELEC.GEN.COW-WI-98.A",39186,38984,31909,39824,36597,36499,32927
"Wisconsin : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-WI-98.A",33,34,38,27,47,25,25
"Wisconsin : petroleum coke","thousand megawatthours","ELEC.GEN.PC-WI-98.A",450,329,55,61,88,69,83
"Wisconsin : natural gas","thousand megawatthours","ELEC.GEN.NG-WI-98.A",5332,6066,11357,7889,7794,13104,15251
"Wisconsin : other gases","thousand megawatthours","ELEC.GEN.OOG-WI-98.A",0,"--","--","--","--","--","--"
"Wisconsin : nuclear","thousand megawatthours","ELEC.GEN.NUC-WI-98.A",13281,11560,14300,11675,9447,10008,10151
"Wisconsin : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-WI-98.A",1976,1994,1411,1824,2314,2178,2240
"Wisconsin : other renewables",,"ELEC.GEN.AOR-WI-98.A",,,,,,,
"Wisconsin : wind","thousand megawatthours","ELEC.GEN.WND-WI-98.A",1088,1188,1558,1558,1611,1582,1513
"Wisconsin : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-WI-98.A","--","--","--","--",1,1,"NM"
"Wisconsin : geothermal","thousand megawatthours","ELEC.GEN.GEO-WI-98.A","--","--","--","--","--","--","--"
"Wisconsin : biomass","thousand megawatthours","ELEC.GEN.BIO-WI-98.A",707,939,1009,1004,1004,959,833
"Wisconsin : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-WI-98.A","--","--","--","--","--","--","--"
"Wisconsin : other","thousand megawatthours","ELEC.GEN.OTH-WI-98.A",24,31,39,30,27,27,18
"Wisconsin : all solar",,"ELEC.GEN.TSN-WI-98.A",,,,,,,
"Wisconsin : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-WI-98.A","--","--","--","--","--","--","--"
"Wisconsin : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-WI-98.A","--","--","--","--",1,1,"NM"
"West North Central",,"ELEC.GEN..A",,,,,,,
"Iowa",,"ELEC.GEN..A",,,,,,,
"Iowa : all fuels (utility-scale)",,"ELEC.GEN.ALL-IA-98.A",,,,,,,
"Iowa : coal","thousand megawatthours","ELEC.GEN.COW-IA-98.A",39368,36122,33179,31194,31756,27880,23807
"Iowa : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-IA-98.A",79,69,89,69,59,64,73
"Iowa : petroleum coke","thousand megawatthours","ELEC.GEN.PC-IA-98.A",68,69,12,-0,0,0,0
"Iowa : natural gas","thousand megawatthours","ELEC.GEN.NG-IA-98.A",1297,980,1868,1327,1277,2164,2720
"Iowa : other gases","thousand megawatthours","ELEC.GEN.OOG-IA-98.A","--","--","--","--","--","--","--"
"Iowa : nuclear","thousand megawatthours","ELEC.GEN.NUC-IA-98.A",4451,5215,4347,5321,4152,5243,4703
"Iowa : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-IA-98.A",948,925,766,749,879,960,956
"Iowa : other renewables",,"ELEC.GEN.AOR-IA-98.A",,,,,,,
"Iowa : wind","thousand megawatthours","ELEC.GEN.WND-IA-98.A",9170,10705,14030,15565,16303,17870,20047
"Iowa : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-IA-98.A","--","--","--","--","--","--","NM"
"Iowa : geothermal","thousand megawatthours","ELEC.GEN.GEO-IA-98.A","--","--","--","--","--","--","--"
"Iowa : biomass","thousand megawatthours","ELEC.GEN.BIO-IA-98.A",124,115,113,110,142,153,158
"Iowa : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-IA-98.A","--","--","--","--","--","--","--"
"Iowa : other","thousand megawatthours","ELEC.GEN.OTH-IA-98.A","--","--","--","--","--","--","--"
"Iowa : all solar",,"ELEC.GEN.TSN-IA-98.A",,,,,,,
"Iowa : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-IA-98.A","--","--","--","--","--","--","--"
"Iowa : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-IA-98.A","--","--","--","--","--","--","NM"
"Kansas",,"ELEC.GEN..A",,,,,,,
"Kansas : all fuels (utility-scale)",,"ELEC.GEN.ALL-KS-98.A",,,,,,,
"Kansas : coal","thousand megawatthours","ELEC.GEN.COW-KS-98.A",32505,31656,27983,29767,28752,24593,23096
"Kansas : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-KS-98.A",45,38,35,51,45,49,28
"Kansas : petroleum coke","thousand megawatthours","ELEC.GEN.PC-KS-98.A",58,19,-0,0,0,0,"--"
"Kansas : natural gas","thousand megawatthours","ELEC.GEN.NG-KS-98.A",2287,2534,2795,1905,1412,1138,2043
"Kansas : other gases","thousand megawatthours","ELEC.GEN.OOG-KS-98.A","--","--","--","--","--","--","--"
"Kansas : nuclear","thousand megawatthours","ELEC.GEN.NUC-KS-98.A",9556,7319,8285,7168,8558,8630,8246
"Kansas : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-KS-98.A",13,15,10,15,16,19,"NM"
"Kansas : other renewables",,"ELEC.GEN.AOR-KS-98.A",,,,,,,
"Kansas : wind","thousand megawatthours","ELEC.GEN.WND-KS-98.A",3405,3720,5195,9433,10845,10999,14113
"Kansas : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-KS-98.A","--","--","--","--","--",2,"NM"
"Kansas : geothermal","thousand megawatthours","ELEC.GEN.GEO-KS-98.A","--","--","--","--","--","--","--"
"Kansas : biomass","thousand megawatthours","ELEC.GEN.BIO-KS-98.A",54,59,57,58,64,62,63
"Kansas : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-KS-98.A","--","--","--","--","--","--","--"
"Kansas : other","thousand megawatthours","ELEC.GEN.OTH-KS-98.A","--","--","--","--","--","--","--"
"Kansas : all solar",,"ELEC.GEN.TSN-KS-98.A",,,,,,,
"Kansas : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-KS-98.A","--","--","--","--","--","--","--"
"Kansas : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-KS-98.A","--","--","--","--","--",2,"NM"
"Minnesota",,"ELEC.GEN..A",,,,,,,
"Minnesota : all fuels (utility-scale)",,"ELEC.GEN.ALL-MN-98.A",,,,,,,
"Minnesota : coal","thousand megawatthours","ELEC.GEN.COW-MN-98.A",27176,27429,22107,22790,27248,24111,22960
"Minnesota : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-MN-98.A",27,35,27,24,57,26,28
"Minnesota : petroleum coke","thousand megawatthours","ELEC.GEN.PC-MN-98.A",0,0,0,0,0,"--","--"
"Minnesota : natural gas","thousand megawatthours","ELEC.GEN.NG-MN-98.A",4178,3180,6903,6092,3694,7162,8717
"Minnesota : other gases","thousand megawatthours","ELEC.GEN.OOG-MN-98.A",0,0,"--","--","--","--","--"
"Minnesota : nuclear","thousand megawatthours","ELEC.GEN.NUC-MN-98.A",13478,11959,11944,10708,12707,12039,13861
"Minnesota : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-MN-98.A",713,629,487,421,529,734,756
"Minnesota : other renewables",,"ELEC.GEN.AOR-MN-98.A",,,,,,,
"Minnesota : wind","thousand megawatthours","ELEC.GEN.WND-MN-98.A",4780,6703,8148,8231,9661,9750,10608
"Minnesota : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-MN-98.A","--","--",0,3,3,3,21
"Minnesota : geothermal","thousand megawatthours","ELEC.GEN.GEO-MN-98.A","--","--","--","--","--","--","--"
"Minnesota : biomass","thousand megawatthours","ELEC.GEN.BIO-MN-98.A",1321,1151,1330,1080,1196,1207,1242
"Minnesota : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-MN-98.A","--","--","--","--","--","--","--"
"Minnesota : other","thousand megawatthours","ELEC.GEN.OTH-MN-98.A",224,298,311,279,306,305,323
"Minnesota : all solar",,"ELEC.GEN.TSN-MN-98.A",,,,,,,
"Minnesota : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-MN-98.A","--","--","--","--","--","--","--"
"Minnesota : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-MN-98.A","--","--",0,3,3,3,21
"Missouri",,"ELEC.GEN..A",,,,,,,
"Missouri : all fuels (utility-scale)",,"ELEC.GEN.ALL-MO-98.A",,,,,,,
"Missouri : coal","thousand megawatthours","ELEC.GEN.COW-MO-98.A",74829,78164,72661,75964,72288,65247,60521
"Missouri : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-MO-98.A",117,79,78,65,107,99,77
"Missouri : petroleum coke","thousand megawatthours","ELEC.GEN.PC-MO-98.A",8,0,0,0,0,"--","--"
"Missouri : natural gas","thousand megawatthours","ELEC.GEN.NG-MO-98.A",4679,4488,6075,4328,3985,4500,5962
"Missouri : other gases","thousand megawatthours","ELEC.GEN.OOG-MO-98.A",7,"--","--","--","--","--","--"
"Missouri : nuclear","thousand megawatthours","ELEC.GEN.NUC-MO-98.A",8996,9371,10718,8367,9276,10440,9430
"Missouri : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-MO-98.A",1539,1185,714,1136,697,1595,1237
"Missouri : other renewables",,"ELEC.GEN.AOR-MO-98.A",,,,,,,
"Missouri : wind","thousand megawatthours","ELEC.GEN.WND-MO-98.A",925,1178,1245,1167,1131,1033,1123
"Missouri : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-MO-98.A","--","--","--","--",9,16,38
"Missouri : geothermal","thousand megawatthours","ELEC.GEN.GEO-MO-98.A","--","--","--","--","--","--","--"
"Missouri : biomass","thousand megawatthours","ELEC.GEN.BIO-MO-98.A",58,58,49,63,80,97,96
"Missouri : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-MO-98.A",888,114,33,296,19,348,179
"Missouri : other","thousand megawatthours","ELEC.GEN.OTH-MO-98.A",27,21,20,16,26,58,9
"Missouri : all solar",,"ELEC.GEN.TSN-MO-98.A",,,,,,,
"Missouri : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-MO-98.A","--","--","--","--","--","--","--"
"Missouri : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-MO-98.A","--","--","--","--",9,16,38
"Nebraska",,"ELEC.GEN..A",,,,,,,
"Nebraska : all fuels (utility-scale)",,"ELEC.GEN.ALL-NE-98.A",,,,,,,
"Nebraska : coal","thousand megawatthours","ELEC.GEN.COW-NE-98.A",23215,25708,24686,26434,24580,23804,21585
"Nebraska : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-NE-98.A",31,37,23,43,43,6,6
"Nebraska : petroleum coke","thousand megawatthours","ELEC.GEN.PC-NE-98.A","--","--","--","--","--","--","--"
"Nebraska : natural gas","thousand megawatthours","ELEC.GEN.NG-NE-98.A",363,402,758,436,405,430,698
"Nebraska : other gases","thousand megawatthours","ELEC.GEN.OOG-NE-98.A","--","--","--","--","--","--","--"
"Nebraska : nuclear","thousand megawatthours","ELEC.GEN.NUC-NE-98.A",11054,6933,5802,6865,10102,10325,9351
"Nebraska : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-NE-98.A",1314,1617,1257,1124,1158,1685,1725
"Nebraska : other renewables",,"ELEC.GEN.AOR-NE-98.A",,,,,,,
"Nebraska : wind","thousand megawatthours","ELEC.GEN.WND-NE-98.A",422,1051,1284,1802,2737,3180,3793
"Nebraska : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NE-98.A","--","--","--","--","--","--","NM"
"Nebraska : geothermal","thousand megawatthours","ELEC.GEN.GEO-NE-98.A","--","--","--","--","--","--","--"
"Nebraska : biomass","thousand megawatthours","ELEC.GEN.BIO-NE-98.A",59,52,46,49,47,55,79
"Nebraska : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-NE-98.A","--","--","--","--","--","--","--"
"Nebraska : other","thousand megawatthours","ELEC.GEN.OTH-NE-98.A","--","--","--","--","--","--","--"
"Nebraska : all solar",,"ELEC.GEN.TSN-NE-98.A",,,,,,,
"Nebraska : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-NE-98.A","--","--","--","--","--","--","--"
"Nebraska : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NE-98.A","--","--","--","--","--","--","NM"
"North Dakota",,"ELEC.GEN..A",,,,,,,
"North Dakota : all fuels (utility-scale)",,"ELEC.GEN.ALL-ND-98.A",,,,,,,
"North Dakota : coal","thousand megawatthours","ELEC.GEN.COW-ND-98.A",28349,27011,28155,27377,27334,27632,26512
"North Dakota : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-ND-98.A",36,40,32,33,26,26,30
"North Dakota : petroleum coke","thousand megawatthours","ELEC.GEN.PC-ND-98.A","--","--","--","--","--","--","--"
"North Dakota : natural gas","thousand megawatthours","ELEC.GEN.NG-ND-98.A",0,-0,0,37,213,690,844
"North Dakota : other gases","thousand megawatthours","ELEC.GEN.OOG-ND-98.A","--","--","--","--","--","--","--"
"North Dakota : nuclear","thousand megawatthours","ELEC.GEN.NUC-ND-98.A","--","--","--","--","--","--","--"
"North Dakota : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-ND-98.A",2042,2580,2477,1852,2531,2094,1912
"North Dakota : other renewables",,"ELEC.GEN.AOR-ND-98.A",,,,,,,
"North Dakota : wind","thousand megawatthours","ELEC.GEN.WND-ND-98.A",4096,5236,5275,5519,6202,6506,8080
"North Dakota : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-ND-98.A","--","--","--","--","--","--","--"
"North Dakota : geothermal","thousand megawatthours","ELEC.GEN.GEO-ND-98.A","--","--","--","--","--","--","--"
"North Dakota : biomass","thousand megawatthours","ELEC.GEN.BIO-ND-98.A","--","--","--","--","--","--","--"
"North Dakota : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-ND-98.A","--","--","--","--","--","--","--"
"North Dakota : other","thousand megawatthours","ELEC.GEN.OTH-ND-98.A",37,44,64,38,31,42,41
"North Dakota : all solar",,"ELEC.GEN.TSN-ND-98.A",,,,,,,
"North Dakota : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-ND-98.A","--","--","--","--","--","--","--"
"North Dakota : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-ND-98.A","--","--","--","--","--","--","--"
"South Dakota",,"ELEC.GEN..A",,,,,,,
"South Dakota : all fuels (utility-scale)",,"ELEC.GEN.ALL-SD-98.A",,,,,,,
"South Dakota : coal","thousand megawatthours","ELEC.GEN.COW-SD-98.A",3298,2586,2919,2849,2689,1495,2083
"South Dakota : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-SD-98.A",6,8,6,7,7,17,3
"South Dakota : petroleum coke","thousand megawatthours","ELEC.GEN.PC-SD-98.A","--","--","--","--","--","--","--"
"South Dakota : natural gas","thousand megawatthours","ELEC.GEN.NG-SD-98.A",135,129,214,502,465,773,997
"South Dakota : other gases","thousand megawatthours","ELEC.GEN.OOG-SD-98.A","--","--","--","--","--","--","--"
"South Dakota : nuclear","thousand megawatthours","ELEC.GEN.NUC-SD-98.A","--","--","--","--","--","--","--"
"South Dakota : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-SD-98.A",5239,6608,5981,4063,5498,4850,4134
"South Dakota : other renewables",,"ELEC.GEN.AOR-SD-98.A",,,,,,,
"South Dakota : wind","thousand megawatthours","ELEC.GEN.WND-SD-98.A",1372,2668,2354,2688,2336,2498,3145
"South Dakota : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-SD-98.A","--","--","--","--","--","--","NM"
"South Dakota : geothermal","thousand megawatthours","ELEC.GEN.GEO-SD-98.A","--","--","--","--","--","--","--"
"South Dakota : biomass","thousand megawatthours","ELEC.GEN.BIO-SD-98.A",0,0,0,0,0,0,0
"South Dakota : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-SD-98.A","--","--","--","--","--","--","--"
"South Dakota : other","thousand megawatthours","ELEC.GEN.OTH-SD-98.A",0,0,0,0,0,0,0
"South Dakota : all solar",,"ELEC.GEN.TSN-SD-98.A",,,,,,,
"South Dakota : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-SD-98.A","--","--","--","--","--","--","--"
"South Dakota : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-SD-98.A","--","--","--","--","--","--","NM"
"South Atlantic",,"ELEC.GEN..A",,,,,,,
"Delaware",,"ELEC.GEN..A",,,,,,,
"Delaware : all fuels (utility-scale)",,"ELEC.GEN.ALL-DE-98.A",,,,,,,
"Delaware : coal","thousand megawatthours","ELEC.GEN.COW-DE-98.A",2568,1455,1423,1545,865,599,479
"Delaware : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-DE-98.A",56,38,22,23,183,154,54
"Delaware : petroleum coke","thousand megawatthours","ELEC.GEN.PC-DE-98.A","--","--","--","--","--","--","--"
"Delaware : natural gas","thousand megawatthours","ELEC.GEN.NG-DE-98.A",2865,4543,6287,5128,5659,5723,6824
"Delaware : other gases","thousand megawatthours","ELEC.GEN.OOG-DE-98.A","--","--","--","--","--","--","--"
"Delaware : nuclear","thousand megawatthours","ELEC.GEN.NUC-DE-98.A","--","--","--","--","--","--","--"
"Delaware : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-DE-98.A","--","--","--","--","--","--","--"
"Delaware : other renewables",,"ELEC.GEN.AOR-DE-98.A",,,,,,,
"Delaware : wind","thousand megawatthours","ELEC.GEN.WND-DE-98.A",3,"--","--","--","--","--","--"
"Delaware : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-DE-98.A","--",8,23,45,48,47,54
"Delaware : geothermal","thousand megawatthours","ELEC.GEN.GEO-DE-98.A","--","--","--","--","--","--","--"
"Delaware : biomass","thousand megawatthours","ELEC.GEN.BIO-DE-98.A",136,145,105,57,60,60,61
"Delaware : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-DE-98.A","--","--","--","--","--","--","--"
"Delaware : other","thousand megawatthours","ELEC.GEN.OTH-DE-98.A","--",0,"--","--","--","--","--"
"Delaware : all solar",,"ELEC.GEN.TSN-DE-98.A",,,,,,,
"Delaware : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-DE-98.A","--","--","--","--","--","--","--"
"Delaware : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-DE-98.A","--",8,23,45,48,47,54
"District Of Columbia",,"ELEC.GEN..A",,,,,,,
"District Of Columbia : all fuels (utility-scale)",,"ELEC.GEN.ALL-DC-98.A",,,,,,,
"District Of Columbia : coal","thousand megawatthours","ELEC.GEN.COW-DC-98.A","--","--","--","--","--","--","--"
"District Of Columbia : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-DC-98.A",200,130,9,"--","--","--","--"
"District Of Columbia : petroleum coke","thousand megawatthours","ELEC.GEN.PC-DC-98.A","--","--","--","--","--","--","--"
"District Of Columbia : natural gas","thousand megawatthours","ELEC.GEN.NG-DC-98.A","--",71,"--","--","--",0,0
"District Of Columbia : other gases","thousand megawatthours","ELEC.GEN.OOG-DC-98.A","--","--","--","--","--","--","--"
"District Of Columbia : nuclear","thousand megawatthours","ELEC.GEN.NUC-DC-98.A","--","--","--","--","--","--","--"
"District Of Columbia : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-DC-98.A","--","--","--","--","--","--","--"
"District Of Columbia : other renewables",,"ELEC.GEN.AOR-DC-98.A",,,,,,,
"District Of Columbia : wind","thousand megawatthours","ELEC.GEN.WND-DC-98.A","--","--","--","--","--","--","--"
"District Of Columbia : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-DC-98.A","--","--","--","--","--","--","--"
"District Of Columbia : geothermal","thousand megawatthours","ELEC.GEN.GEO-DC-98.A","--","--","--","--","--","--","--"
"District Of Columbia : biomass","thousand megawatthours","ELEC.GEN.BIO-DC-98.A","--","--","--","--","--",31,0
"District Of Columbia : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-DC-98.A","--","--","--","--","--","--","--"
"District Of Columbia : other","thousand megawatthours","ELEC.GEN.OTH-DC-98.A","--","--","--","--","--","--","--"
"District Of Columbia : all solar",,"ELEC.GEN.TSN-DC-98.A",,,,,,,
"District Of Columbia : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-DC-98.A","--","--","--","--","--","--","--"
"District Of Columbia : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-DC-98.A","--","--","--","--","--","--","--"
"Florida",,"ELEC.GEN..A",,,,,,,
"Florida : all fuels (utility-scale)",,"ELEC.GEN.ALL-FL-98.A",,,,,,,
"Florida : coal","thousand megawatthours","ELEC.GEN.COW-FL-98.A",59539,51673,44054,46144,51792,42717,39255
"Florida : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-FL-98.A",5876,1339,679,478,505,568,752
"Florida : petroleum coke","thousand megawatthours","ELEC.GEN.PC-FL-98.A",3200,1898,646,2063,1351,1568,2048
"Florida : natural gas","thousand megawatthours","ELEC.GEN.NG-FL-98.A",127085,134986,148296,137487,138735,154400,156793
"Florida : other gases","thousand megawatthours","ELEC.GEN.OOG-FL-98.A",0,"--","--","--","--","--","--"
"Florida : nuclear","thousand megawatthours","ELEC.GEN.NUC-FL-98.A",23936,22015,17870,26526,27868,28122,29320
"Florida : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-FL-98.A",177,182,151,254,211,244,219
"Florida : other renewables",,"ELEC.GEN.AOR-FL-98.A",,,,,,,
"Florida : wind","thousand megawatthours","ELEC.GEN.WND-FL-98.A","--","--","--","--","--","--","--"
"Florida : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-FL-98.A",80,126,193,208,240,222,351
"Florida : geothermal","thousand megawatthours","ELEC.GEN.GEO-FL-98.A","--","--","--","--","--","--","--"
"Florida : biomass","thousand megawatthours","ELEC.GEN.BIO-FL-98.A",2415,2433,2293,2275,2831,2765,2502
"Florida : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-FL-98.A","--","--","--","--","--","--","--"
"Florida : other","thousand megawatthours","ELEC.GEN.OTH-FL-98.A",1252,1486,1436,1393,1281,1372,1524
"Florida : all solar",,"ELEC.GEN.TSN-FL-98.A",,,,,,,
"Florida : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-FL-98.A","--","--","--","--","--","--","--"
"Florida : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-FL-98.A",80,126,193,208,240,222,351
"Georgia",,"ELEC.GEN..A",,,,,,,
"Georgia : all fuels (utility-scale)",,"ELEC.GEN.ALL-GA-98.A",,,,,,,
"Georgia : coal","thousand megawatthours","ELEC.GEN.COW-GA-98.A",72550,59452,40197,39768,44844,36915,37677
"Georgia : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-GA-98.A",91,75,29,21,138,102,83
"Georgia : petroleum coke","thousand megawatthours","ELEC.GEN.PC-GA-98.A","--","--","--","--","--","--","--"
"Georgia : natural gas","thousand megawatthours","ELEC.GEN.NG-GA-98.A",23394,26037,41740,39736,40584,49880,52421
"Georgia : other gases","thousand megawatthours","ELEC.GEN.OOG-GA-98.A","--","--","--","--","--","--","--"
"Georgia : nuclear","thousand megawatthours","ELEC.GEN.NUC-GA-98.A",33512,32306,33942,32903,32570,33838,34481
"Georgia : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-GA-98.A",3299,2686,2218,3690,3046,2962,3063
"Georgia : other renewables",,"ELEC.GEN.AOR-GA-98.A",,,,,,,
