"Net generation for residential"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=fttb&geo=00fvvvvvvvvvo&sec=004&linechart=ELEC.GEN.COW-CT-8.A&columnchart=ELEC.GEN.COW-CT-8.A&map=ELEC.GEN.COW-CT-8.A&freq=A&start=2010&end=2016&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin="
"Fri Aug 18 2017 17:50:21 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2010","2011","2012","2013","2014","2015","2016"
"Massachusetts : other","thousand megawatthours","ELEC.GEN.OTH-MA-8.A","--","--","--","--","--","--","--"
"Massachusetts : all solar",,"ELEC.GEN.TSN-MA-8.A",,,,,,,
"Massachusetts : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-MA-8.A","--","--","--","--",128,211,411
"Massachusetts : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-MA-8.A","--","--","--","--","--","--","--"
"New Hampshire",,"ELEC.GEN..A",,,,,,,
"New Hampshire : all fuels (utility-scale)",,"ELEC.GEN.ALL-NH-8.A",,,,,,,
"New Hampshire : coal","thousand megawatthours","ELEC.GEN.COW-NH-8.A","--","--","--","--","--","--","--"
"New Hampshire : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-NH-8.A","--","--","--","--","--","--","--"
"New Hampshire : petroleum coke","thousand megawatthours","ELEC.GEN.PC-NH-8.A","--","--","--","--","--","--","--"
"New Hampshire : natural gas","thousand megawatthours","ELEC.GEN.NG-NH-8.A","--","--","--","--","--","--","--"
"New Hampshire : other gases","thousand megawatthours","ELEC.GEN.OOG-NH-8.A","--","--","--","--","--","--","--"
"New Hampshire : nuclear","thousand megawatthours","ELEC.GEN.NUC-NH-8.A","--","--","--","--","--","--","--"
"New Hampshire : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-NH-8.A","--","--","--","--","--","--","--"
"New Hampshire : other renewables",,"ELEC.GEN.AOR-NH-8.A",,,,,,,
"New Hampshire : wind","thousand megawatthours","ELEC.GEN.WND-NH-8.A","--","--","--","--","--","--","--"
"New Hampshire : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NH-8.A","--","--","--","--","--","--","--"
"New Hampshire : geothermal","thousand megawatthours","ELEC.GEN.GEO-NH-8.A","--","--","--","--","--","--","--"
"New Hampshire : biomass","thousand megawatthours","ELEC.GEN.BIO-NH-8.A","--","--","--","--","--","--","--"
"New Hampshire : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-NH-8.A","--","--","--","--","--","--","--"
"New Hampshire : other","thousand megawatthours","ELEC.GEN.OTH-NH-8.A","--","--","--","--","--","--","--"
"New Hampshire : all solar",,"ELEC.GEN.TSN-NH-8.A",,,,,,,
"New Hampshire : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-NH-8.A","--","--","--","--",9,16,36
"New Hampshire : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NH-8.A","--","--","--","--","--","--","--"
"Rhode Island",,"ELEC.GEN..A",,,,,,,
"Rhode Island : all fuels (utility-scale)",,"ELEC.GEN.ALL-RI-8.A",,,,,,,
"Rhode Island : coal","thousand megawatthours","ELEC.GEN.COW-RI-8.A","--","--","--","--","--","--","--"
"Rhode Island : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-RI-8.A","--","--","--","--","--","--","--"
"Rhode Island : petroleum coke","thousand megawatthours","ELEC.GEN.PC-RI-8.A","--","--","--","--","--","--","--"
"Rhode Island : natural gas","thousand megawatthours","ELEC.GEN.NG-RI-8.A","--","--","--","--","--","--","--"
"Rhode Island : other gases","thousand megawatthours","ELEC.GEN.OOG-RI-8.A","--","--","--","--","--","--","--"
"Rhode Island : nuclear","thousand megawatthours","ELEC.GEN.NUC-RI-8.A","--","--","--","--","--","--","--"
"Rhode Island : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-RI-8.A","--","--","--","--","--","--","--"
"Rhode Island : other renewables",,"ELEC.GEN.AOR-RI-8.A",,,,,,,
"Rhode Island : wind","thousand megawatthours","ELEC.GEN.WND-RI-8.A","--","--","--","--","--","--","--"
"Rhode Island : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-RI-8.A","--","--","--","--","--","--","--"
"Rhode Island : geothermal","thousand megawatthours","ELEC.GEN.GEO-RI-8.A","--","--","--","--","--","--","--"
"Rhode Island : biomass","thousand megawatthours","ELEC.GEN.BIO-RI-8.A","--","--","--","--","--","--","--"
"Rhode Island : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-RI-8.A","--","--","--","--","--","--","--"
"Rhode Island : other","thousand megawatthours","ELEC.GEN.OTH-RI-8.A","--","--","--","--","--","--","--"
