"Net generation for commercial non-cogen"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=fttb&geo=00fvvvvvvvvvo&sec=1&linechart=ELEC.GEN.COW-CT-4.A&columnchart=ELEC.GEN.COW-CT-4.A&map=ELEC.GEN.COW-CT-4.A&freq=A&start=2010&end=2016&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin="
"Fri Aug 18 2017 17:49:19 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2010","2011","2012","2013","2014","2015","2016"
"Massachusetts : other","thousand megawatthours","ELEC.GEN.OTH-MA-4.A","--","--","--","--","--","--","--"
"Massachusetts : all solar",,"ELEC.GEN.TSN-MA-4.A",,,,,,,
"Massachusetts : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-MA-4.A","--","--","--","--","--","--","--"
"Massachusetts : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-MA-4.A","--","--","--","--",4,2,7
"New Hampshire",,"ELEC.GEN..A",,,,,,,
"New Hampshire : all fuels (utility-scale)",,"ELEC.GEN.ALL-NH-4.A",,,,,,,
"New Hampshire : coal","thousand megawatthours","ELEC.GEN.COW-NH-4.A","--","--","--","--","--","--","--"
"New Hampshire : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-NH-4.A","--","--","--","--","--","--","--"
"New Hampshire : petroleum coke","thousand megawatthours","ELEC.GEN.PC-NH-4.A","--","--","--","--","--","--","--"
"New Hampshire : natural gas","thousand megawatthours","ELEC.GEN.NG-NH-4.A","--","--","--","--","--","--","--"
"New Hampshire : other gases","thousand megawatthours","ELEC.GEN.OOG-NH-4.A","--","--","--","--","--","--","--"
"New Hampshire : nuclear","thousand megawatthours","ELEC.GEN.NUC-NH-4.A","--","--","--","--","--","--","--"
"New Hampshire : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-NH-4.A","--","--","--","--","--","--","--"
"New Hampshire : other renewables",,"ELEC.GEN.AOR-NH-4.A",,,,,,,
"New Hampshire : wind","thousand megawatthours","ELEC.GEN.WND-NH-4.A","--","--","--","--","--","--","--"
"New Hampshire : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NH-4.A","--","--","--","--","--","--","--"
"New Hampshire : geothermal","thousand megawatthours","ELEC.GEN.GEO-NH-4.A","--","--","--","--","--","--","--"
"New Hampshire : biomass","thousand megawatthours","ELEC.GEN.BIO-NH-4.A","--","--","--","--","--","--","--"
"New Hampshire : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-NH-4.A","--","--","--","--","--","--","--"
"New Hampshire : other","thousand megawatthours","ELEC.GEN.OTH-NH-4.A","--","--","--","--","--","--","--"
"New Hampshire : all solar",,"ELEC.GEN.TSN-NH-4.A",,,,,,,
"New Hampshire : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-NH-4.A","--","--","--","--","--","--","--"
"New Hampshire : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NH-4.A","--","--","--","--","--","--","--"
"Rhode Island",,"ELEC.GEN..A",,,,,,,
"Rhode Island : all fuels (utility-scale)",,"ELEC.GEN.ALL-RI-4.A",,,,,,,
"Rhode Island : coal","thousand megawatthours","ELEC.GEN.COW-RI-4.A","--","--","--","--","--","--","--"
"Rhode Island : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-RI-4.A","--","--","--","--","--","--","--"
"Rhode Island : petroleum coke","thousand megawatthours","ELEC.GEN.PC-RI-4.A","--","--","--","--","--","--","--"
"Rhode Island : natural gas","thousand megawatthours","ELEC.GEN.NG-RI-4.A","--","--","--","--","--","--","--"
"Rhode Island : other gases","thousand megawatthours","ELEC.GEN.OOG-RI-4.A","--","--","--","--","--","--","--"
"Rhode Island : nuclear","thousand megawatthours","ELEC.GEN.NUC-RI-4.A","--","--","--","--","--","--","--"
"Rhode Island : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-RI-4.A","--","--","--","--","--","--","--"
"Rhode Island : other renewables",,"ELEC.GEN.AOR-RI-4.A",,,,,,,
"Rhode Island : wind","thousand megawatthours","ELEC.GEN.WND-RI-4.A","--","--","--","--",8,7,8
"Rhode Island : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-RI-4.A","--","--","--","--","--","--","--"
"Rhode Island : geothermal","thousand megawatthours","ELEC.GEN.GEO-RI-4.A","--","--","--","--","--","--","--"
"Rhode Island : biomass","thousand megawatthours","ELEC.GEN.BIO-RI-4.A","--","--","--","--","--","--","--"
"Rhode Island : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-RI-4.A","--","--","--","--","--","--","--"
"Rhode Island : other","thousand megawatthours","ELEC.GEN.OTH-RI-4.A","--","--","--","--","--","--","--"
"Rhode Island : all solar",,"ELEC.GEN.TSN-RI-4.A",,,,,,,
"Rhode Island : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-RI-4.A","--","--","--","--","--","--","--"
"Rhode Island : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-RI-4.A","--","--","--","--","--","--","--"
"Vermont",,"ELEC.GEN..A",,,,,,,
"Vermont : all fuels (utility-scale)",,"ELEC.GEN.ALL-VT-4.A",,,,,,,
"Vermont : coal","thousand megawatthours","ELEC.GEN.COW-VT-4.A","--","--","--","--","--","--","--"
"Vermont : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-VT-4.A","--",2,1,1,1,"NM","--"
"Vermont : petroleum coke","thousand megawatthours","ELEC.GEN.PC-VT-4.A","--","--","--","--","--","--","--"
"Vermont : natural gas","thousand megawatthours","ELEC.GEN.NG-VT-4.A","--","--","--","--","--","--","--"
"Vermont : other gases","thousand megawatthours","ELEC.GEN.OOG-VT-4.A","--","--","--","--","--","--","--"
"Vermont : nuclear","thousand megawatthours","ELEC.GEN.NUC-VT-4.A","--","--","--","--","--","--","--"
"Vermont : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-VT-4.A","--","--","--","--","--","--","--"
"Vermont : other renewables",,"ELEC.GEN.AOR-VT-4.A",,,,,,,
"Vermont : wind","thousand megawatthours","ELEC.GEN.WND-VT-4.A","--","--","--","--","--","--","--"
"Vermont : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-VT-4.A","--","--","--","--","--","--","--"
"Vermont : geothermal","thousand megawatthours","ELEC.GEN.GEO-VT-4.A","--","--","--","--","--","--","--"
"Vermont : biomass","thousand megawatthours","ELEC.GEN.BIO-VT-4.A","--",2,2,2,3,"NM","--"
"Vermont : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-VT-4.A","--","--","--","--","--","--","--"
"Vermont : other","thousand megawatthours","ELEC.GEN.OTH-VT-4.A","--","--","--","--","--","--","--"
"Vermont : all solar",,"ELEC.GEN.TSN-VT-4.A",,,,,,,
"Vermont : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-VT-4.A","--","--","--","--","--","--","--"
"Vermont : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-VT-4.A","--","--","--","--","--","--","--"
