"Net generation for commercial non-cogen"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=fttb&geo=00fvvvvvvvvvo&sec=1&linechart=ELEC.GEN.COW-CT-4.A&columnchart=ELEC.GEN.COW-CT-4.A&map=ELEC.GEN.COW-CT-4.A&freq=A&start=2010&end=2016&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin="
"Fri Aug 18 2017 17:49:19 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2010","2011","2012","2013","2014","2015","2016"
"Ohio : all fuels (utility-scale)",,"ELEC.GEN.ALL-OH-4.A",,,,,,,
"Ohio : coal","thousand megawatthours","ELEC.GEN.COW-OH-4.A","--",1,0,0,0,0,0
"Ohio : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-OH-4.A","--",0,0,0,0,0,"NM"
"Ohio : petroleum coke","thousand megawatthours","ELEC.GEN.PC-OH-4.A","--","--","--","--","--","--","--"
"Ohio : natural gas","thousand megawatthours","ELEC.GEN.NG-OH-4.A","--","--","--",0,0,0,0
"Ohio : other gases","thousand megawatthours","ELEC.GEN.OOG-OH-4.A","--","--","--","--","--","--","--"
"Ohio : nuclear","thousand megawatthours","ELEC.GEN.NUC-OH-4.A","--","--","--","--","--","--","--"
"Ohio : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-OH-4.A","--","--","--","--","--","--","--"
"Ohio : other renewables",,"ELEC.GEN.AOR-OH-4.A",,,,,,,
"Ohio : wind","thousand megawatthours","ELEC.GEN.WND-OH-4.A","--","--","--","--","--","--","NM"
"Ohio : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-OH-4.A","--","--",0,3,3,3,"NM"
"Ohio : geothermal","thousand megawatthours","ELEC.GEN.GEO-OH-4.A","--","--","--","--","--","--","--"
"Ohio : biomass","thousand megawatthours","ELEC.GEN.BIO-OH-4.A","--","--","--",0,0,0,0
"Ohio : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-OH-4.A","--","--","--","--","--","--","--"
"Ohio : other","thousand megawatthours","ELEC.GEN.OTH-OH-4.A","--","--","--","--","--","--","--"
"Ohio : all solar",,"ELEC.GEN.TSN-OH-4.A",,,,,,,
"Ohio : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-OH-4.A","--","--","--","--","--","--","--"
"Ohio : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-OH-4.A","--","--",0,3,3,3,"NM"
"Wisconsin",,"ELEC.GEN..A",,,,,,,
"Wisconsin : all fuels (utility-scale)",,"ELEC.GEN.ALL-WI-4.A",,,,,,,
"Wisconsin : coal","thousand megawatthours","ELEC.GEN.COW-WI-4.A","--","--","--","--",0,0,0
"Wisconsin : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-WI-4.A","--","--","--","--",0,0,0
"Wisconsin : petroleum coke","thousand megawatthours","ELEC.GEN.PC-WI-4.A","--","--","--","--","--","--","--"
"Wisconsin : natural gas","thousand megawatthours","ELEC.GEN.NG-WI-4.A","--","--","--","--",0,0,0
"Wisconsin : other gases","thousand megawatthours","ELEC.GEN.OOG-WI-4.A","--","--","--","--","--","--","--"
"Wisconsin : nuclear","thousand megawatthours","ELEC.GEN.NUC-WI-4.A","--","--","--","--","--","--","--"
"Wisconsin : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-WI-4.A",1,0,2,"NM","--","--","--"
"Wisconsin : other renewables",,"ELEC.GEN.AOR-WI-4.A",,,,,,,
"Wisconsin : wind","thousand megawatthours","ELEC.GEN.WND-WI-4.A","--","--","--","--","--","--","--"
"Wisconsin : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-WI-4.A","--","--","--","--","--","--","--"
"Wisconsin : geothermal","thousand megawatthours","ELEC.GEN.GEO-WI-4.A","--","--","--","--","--","--","--"
"Wisconsin : biomass","thousand megawatthours","ELEC.GEN.BIO-WI-4.A",12,10,7,7,"--","--","--"
"Wisconsin : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-WI-4.A","--","--","--","--","--","--","--"
"Wisconsin : other","thousand megawatthours","ELEC.GEN.OTH-WI-4.A","--","--","--","--","--","--","--"
"Wisconsin : all solar",,"ELEC.GEN.TSN-WI-4.A",,,,,,,
"Wisconsin : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-WI-4.A","--","--","--","--","--","--","--"
"Wisconsin : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-WI-4.A","--","--","--","--","--","--","--"
"West North Central",,"ELEC.GEN..A",,,,,,,
"Iowa",,"ELEC.GEN..A",,,,,,,
"Iowa : all fuels (utility-scale)",,"ELEC.GEN.ALL-IA-4.A",,,,,,,
"Iowa : coal","thousand megawatthours","ELEC.GEN.COW-IA-4.A","--","--","--","--","--","--","--"
"Iowa : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-IA-4.A","--","--","--","--","--","--","--"
"Iowa : petroleum coke","thousand megawatthours","ELEC.GEN.PC-IA-4.A","--","--","--","--","--","--","--"
"Iowa : natural gas","thousand megawatthours","ELEC.GEN.NG-IA-4.A",0,1,1,0,0,1,"NM"
"Iowa : other gases","thousand megawatthours","ELEC.GEN.OOG-IA-4.A","--","--","--","--","--","--","--"
"Iowa : nuclear","thousand megawatthours","ELEC.GEN.NUC-IA-4.A","--","--","--","--","--","--","--"
"Iowa : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-IA-4.A","--","--","--","--","--","--","--"
"Iowa : other renewables",,"ELEC.GEN.AOR-IA-4.A",,,,,,,
"Iowa : wind","thousand megawatthours","ELEC.GEN.WND-IA-4.A","--",4,3,4,4,3,"NM"
"Iowa : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-IA-4.A","--","--","--","--","--","--","--"
"Iowa : geothermal","thousand megawatthours","ELEC.GEN.GEO-IA-4.A","--","--","--","--","--","--","--"
"Iowa : biomass","thousand megawatthours","ELEC.GEN.BIO-IA-4.A","--","--","--","--","--","--","--"
"Iowa : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-IA-4.A","--","--","--","--","--","--","--"
"Iowa : other","thousand megawatthours","ELEC.GEN.OTH-IA-4.A","--","--","--","--","--","--","--"
"Iowa : all solar",,"ELEC.GEN.TSN-IA-4.A",,,,,,,
"Iowa : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-IA-4.A","--","--","--","--","--","--","--"
"Iowa : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-IA-4.A","--","--","--","--","--","--","--"
"Kansas",,"ELEC.GEN..A",,,,,,,
"Kansas : all fuels (utility-scale)",,"ELEC.GEN.ALL-KS-4.A",,,,,,,
"Kansas : coal","thousand megawatthours","ELEC.GEN.COW-KS-4.A","--","--","--","--","--","--","--"
"Kansas : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-KS-4.A","--","--","--","--","--","--","--"
"Kansas : petroleum coke","thousand megawatthours","ELEC.GEN.PC-KS-4.A","--","--","--","--","--","--","--"
"Kansas : natural gas","thousand megawatthours","ELEC.GEN.NG-KS-4.A","--","--","--","--","--","--","--"
"Kansas : other gases","thousand megawatthours","ELEC.GEN.OOG-KS-4.A","--","--","--","--","--","--","--"
"Kansas : nuclear","thousand megawatthours","ELEC.GEN.NUC-KS-4.A","--","--","--","--","--","--","--"
"Kansas : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-KS-4.A","--","--","--","--","--","--","--"
"Kansas : other renewables",,"ELEC.GEN.AOR-KS-4.A",,,,,,,
"Kansas : wind","thousand megawatthours","ELEC.GEN.WND-KS-4.A","--","--","--","--","--","--","--"
"Kansas : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-KS-4.A","--","--","--","--","--","--","--"
"Kansas : geothermal","thousand megawatthours","ELEC.GEN.GEO-KS-4.A","--","--","--","--","--","--","--"
"Kansas : biomass","thousand megawatthours","ELEC.GEN.BIO-KS-4.A","--","--","--","--","--","--","--"
"Kansas : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-KS-4.A","--","--","--","--","--","--","--"
"Kansas : other","thousand megawatthours","ELEC.GEN.OTH-KS-4.A","--","--","--","--","--","--","--"
"Kansas : all solar",,"ELEC.GEN.TSN-KS-4.A",,,,,,,
"Kansas : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-KS-4.A","--","--","--","--","--","--","--"
"Kansas : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-KS-4.A","--","--","--","--","--","--","--"
"Minnesota",,"ELEC.GEN..A",,,,,,,
"Minnesota : all fuels (utility-scale)",,"ELEC.GEN.ALL-MN-4.A",,,,,,,
"Minnesota : coal","thousand megawatthours","ELEC.GEN.COW-MN-4.A","--",5,0,0,1,1,"NM"
"Minnesota : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-MN-4.A",2,1,1,1,1,0,"NM"
"Minnesota : petroleum coke","thousand megawatthours","ELEC.GEN.PC-MN-4.A","--","--","--","--","--","--","--"
"Minnesota : natural gas","thousand megawatthours","ELEC.GEN.NG-MN-4.A","--",5,6,6,10,7,"NM"
"Minnesota : other gases","thousand megawatthours","ELEC.GEN.OOG-MN-4.A","--","--","--","--","--","--","--"
"Minnesota : nuclear","thousand megawatthours","ELEC.GEN.NUC-MN-4.A","--","--","--","--","--","--","--"
"Minnesota : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-MN-4.A","--","--","--","--","--","--","--"
"Minnesota : other renewables",,"ELEC.GEN.AOR-MN-4.A",,,,,,,
"Minnesota : wind","thousand megawatthours","ELEC.GEN.WND-MN-4.A",12,23,28,28,30,29,29
"Minnesota : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-MN-4.A","--","--","--","--","--","--","--"
"Minnesota : geothermal","thousand megawatthours","ELEC.GEN.GEO-MN-4.A","--","--","--","--","--","--","--"
"Minnesota : biomass","thousand megawatthours","ELEC.GEN.BIO-MN-4.A","--","--","--","--","--","--","--"
"Minnesota : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-MN-4.A","--","--","--","--","--","--","--"
"Minnesota : other","thousand megawatthours","ELEC.GEN.OTH-MN-4.A","--",0,"--","--","--","--","--"
"Minnesota : all solar",,"ELEC.GEN.TSN-MN-4.A",,,,,,,
"Minnesota : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-MN-4.A","--","--","--","--","--","--","--"
"Minnesota : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-MN-4.A","--","--","--","--","--","--","--"
"Missouri",,"ELEC.GEN..A",,,,,,,
"Missouri : all fuels (utility-scale)",,"ELEC.GEN.ALL-MO-4.A",,,,,,,
"Missouri : coal","thousand megawatthours","ELEC.GEN.COW-MO-4.A","--","--","--","--","--","--","--"
"Missouri : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-MO-4.A","--","--","--","--","--","--","--"
"Missouri : petroleum coke","thousand megawatthours","ELEC.GEN.PC-MO-4.A","--","--","--","--","--","--","--"
"Missouri : natural gas","thousand megawatthours","ELEC.GEN.NG-MO-4.A","--","--","--","--","--","--","--"
"Missouri : other gases","thousand megawatthours","ELEC.GEN.OOG-MO-4.A","--","--","--","--","--","--","--"
"Missouri : nuclear","thousand megawatthours","ELEC.GEN.NUC-MO-4.A","--","--","--","--","--","--","--"
"Missouri : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-MO-4.A","--","--","--","--","--","--","--"
"Missouri : other renewables",,"ELEC.GEN.AOR-MO-4.A",,,,,,,
"Missouri : wind","thousand megawatthours","ELEC.GEN.WND-MO-4.A","--","--","--","--","--","--","--"
"Missouri : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-MO-4.A","--","--","--","--","--",0,"NM"
"Missouri : geothermal","thousand megawatthours","ELEC.GEN.GEO-MO-4.A","--","--","--","--","--","--","--"
"Missouri : biomass","thousand megawatthours","ELEC.GEN.BIO-MO-4.A","--","--","--","--","--","--","--"
"Missouri : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-MO-4.A","--","--","--","--","--","--","--"
"Missouri : other","thousand megawatthours","ELEC.GEN.OTH-MO-4.A","--","--","--","--","--","--","--"
"Missouri : all solar",,"ELEC.GEN.TSN-MO-4.A",,,,,,,
"Missouri : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-MO-4.A","--","--","--","--","--","--","--"
"Missouri : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-MO-4.A","--","--","--","--","--",0,"NM"
"Nebraska",,"ELEC.GEN..A",,,,,,,
"Nebraska : all fuels (utility-scale)",,"ELEC.GEN.ALL-NE-4.A",,,,,,,
"Nebraska : coal","thousand megawatthours","ELEC.GEN.COW-NE-4.A","--","--","--","--","--","--","--"
"Nebraska : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-NE-4.A","--","--","--","--","--","--","--"
"Nebraska : petroleum coke","thousand megawatthours","ELEC.GEN.PC-NE-4.A","--","--","--","--","--","--","--"
"Nebraska : natural gas","thousand megawatthours","ELEC.GEN.NG-NE-4.A","--","--","--","--","--","--","--"
"Nebraska : other gases","thousand megawatthours","ELEC.GEN.OOG-NE-4.A","--","--","--","--","--","--","--"
"Nebraska : nuclear","thousand megawatthours","ELEC.GEN.NUC-NE-4.A","--","--","--","--","--","--","--"
"Nebraska : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-NE-4.A","--","--","--","--","--","--","--"
"Nebraska : other renewables",,"ELEC.GEN.AOR-NE-4.A",,,,,,,
"Nebraska : wind","thousand megawatthours","ELEC.GEN.WND-NE-4.A","--","--","--","--","--","--","--"
"Nebraska : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NE-4.A","--","--","--","--","--","--","--"
"Nebraska : geothermal","thousand megawatthours","ELEC.GEN.GEO-NE-4.A","--","--","--","--","--","--","--"
"Nebraska : biomass","thousand megawatthours","ELEC.GEN.BIO-NE-4.A","--","--","--","--","--","--","--"
"Nebraska : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-NE-4.A","--","--","--","--","--","--","--"
"Nebraska : other","thousand megawatthours","ELEC.GEN.OTH-NE-4.A","--","--","--","--","--","--","--"
"Nebraska : all solar",,"ELEC.GEN.TSN-NE-4.A",,,,,,,
"Nebraska : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-NE-4.A","--","--","--","--","--","--","--"
"Nebraska : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NE-4.A","--","--","--","--","--","--","--"
"North Dakota",,"ELEC.GEN..A",,,,,,,
"North Dakota : all fuels (utility-scale)",,"ELEC.GEN.ALL-ND-4.A",,,,,,,
"North Dakota : coal","thousand megawatthours","ELEC.GEN.COW-ND-4.A","--","--","--","--","--","--","--"
"North Dakota : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-ND-4.A",0,0,0,0,0,0,"NM"
"North Dakota : petroleum coke","thousand megawatthours","ELEC.GEN.PC-ND-4.A","--","--","--","--","--","--","--"
"North Dakota : natural gas","thousand megawatthours","ELEC.GEN.NG-ND-4.A","--","--","--","--","--","--","--"
"North Dakota : other gases","thousand megawatthours","ELEC.GEN.OOG-ND-4.A","--","--","--","--","--","--","--"
"North Dakota : nuclear","thousand megawatthours","ELEC.GEN.NUC-ND-4.A","--","--","--","--","--","--","--"
"North Dakota : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-ND-4.A","--","--","--","--","--","--","--"
"North Dakota : other renewables",,"ELEC.GEN.AOR-ND-4.A",,,,,,,
"North Dakota : wind","thousand megawatthours","ELEC.GEN.WND-ND-4.A","--","--","--","--","--","--","--"
"North Dakota : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-ND-4.A","--","--","--","--","--","--","--"
"North Dakota : geothermal","thousand megawatthours","ELEC.GEN.GEO-ND-4.A","--","--","--","--","--","--","--"
"North Dakota : biomass","thousand megawatthours","ELEC.GEN.BIO-ND-4.A","--","--","--","--","--","--","--"
"North Dakota : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-ND-4.A","--","--","--","--","--","--","--"
"North Dakota : other","thousand megawatthours","ELEC.GEN.OTH-ND-4.A","--","--","--","--","--","--","--"
"North Dakota : all solar",,"ELEC.GEN.TSN-ND-4.A",,,,,,,
"North Dakota : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-ND-4.A","--","--","--","--","--","--","--"
"North Dakota : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-ND-4.A","--","--","--","--","--","--","--"
"South Dakota",,"ELEC.GEN..A",,,,,,,
"South Dakota : all fuels (utility-scale)",,"ELEC.GEN.ALL-SD-4.A",,,,,,,
"South Dakota : coal","thousand megawatthours","ELEC.GEN.COW-SD-4.A","--","--","--","--","--","--","--"
"South Dakota : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-SD-4.A",0,0,0,0,0,0,"NM"
"South Dakota : petroleum coke","thousand megawatthours","ELEC.GEN.PC-SD-4.A","--","--","--","--","--","--","--"
"South Dakota : natural gas","thousand megawatthours","ELEC.GEN.NG-SD-4.A","--","--","--","--","--","--","--"
"South Dakota : other gases","thousand megawatthours","ELEC.GEN.OOG-SD-4.A","--","--","--","--","--","--","--"
"South Dakota : nuclear","thousand megawatthours","ELEC.GEN.NUC-SD-4.A","--","--","--","--","--","--","--"
"South Dakota : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-SD-4.A","--","--","--","--","--","--","--"
"South Dakota : other renewables",,"ELEC.GEN.AOR-SD-4.A",,,,,,,
"South Dakota : wind","thousand megawatthours","ELEC.GEN.WND-SD-4.A","--","--","--","--","--","--","--"
"South Dakota : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-SD-4.A","--","--","--","--","--","--","--"
"South Dakota : geothermal","thousand megawatthours","ELEC.GEN.GEO-SD-4.A","--","--","--","--","--","--","--"
"South Dakota : biomass","thousand megawatthours","ELEC.GEN.BIO-SD-4.A","--","--","--","--","--","--","--"
"South Dakota : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-SD-4.A","--","--","--","--","--","--","--"
"South Dakota : other","thousand megawatthours","ELEC.GEN.OTH-SD-4.A","--","--","--","--","--","--","--"
"South Dakota : all solar",,"ELEC.GEN.TSN-SD-4.A",,,,,,,
"South Dakota : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-SD-4.A","--","--","--","--","--","--","--"
"South Dakota : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-SD-4.A","--","--","--","--","--","--","--"
"South Atlantic",,"ELEC.GEN..A",,,,,,,
"Delaware",,"ELEC.GEN..A",,,,,,,
"Delaware : all fuels (utility-scale)",,"ELEC.GEN.ALL-DE-4.A",,,,,,,
"Delaware : coal","thousand megawatthours","ELEC.GEN.COW-DE-4.A","--","--","--","--","--","--","--"
"Delaware : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-DE-4.A","--","--","--","--","--","--","--"
"Delaware : petroleum coke","thousand megawatthours","ELEC.GEN.PC-DE-4.A","--","--","--","--","--","--","--"
"Delaware : natural gas","thousand megawatthours","ELEC.GEN.NG-DE-4.A","--","--","--","--","--","--","--"
"Delaware : other gases","thousand megawatthours","ELEC.GEN.OOG-DE-4.A","--","--","--","--","--","--","--"
"Delaware : nuclear","thousand megawatthours","ELEC.GEN.NUC-DE-4.A","--","--","--","--","--","--","--"
"Delaware : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-DE-4.A","--","--","--","--","--","--","--"
"Delaware : other renewables",,"ELEC.GEN.AOR-DE-4.A",,,,,,,
"Delaware : wind","thousand megawatthours","ELEC.GEN.WND-DE-4.A","--",5,4,4,5,5,"NM"
"Delaware : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-DE-4.A","--","--","--","--",2,1,"NM"
"Delaware : geothermal","thousand megawatthours","ELEC.GEN.GEO-DE-4.A","--","--","--","--","--","--","--"
"Delaware : biomass","thousand megawatthours","ELEC.GEN.BIO-DE-4.A","--","--","--","--","--","--","--"
"Delaware : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-DE-4.A","--","--","--","--","--","--","--"
"Delaware : other","thousand megawatthours","ELEC.GEN.OTH-DE-4.A","--","--","--","--","--","--","--"
"Delaware : all solar",,"ELEC.GEN.TSN-DE-4.A",,,,,,,
"Delaware : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-DE-4.A","--","--","--","--","--","--","--"
"Delaware : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-DE-4.A","--","--","--","--",2,1,"NM"
"District Of Columbia",,"ELEC.GEN..A",,,,,,,
"District Of Columbia : all fuels (utility-scale)",,"ELEC.GEN.ALL-DC-4.A",,,,,,,
"District Of Columbia : coal","thousand megawatthours","ELEC.GEN.COW-DC-4.A","--","--","--","--","--","--","--"
"District Of Columbia : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-DC-4.A","--","--",0,0,0,"--","--"
"District Of Columbia : petroleum coke","thousand megawatthours","ELEC.GEN.PC-DC-4.A","--","--","--","--","--","--","--"
"District Of Columbia : natural gas","thousand megawatthours","ELEC.GEN.NG-DC-4.A","--","--",62,66,65,"--","--"
"District Of Columbia : other gases","thousand megawatthours","ELEC.GEN.OOG-DC-4.A","--","--","--","--","--","--","--"
"District Of Columbia : nuclear","thousand megawatthours","ELEC.GEN.NUC-DC-4.A","--","--","--","--","--","--","--"
"District Of Columbia : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-DC-4.A","--","--","--","--","--","--","--"
"District Of Columbia : other renewables",,"ELEC.GEN.AOR-DC-4.A",,,,,,,
"District Of Columbia : wind","thousand megawatthours","ELEC.GEN.WND-DC-4.A","--","--","--","--","--","--","--"
"District Of Columbia : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-DC-4.A","--","--","--","--","--","--","--"
"District Of Columbia : geothermal","thousand megawatthours","ELEC.GEN.GEO-DC-4.A","--","--","--","--","--","--","--"
"District Of Columbia : biomass","thousand megawatthours","ELEC.GEN.BIO-DC-4.A","--","--","--","--","--","--","--"
"District Of Columbia : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-DC-4.A","--","--","--","--","--","--","--"
"District Of Columbia : other","thousand megawatthours","ELEC.GEN.OTH-DC-4.A","--","--","--","--","--","--","--"
"District Of Columbia : all solar",,"ELEC.GEN.TSN-DC-4.A",,,,,,,
"District Of Columbia : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-DC-4.A","--","--","--","--","--","--","--"
"District Of Columbia : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-DC-4.A","--","--","--","--","--","--","--"
"Florida",,"ELEC.GEN..A",,,,,,,
"Florida : all fuels (utility-scale)",,"ELEC.GEN.ALL-FL-4.A",,,,,,,
"Florida : coal","thousand megawatthours","ELEC.GEN.COW-FL-4.A","--","--","--","--","--","--","--"
"Florida : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-FL-4.A","--","--","--","--","--","--","--"
"Florida : petroleum coke","thousand megawatthours","ELEC.GEN.PC-FL-4.A","--","--","--","--","--","--","--"
"Florida : natural gas","thousand megawatthours","ELEC.GEN.NG-FL-4.A",3,3,2,2,3,0,"NM"
"Florida : other gases","thousand megawatthours","ELEC.GEN.OOG-FL-4.A","--","--","--","--","--","--","--"
"Florida : nuclear","thousand megawatthours","ELEC.GEN.NUC-FL-4.A","--","--","--","--","--","--","--"
"Florida : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-FL-4.A","--","--","--","--","--","--","--"
"Florida : other renewables",,"ELEC.GEN.AOR-FL-4.A",,,,,,,
"Florida : wind","thousand megawatthours","ELEC.GEN.WND-FL-4.A","--","--","--","--","--","--","--"
"Florida : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-FL-4.A","--","--",1,2,2,2,"NM"
"Florida : geothermal","thousand megawatthours","ELEC.GEN.GEO-FL-4.A","--","--","--","--","--","--","--"
"Florida : biomass","thousand megawatthours","ELEC.GEN.BIO-FL-4.A","--","--","--",0,13,19,20
"Florida : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-FL-4.A","--","--","--","--","--","--","--"
"Florida : other","thousand megawatthours","ELEC.GEN.OTH-FL-4.A","--","--","--","--","--","--","--"
"Florida : all solar",,"ELEC.GEN.TSN-FL-4.A",,,,,,,
"Florida : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-FL-4.A","--","--","--","--","--","--","--"
"Florida : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-FL-4.A","--","--",1,2,2,2,"NM"
"Georgia",,"ELEC.GEN..A",,,,,,,
"Georgia : all fuels (utility-scale)",,"ELEC.GEN.ALL-GA-4.A",,,,,,,
"Georgia : coal","thousand megawatthours","ELEC.GEN.COW-GA-4.A","--","--","--","--","--","--","--"
"Georgia : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-GA-4.A",3,2,1,2,3,3,4
"Georgia : petroleum coke","thousand megawatthours","ELEC.GEN.PC-GA-4.A","--","--","--","--","--","--","--"
"Georgia : natural gas","thousand megawatthours","ELEC.GEN.NG-GA-4.A",0,0,0,0,0,0,0
"Georgia : other gases","thousand megawatthours","ELEC.GEN.OOG-GA-4.A","--","--","--","--","--","--","--"
"Georgia : nuclear","thousand megawatthours","ELEC.GEN.NUC-GA-4.A","--","--","--","--","--","--","--"
"Georgia : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-GA-4.A","--","--","--","--","--","--","--"
"Georgia : other renewables",,"ELEC.GEN.AOR-GA-4.A",,,,,,,
"Georgia : wind","thousand megawatthours","ELEC.GEN.WND-GA-4.A","--","--","--","--","--","--","--"
"Georgia : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-GA-4.A","--","--",2,3,3,3,4
"Georgia : geothermal","thousand megawatthours","ELEC.GEN.GEO-GA-4.A","--","--","--","--","--","--","--"
"Georgia : biomass","thousand megawatthours","ELEC.GEN.BIO-GA-4.A",20,23,23,22,23,3,"--"
"Georgia : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-GA-4.A","--","--","--","--","--","--","--"
"Georgia : other","thousand megawatthours","ELEC.GEN.OTH-GA-4.A","--","--","--","--","--","--","--"
"Georgia : all solar",,"ELEC.GEN.TSN-GA-4.A",,,,,,,
"Georgia : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-GA-4.A","--","--","--","--","--","--","--"
"Georgia : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-GA-4.A","--","--",2,3,3,3,4
"Maryland",,"ELEC.GEN..A",,,,,,,
"Maryland : all fuels (utility-scale)",,"ELEC.GEN.ALL-MD-4.A",,,,,,,
"Maryland : coal","thousand megawatthours","ELEC.GEN.COW-MD-4.A","--",0,10,4,2,"NM","--"
"Maryland : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-MD-4.A",0,0,16,19,22,0,0
"Maryland : petroleum coke","thousand megawatthours","ELEC.GEN.PC-MD-4.A","--","--","--","--","--","--","--"
"Maryland : natural gas","thousand megawatthours","ELEC.GEN.NG-MD-4.A","--","--","--",138,130,162,183
"Maryland : other gases","thousand megawatthours","ELEC.GEN.OOG-MD-4.A","--","--","--","--","--","--","--"
"Maryland : nuclear","thousand megawatthours","ELEC.GEN.NUC-MD-4.A","--","--","--","--","--","--","--"
"Maryland : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-MD-4.A","--","--","--","--","--","--","--"
"Maryland : other renewables",,"ELEC.GEN.AOR-MD-4.A",,,,,,,
