# File: GCAMFAOSTAT_NManure.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Title: FAO manure applied to soils N content by country_year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Units: kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# Description:  Data was processed to include missing livestock types (with 0 values), calculate livestock totals (if not already present), use share based backcasting for successor countries with missing values, removing general areas and keeping individual countries to avoid duplicate values. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Data source: FAOSTAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Date of CSV last update: 2026-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Column types: ccciciccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ----------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCAM_region_ID,iso,FAO_country,item_code,item,element_code,element,unit,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
27,afg,Afghanistan,72381,Manure applied to soils (N content),1052,"Chickens, layers",kg,1168634.808,1285498.289,1343930.029,1402361.77,1519225.25,1606872.861,1837678.236,1626739.653,1752952.212,1606872.861,1460793.51,1460793.51,1490009.38,1490009.38,1519225.25,1519225.25,1548441.121,1548441.121,1577656.991,1577656.991,1606872.861,1606872.861,1606872.861,1606872.861,1606872.861,1606872.861,1606872.861,1606872.861,1606872.861,1639010.318,1614176.829,1589343.339,1564509.849,1621480.796,1636088.731,1986679.174,2015895.044,1928247.433,1840599.823,1694520.472,1723736.342,3009234.631,3067666.371,3213745.722,3564336.164,2687860.058,2395701.356,2658644.188,2541780.707,2395701.356,2804723.539,2775507.669,2775507.669,2775507.669,2727593.642,2734897.609,3122592.207,2863155.28,2869874.93,2909900.672,2963073.556,2964826.508,3003975.774
27,afg,Afghanistan,72381,Manure applied to soils (N content),1068,Ducks,kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,afg,Afghanistan,72381,Manure applied to soils (N content),2029,Poultry Birds total,kg,1305806.882,1383478.342,1422314.071,1500341.823,1578013.282,1665660.893,1898425.869,1768222.849,1811740.244,1704852.914,1656753.615,1656753.615,1685969.485,1685969.485,1715185.355,1715185.355,1744401.226,1724805.216,1773617.096,1773617.096,1822428.977,1822428.977,1842024.987,1861620.998,1881217.008,1900813.019,1881217.008,1861620.998,1842024.987,1833010.822,1805237.931,1777465.04,1749692.148,1748854.864,1832440.756,2221831.3,2231451.16,2168886.442,2056155.939,1901454.343,1908722.681,3372936.586,3440382.491,3609977.054,3998191.837,3017073.034,2559328.044,2970024.795,2834349.144,3314362.328,3545060.816,3502911.579,3275793.817,3088651.917,3222784.827,3232244.356,3687937.11,3404984.97,3418955.144,3475833.455,3552325.592,3551139.142,3606749.057
27,afg,Afghanistan,72381,Manure applied to soils (N content),1760,Camels and Llamas total,kg,455428.75,509916.2457,636516.3296,592057.375,546514.5,546514.5,546514.5,544692.785,546514.5,546514.5,546514.5,546514.5,546514.5,546514.5,546514.5,546514.5,546514.5,546514.5,491863.05,482754.475,482754.475,482754.475,482754.475,482754.475,482754.475,482754.475,546514.5,482754.475,428103.025,391668.725,364343,364343,364343,364343,366164.715,402599.015,440855.03,482754.475,528996.8886,408064.16,408064.16,318800.125,329730.415,346125.85,342482.42,316978.41,338838.99,333373.845,346125.85,347947.565,313334.98,316978.41,309691.55,311513.265,309691.55,310602.4075,313334.98,312212.8036,310090.5056,308616.7382,308112.1231,306658.3945,305204.666
27,afg,Afghanistan,72381,Manure applied to soils (N content),1759,Mules and Asses,kg,1440582,951995.5185,1117228.091,1282008.845,1448003.18,1334721.05,1334721.05,1483144.65,1398019.35,1456952.25,1456952.25,1452586.85,1393108.275,1393108.275,1393108.275,1393108.275,1451495.5,1451495.5,1451495.5,1446038.75,1467865.75,1467865.75,1467865.75,1471139.8,1474413.85,1478779.25,1450404.15,1121907.8,902546.45,683185.1,572958.75,571867.4,570776.05,679911.05,793411.45,847978.95,906911.85,969118.8,1036717.019,777041.2,771584.45,1760347.55,1771261.05,1790905.35,1549717,1351091.3,1632659.6,1345634.55,1471139.8,1559539.15,1627202.85,1579183.45,1606467.2,1598827.75,1643027.425,1633750.95,1463500.35,1477272.096,1557073.79,1686151.029,1656442.299,1671045.654,1685652.282
27,afg,Afghanistan,72381,Manure applied to soils (N content),1757,Cattle total,kg,12750294.98,13749548.18,14435872.28,14602414.48,15166351.34,16229914.8,16671464.43,16869692.2,16759774.35,16916238.9,16717157.13,15850753.26,15357403.91,16159368.44,16894092.76,17181168.68,16687879.75,17369403.92,17302787.04,17302787.04,17480175.76,17446867.32,16956549.5,14291874.3,11743353.05,8458630.158,8750975.558,8861747.4,8861747.4,8890554.098,10186396.28,10828565.41,11294114.7,12117319.19,13599896.99,16745984.59,18473785.88,19292820.06,22180364.22,18490440.1,14555862.16,23854375.71,24234091.93,22235159.94,23881022.46,26053158.34,27758976.06,30375992.41,30296052.15,36116313.39,35178468.01,35128930.94,35275573.19,35699444.37,33184761.47,33031822.82,31446145.13,32537183.14,32757590.87,33197502.62,33628243.84,34424047.9,35025694.43
27,afg,Afghanistan,72381,Manure applied to soils (N content),946,Buffalo,kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,afg,Afghanistan,72381,Manure applied to soils (N content),1079,Turkeys,kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,afg,Afghanistan,72381,Manure applied to soils (N content),1759,Mules and Asses total,kg,1440582,951995.5185,1117228.091,1282008.845,1448003.18,1334721.05,1334721.05,1483144.65,1398019.35,1456952.25,1456952.25,1452586.85,1393108.275,1393108.275,1393108.275,1393108.275,1451495.5,1451495.5,1451495.5,1446038.75,1467865.75,1467865.75,1467865.75,1471139.8,1474413.85,1478779.25,1450404.15,1121907.8,902546.45,683185.1,572958.75,571867.4,570776.05,679911.05,793411.45,847978.95,906911.85,969118.8,1036717.019,777041.2,771584.45,1760347.55,1771261.05,1790905.35,1549717,1351091.3,1632659.6,1345634.55,1471139.8,1559539.15,1627202.85,1579183.45,1606467.2,1598827.75,1643027.425,1633750.95,1463500.35,1477272.096,1557073.79,1686151.029,1656442.299,1671045.654,1685652.282
27,afg,Afghanistan,72381,Manure applied to soils (N content),1051,"Swine, breeding",kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,afg,Afghanistan,72381,Manure applied to soils (N content),1126,Camels,kg,455428.75,509916.2457,636516.3296,592057.375,546514.5,546514.5,546514.5,544692.785,546514.5,546514.5,546514.5,546514.5,546514.5,546514.5,546514.5,546514.5,546514.5,546514.5,491863.05,482754.475,482754.475,482754.475,482754.475,482754.475,482754.475,482754.475,546514.5,482754.475,428103.025,391668.725,364343,364343,364343,364343,366164.715,402599.015,440855.03,482754.475,528996.8886,408064.16,408064.16,318800.125,329730.415,346125.85,342482.42,316978.41,338838.99,333373.845,346125.85,347947.565,313334.98,316978.41,309691.55,311513.265,309691.55,310602.4075,313334.98,312212.8036,310090.5056,308616.7382,308112.1231,306658.3945,305204.666
27,afg,Afghanistan,72381,Manure applied to soils (N content),976,Sheep,kg,36589644,36894557.7,37606023,38622402,39842056.8,41874814.8,41874814.8,43612839.15,43683969.42,43704297,43501021.2,26100612.72,32524128,36589644,41502836.35,43094469.6,41151152.95,38774875.11,37402747.2,38012574.6,38419126.2,38419126.2,34353610.2,30288094.2,27645508.8,21343959,24393096,28763525.7,28763525.7,28804180.86,28865163.6,27442233,26425854,26425854,25548080.64,28387465.47,30714973.38,33035586.17,35960346.84,30491370,28367137.89,17833385.93,18445246.09,20604035.09,21898901.93,18821306.32,16475503.59,21770838.18,24976497.55,27007222.79,28991194.6,28092715.56,26712472.88,27411741.63,26868995.24,26964941.42,28186222.43,27340052.35,26425854,26041380.18,25816026.6,25409475,24879282.93
