# File: FAO_ag_items_PRODSTAT.csv
# Title: FAO_ag_items_PRODSTAT
# Unit: Unitless
# Description: Maps FAO PRODSTAT crops to GCAM commodities and crop names in all other databases
# Sources: FAO and other databases
# Column types: ciccccicccccccccccc
# ----------
item,item.code,GTAP_crop,GCAM_commodity,GCAM_subsector,CROSIT_crop,CROSIT_cropID,IFA2002_crop,IFA_commodity,MIRCA_crop_name,MIRCA_crop,MIRCA_Crop24and26,MH_crop,MH2011_crop,MH2014_proxy,GTAP_use,Nfix,Suffix,Vish_crop
Raspberries,547,Raspberries,Fruits,Fruits,FRUI,19,Raspberry,FruitsAndVeg,Others (perennial) ,Crop24,Raspberries,,Fruits other,,v_f,,,Fruits and Vegetable
"Rice, paddy",27,PaddyRice,Rice,Rice,RICE,2,Rice,Rice,Rice,Crop3,,Rice,Rice,,pdr,,,Rice
"Roots and tubers, nes",149,Root_TbrNES,RootTuber,RootTuber,OTHR,11,Roots & tubers,Other,Others (annual),Crop26,Rootsandtubersnes,,Roots other,,,,,Other Crops
Rye,71,Rye,OtherGrain,OtherGrain,OTHC,7,Rye,OtherCoarseGrains,Rye,Crop5,,,Rye,,gro,,,Other Coarse Grain
Rye grass for forage & silage,638,RyeGrsFrgSlg,FodderGrass,FodderGrass,OTHC,7,,Other,Rye,Crop5,,,Rye,Rye,,,,Other Crops
Safflower seed,280,SfflwrSeed,OilCrop,OilCrop,OILC,20,Safflower,OtherOilSeeds,Others (annual),Crop26,Safflowerseed,,Oilcrops other,,osd,,,Other Oil Seeds
Seed cotton,328,SeedCotton,FiberCrop,FiberCrop,COTT,32,Cotton,Cotton,Cotton,Crop21,,Cotton,Cotton,,pfb,,,Cotton
Sesame seed,289,SesameSeed,OilCrop,OilCrop,SESA,26,Sesame,OtherOilSeeds,Others (annual),Crop26,Sesameseed,,Sesameseed,,osd,,,Other Oil Seeds
Sisal,789,Sisal,FiberCrop,FiberCrop,,,Sisal,Other,Others (annual),Crop26,Sisal,,,,pfb,,,Other Crops
Sorghum,83,Sorghum,OtherGrain,OtherGrainC4,SORG,6,Sorghum,OtherCoarseGrains,Sorghum,Crop7,,Sorghum,Sorghum,,gro,,C4,Other Coarse Grain
Sorghum for forage and silage,637,Srgm4FrgSlg,FodderHerb,FodderHerbC4,SORG,6,,Other,Sorghum,Crop7,,,Sorghum,Sorghum,ocr,,C4,Other Crops
Soybeans,236,Soybeans,Soybean,Soybean,SOYB,23,Soybean,Soybean,Soybeans,Crop8,,Soybean,Soybean,,osd,Nfix,,Soybean
"Spices, nes",723,spicesnes,MiscCrop,MiscCrop,,,,Other,Others (annual),Crop26,Spices_nes,,,,ocr,,,Other Crops
Spinach,373,Spinach,Vegetables,Vegetables,VEGE,16,Spinach,FruitsAndVeg,Others (annual),Crop26,Spinach,,Vegetables other,,v_f,,,Fruits and Vegetable
Strawberries,544,Strawberries,Fruits,Fruits,FRUI,19,Strawberry,FruitsAndVeg,Others (perennial) ,Crop24,Strawberries,,Fruits other,,v_f,,,Fruits and Vegetable
String beans,423,StringBeans,Vegetables,Vegetables,VEGE,,,Other,Others (annual),Crop26,Stringbeans,,Vegetables other,,v_f,Nfix,,Other Crops
Sugar beet,157,SugarBeets,SugarCrop,SugarCrop,BEET,13,Sugar beet,SugarCrops,Sugar beets,Crop13,,,Sugar Beet,,c_b,,,Sugar Crops
Sugar cane,156,SugarCane,SugarCrop,SugarCropC4,CANE,14,Sugar cane,SugarCrops,Sugar cane,Crop12,,Sugarcane,Sugarcane,,c_b,,C4,Sugar Crops
"Sugar crops, nes",161,SugarCrpNES,SugarCrop,SugarCrop,,,,SugarCrops,Others (annual),Crop26,Sugarcrops_nes,,,,c_b,,,Sugar Crops
Sunflower seed,267,SnflwrSeed,OilCrop,OilCrop,SUNF,25,Sunflower,OtherOilSeeds,Sunflower,Crop9,,Sunflower,Sunflower,,osd,,,Other Oil Seeds
Swedes for Fodder,649,Swedes4Fddr,FodderHerb,FodderHerb,,,,Other,Others (annual),Crop26,,,,,ocr,,,Other Crops
Sweet potatoes,122,SweetPotato,RootTuber,RootTuber,SPOT,9,"Potato, sweet",Other,Others (annual),Crop26,Sweetpotatoes,,Sweet Potatoes,,,,,Other Crops
Tallowtree seed,305,,NutsSeeds,NutsSeedsTree,,,,Other,Others (perennial) ,Crop24,,,,,,,Tree,Other Crops
"Tangerines, mandarins, clementines, satsumas",495,TngMndClmnt,Fruits,FruitsTree,CITR,18,Tangerine,FruitsAndVeg,Citrus,Crop18,,,"Oranges, Mandarines",,v_f,,Tree,Fruits and Vegetable
Taro (cocoyam),136,TaroCocoYam,RootTuber,RootTuber,CASS,10,Taro,Other,Others (annual),Crop26,Taro.cocoyam.,,,,,,,Other Crops
Tea,667,Tea,MiscCrop,MiscCrop,TEAS,30,Tea,Other,Others (perennial) ,Crop24,Tea,,Tea,,ocr,,,Other Crops
Tea Nes,674,,MiscCrop,MiscCrop,TEAS,30,Tea,Other,Others (perennial) ,Crop24,,,Tea,,ocr,,,Other Crops
"Tobacco, unmanufactured",826,TbccLeaves,MiscCrop,MiscCrop,TOBA,31,Tobacco,Other,Others (annual),Crop26,Tobacco_unmanufactured,,,,ocr,,,Other Crops
Tomatoes,388,Tomatoes,Vegetables,Vegetables,VEGE,16,Tomato,FruitsAndVeg,Others (annual),Crop26,Tomatoes,,Tomatoes,,v_f,,,Fruits and Vegetable
Triticale,97,Triticale,OtherGrain,OtherGrain,OTHC,7,Triticale,OtherCoarseGrains,Others (annual),Crop26,Triticale,,,,gro,,,Other Coarse Grain
Tung nuts,275,TungNuts,OilCrop,OilCropTree,OILC,20,,Other,Others (perennial) ,Crop24,,,Oilcrops other,,osd,,Tree,Other Oil Seeds
Turnips for Fodder,646,Turnips4Fddr,FodderHerb,FodderHerb,,,,FruitsAndVeg,Others (annual),Crop25,,,Roots other,Carrots and turnips,ocr,,,Other Crops
Vanilla,692,Vanilla,MiscCrop,MiscCrop,,,,Other,Others (perennial) ,Crop24,Vanilla,,,,ocr,,,Other Crops
Vegetables Roots Fodder,655,Vgt_RootFddr,FodderHerb,FodderHerb,,,,Other,Others (annual),Crop25,,,Roots other,Carrots and turnips,ocr,,,Other Crops
"Vegetables, fresh nes",463,VgtbFrshNES,Vegetables,Vegetables,VEGE,16,Radish,FruitsAndVeg,Others (annual),Crop26,Vegetablesfreshnes,,Vegetables other,,v_f,,,Fruits and Vegetable
"Vegetables, leguminous nes",420,,Vegetables,Vegetables,VEGE,16,,,Others (annual),Crop26,,,Vegetables other,,v_f,Nfix,,Other Crops
Vetches,205,Vetches,FodderHerb,FodderHerb,PULS,15,,Other,Pulses,Crop17,,,Beans,,ocr,,,Other Crops
"Walnuts, with shell",222,Walnuts,NutsSeeds,NutsSeedsTree,,,,Other,Others (perennial) ,Crop24,Walnuts_withshell,,Nuts,,v_f,,Tree,Other Crops
Watermelons,567,Watermelons,Fruits,Fruits,FRUI,,Watermelon,FruitsAndVeg,Others (annual),Crop26,Watermelons,,Fruits other,,v_f,,,Fruits and Vegetable
Wheat,15,Wheat,Wheat,Wheat,WHEA,1,Wheat,Wheat,Wheat,Crop1,,Wheat,Wheat,,wht,,,Wheat
Yams,137,Yams,RootTuber,RootTuber,SPOT,9,Yam,Other,Others (annual),Crop26,Yams,,Yams,,,,,Other Crops
Yautia (cocoyam),135,YautiaCcYam,RootTuber,RootTuber,OTHR,11,,Other,Others (annual),Crop26,Yautia.cocoyam.,,,,,,,Other Crops
,,BrdBeanGreen,Vegetables,Vegetables,PULS,15,,Other,Others (annual),Crop26,,,,,,,,Other Crops
,,KapokFibre,FiberCrop,FiberCrop,,,,,Others (perennial) ,Crop24,,,,,pfb,,,Other Crops
