# File: GCAMFAOSTAT_PFertilizer.csv
# Title: FAO phosphate fertilizer production and consumption by country_year
# Units: tonnes P2O5
# Description:  Queried data are preprocessed for consistency with outputs of gcamfaostat
# Data source: FAOSTAT
# Date of CSV last update: 2026-07-23
# Column types: iciciccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
area_code,area,item_code,item,element_code,element,unit,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
11,Austria,3103,Nutrient phosphate P2O5 (total),5157,Agricultural Use,t,122827,136673,126022,123055,87532,76404,89481,94425,96000,99700,99300,93305,83357,94477,95000,90496,72200,69400,73200,64100,73600,70400,65000,64000,56000,52000,52272,59969,57264,53503,48548,47192,47138,45193,39357,36320,34979,37925,44704,17531,22121,29268,26198,29658,32731,31646,31045,31625,28464,26500,32104,26504,15494
11,Austria,3103,Nutrient phosphate P2O5 (total),5510,Production,t,102200,123073,138639,142774,144600,90200,105000,107500,104000,107800,105000,95500,88025,95100,99100,75300,49800,64400,49700,61000,70000,77000,79000,77000,58000,44000,72000,64000,62000,57000,51000,74200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Bahamas,3103,Nutrient phosphate P2O5 (total),5157,Agricultural Use,t,400,450,500,546,452,378,529,600,400,400,300,400,600,700,500,200,200,200,200,200,0,0,0,0,0,0,100,100,100,100,100,200,0,0,0,0,0,0,0,0,0,0,294,316,274,392,419,456,353,375,179,179,0
12,Bahamas,3103,Nutrient phosphate P2O5 (total),5510,Production,t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Bahrain,3103,Nutrient phosphate P2O5 (total),5157,Agricultural Use,t,0,0,6,6,10,0,0,0,10,13,0,0,53,120,110,150,280,75,78,138,166,200,200,200,200,200,200,200,310,147,118,100,70,70,70,70,70,114,55,52,61,70,89,96,91,82,151,95,85,130,76,76,64
13,Bahrain,3103,Nutrient phosphate P2O5 (total),5510,Production,t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Barbados,3103,Nutrient phosphate P2O5 (total),5157,Agricultural Use,t,700,700,200,200,300,400,1212,997,1000,1000,1000,1000,1000,1410,1380,1002,1200,300,300,100,200,200,200,200,200,200,200,200,200,200,200,200,50,417,11,131,595,572,178,407,1157,245,667,9,27,108,337,165,167,107,131,122,122
14,Barbados,3103,Nutrient phosphate P2O5 (total),5510,Production,t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Belgium-Luxembourg,3103,Nutrient phosphate P2O5 (total),5157,Agricultural Use,t,150278,156564,156835,172880,157192,120000,117000,118000,113300,103500,102400,92700,94100,98000,93600,91000,89000,87000,87000,86500,78000,65000,55000,51000,51000,51000,46000,44000,47000,45000,,,,,,,,,,,,,,,,,,,,,,,
15,Belgium-Luxembourg,3103,Nutrient phosphate P2O5 (total),5510,Production,t,758848,762688,780135,768872,757400,625000,589000,623000,592000,618000,590000,530000,460000,446000,365000,376000,358000,354000,405000,412000,362000,452000,388000,353000,84000,140000,108000,120000,149000,170000,,,,,,,,,,,,,,,,,,,,,,,
