variable,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Population (millions),310.070007,312.315002,314.524048,316.745819,319.015717,321.488342,323.975922,326.47641,328.98703,331.50473,334.025635,336.545105,339.058777,341.563019,344.054474,346.527985,348.981445,351.413055,353.820312,356.203369,358.559235,360.871796,363.141693,365.370392,367.559479,369.711151,371.83017,373.919006,375.980713,378.018616,380.036011
Gross Domestic Product (billion 2009 dollars),14783.79981,15020.5752,15369.17481,15710.27539,16055.49512,16554.05273,16965.92188,17356.87695,17816.32813,18287.29297,18793.9375,19253.60742,19716.49219,20222.57422,20739.52539,21250.97266,21761.00195,22282.32813,22806.33594,23303.35742,23819.50195,24345.55469,24896.64844,25494.97266,26100.60156,26726.31445,27357.03516,27990.14258,28643.83594,29300.57422,29983.35156
