Sector,2010,2015,2020,2025,2030,2035,2040,2045,2050
Residential,17.45097887,18.17810903,19.40159181,20.6655827,21.9091644,23.09907962,24.3001828,24.90073439,25.20101019
Commercial,7.537246038,7.816594573,8.270360257,8.73910365,9.136016764,9.590049628,10.13436076,10.40651633,10.54259411
