"Wind.Resource.Region","TRG","CF"
1,"class1",0.456283004709475
1,"class10",0.122117296772667
1,"class2",0.454881607676941
1,"class3",0.43734256975137
1,"class4",0.441068064619635
1,"class5",0.439750377762671
1,"class6",0.392520373315525
1,"class7",0.322331285722831
1,"class8",0.249185905837557
1,"class9",0.188880876642808
10,"class1",0.474501560134361
10,"class10",0.11761901844774
10,"class2",0.461735598173516
10,"class3",0.451604291763699
10,"class4",0.450262697854566
10,"class5",0.443796082694521
10,"class6",0.404523265761758
10,"class7",0.332062237164384
10,"class8",0.252702597053196
10,"class9",0.194886600716781
100,"class1",0.461393750374201
100,"class2",0.460338987136758
100,"class3",0.459428981052055
100,"class4",0.457997761918151
100,"class5",0.450600379227854
100,"class6",0.417289950754338
100,"class7",0.359582761373059
101,"class1",0.467661658234703
101,"class2",0.46475923350605
101,"class3",0.460184254455708
101,"class4",0.458961420123402
101,"class5",0.449213658513927
101,"class6",0.419008979733105
102,"class1",0.467781810963584
102,"class2",0.463361220206279
102,"class3",0.465050880233333
102,"class4",0.463791135478311
102,"class5",0.457535690336758
102,"class6",0.424637080784817
102,"class7",0.365319174469178
103,"class4",0.465663316417123
103,"class5",0.454476369147717
103,"class6",0.42828748168105
104,"class1",0.463493352508333
104,"class2",0.457563261641438
104,"class3",0.45328493991484
104,"class4",0.453484023448174
104,"class5",0.446510740393379
104,"class6",0.407068260174429
104,"class7",0.358048679642922
105,"class1",0.465852989027055
105,"class2",0.462105337808904
105,"class3",0.457631623152511
105,"class4",0.457554393387215
105,"class5",0.448646134914726
105,"class6",0.404898952833219
105,"class7",0.348653932740297
105,"class8",0.261012680263584
106,"class1",0.465865429072489
106,"class2",0.461644136866096
106,"class3",0.461301608350114
106,"class4",0.459929178757877
106,"class5",0.451445858869292
106,"class6",0.407699999757306
106,"class7",0.348716671002968
107,"class1",0.462720036508562
107,"class2",0.455891641518037
107,"class3",0.453327959462215
107,"class4",0.451857440534589
107,"class5",0.445159062751484
107,"class6",0.397246024132877
107,"class7",0.356929410757192
108,"class1",0.463459315565411
108,"class2",0.461382895416438
108,"class3",0.459602176922717
108,"class4",0.458920898676484
108,"class5",0.450976249927968
108,"class6",0.404595188330479
108,"class7",0.353655857369863
109,"class1",0.464102592844178
109,"class2",0.463631147084703
109,"class3",0.461263323093379
109,"class4",0.459149254518379
109,"class5",0.455570231475
109,"class6",0.430844385652511
11,"class10",0.10638326896153
11,"class3",0.459280597031963
11,"class5",0.456931629600342
11,"class6",0.409189493154795
11,"class7",0.321821114419977
11,"class8",0.245379891633425
11,"class9",0.194110953012329
110,"class1",0.46670135039589
110,"class2",0.462683355490639
110,"class3",0.461489104729224
110,"class4",0.461720220687443
110,"class5",0.455491411692694
110,"class6",0.412494137053881
110,"class7",0.3580115011121
111,"class1",0.471797325542466
111,"class2",0.471550764269406
111,"class3",0.470995982063813
111,"class4",0.467361492363813
111,"class5",0.456634439683333
111,"class6",0.409712681045205
111,"class7",0.350411034837443
112,"class1",0.47265862345605
112,"class2",0.464417377466553
112,"class3",0.4641629508129
112,"class4",0.462691365884247
112,"class5",0.456154452691438
112,"class6",0.431844667217009
113,"class1",0.473585250623973
113,"class2",0.473574815858562
113,"class3",0.47145940684121
113,"class4",0.469403306278767
113,"class5",0.464819476796119
113,"class6",0.41734022477968
114,"class1",0.458499239304338
114,"class2",0.450672698607648
114,"class3",0.440864762359475
114,"class4",0.437662862448744
114,"class5",0.437050708672374
114,"class6",0.403419070953425
114,"class7",0.356372481506393
115,"class1",0.463368561555365
115,"class2",0.448865519973059
115,"class3",0.448675873893607
115,"class4",0.447033359301256
115,"class5",0.443984050111416
115,"class6",0.409457369993493
115,"class7",0.36130989783105
116,"class1",0.463477871721689
116,"class2",0.456855452064269
116,"class3",0.45288460630605
116,"class4",0.451956634172831
116,"class5",0.447663960557534
116,"class6",0.410912018049886
116,"class7",0.35597017251895
117,"class1",0.4659874480371
117,"class2",0.464008435549658
117,"class3",0.462616055490639
117,"class4",0.459967664618379
117,"class5",0.452157104678995
117,"class6",0.413973769335616
117,"class7",0.362276697865183
118,"class1",0.47178042483847
118,"class2",0.467609507521347
118,"class3",0.463793421498744
118,"class4",0.464246511933333
118,"class5",0.456291166615183
118,"class6",0.416435262562671
118,"class7",0.361215853712557
119,"class2",0.470865932077626
119,"class3",0.470167784742123
119,"class4",0.468109211324201
119,"class5",0.451242938111301
119,"class6",0.404944298619521
119,"class7",0.358253188716895
12,"class1",0.47801419381347
12,"class10",0.108122418210959
12,"class2",0.458192260643607
12,"class3",0.446175926678311
12,"class4",0.443474028826826
12,"class5",0.435538164283904
12,"class6",0.404081341984361
