Scenario,State,State_FIPS,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
SSP2,Florida,12000,17310433,18807179,20311188,21662075,22847357,24002905,25047456,25821109,26295239,26516313
SSP2,Georgia,13000,9045755,9744277,10434783,11027864,11525922,12013081,12446261,12741918,12889578,12917497
SSP2,Hawaii,15000,1288860,1388062,1486881,1574120,1649444,1722947,1788968,1836590,1864075,1874870
SSP2,Idaho,16000,1416808,1519606,1620744,1706493,1777319,1846908,1907797,1948304,1967621,1968438
SSP2,Illinois,17000,13703032,14889438,16080573,17145675,18076202,18984344,19804217,20406693,20768695,20928795
SSP2,Indiana,18000,6708416,7234002,7753997,8202636,8580885,8950494,9279618,9506242,9622178,9648459
SSP2,Iowa,19000,3206682,3426818,3641024,3817408,3958745,4097147,4217985,4292779,4319646,4308863
SSP2,Kansas,20000,2946834,3170431,3391531,3579542,3736141,3889496,4025164,4115460,4159527,4163576
SSP2,Kentucky,21000,4432933,4729700,5017092,5251526,5437405,5619342,5777366,5872752,5902396,5881441
SSP2,Louisiana,22000,4897761,5260501,5617974,5923958,6180118,6430269,6652268,6803109,6877881,6890915
SSP2,Maine,23000,1370776,1449655,1524358,1581820,1624402,1666142,1700979,1718011,1717016,1702085
SSP2,Maryland,24000,5818516,6340930,6866517,7338473,7752489,8156823,8522495,8792766,8957220,9032581
SSP2,Massachusetts,25000,6942708,7577125,8216728,8795496,9306843,9805452,10257333,10595824,10808023,10912981
SSP2,Michigan,26000,10914325,11777027,12633318,13377402,14010748,14629380,15181356,15566898,15771992,15828432
SSP2,Minnesota,27000,5397357,5799183,6195293,6535147,6820324,7098413,7345285,7514477,7598925,7615841
SSP2,Mississippi,28000,3110247,3300074,3481601,3624126,3731931,3837890,3928036,3976120,3980892,3953655
SSP2,Missouri,29000,6185563,6663143,7134729,7539057,7877833,8209037,8503199,8703324,8802563,8820232
SSP2,Montana,30000,971809,1028252,1082323,1124937,1156573,1187271,1213746,1226609,1231230,1221900
SSP2,Nebraska,31000,1886767,2029750,2171483,2292059,2392185,2490088,2576392,2634698,2663865,2666619
SSP2,Nevada,32000,2201982,2396125,2590948,2765973,2919860,3069391,3204220,3304295,3366135,3392643
SSP2,New Hampshire,33000,1356789,1447454,1535183,1606986,1664134,1720002,1768620,1798218,1807829,1802031
