"# This file is created for GCAM-USA only, to implement unlimited water supply for global GCAM, this file may not be needed.",,,,,,,
region,unlimited.resource,output.unit,price.unit,market,capacity.factor,1972,2010
SC,water withdrawals,km^3,1975$/m^3,SC,1,0.00000001,0.00000001
SD,water consumption,km^3,1975$/m^3,SD,1,0.00000001,0.00000001
SD,water withdrawals,km^3,1975$/m^3,SD,1,0.00000001,0.00000001
TN,water consumption,km^3,1975$/m^3,TN,1,0.00000001,0.00000001
TN,water withdrawals,km^3,1975$/m^3,TN,1,0.00000001,0.00000001
TX,water consumption,km^3,1975$/m^3,TX,1,0.00000001,0.00000001
TX,water withdrawals,km^3,1975$/m^3,TX,1,0.00000001,0.00000001
UT,water consumption,km^3,1975$/m^3,UT,1,0.00000001,0.00000001
UT,water withdrawals,km^3,1975$/m^3,UT,1,0.00000001,0.00000001
VA,water consumption,km^3,1975$/m^3,VA,1,0.00000001,0.00000001
VA,water withdrawals,km^3,1975$/m^3,VA,1,0.00000001,0.00000001
VT,water consumption,km^3,1975$/m^3,VT,1,0.00000001,0.00000001
VT,water withdrawals,km^3,1975$/m^3,VT,1,0.00000001,0.00000001
WA,water consumption,km^3,1975$/m^3,WA,1,0.00000001,0.00000001
WA,water withdrawals,km^3,1975$/m^3,WA,1,0.00000001,0.00000001
WI,water consumption,km^3,1975$/m^3,WI,1,0.00000001,0.00000001
WI,water withdrawals,km^3,1975$/m^3,WI,1,0.00000001,0.00000001
WV,water consumption,km^3,1975$/m^3,WV,1,0.00000001,0.00000001
WV,water withdrawals,km^3,1975$/m^3,WV,1,0.00000001,0.00000001
WY,water consumption,km^3,1975$/m^3,WY,1,0.00000001,0.00000001
WY,water withdrawals,km^3,1975$/m^3,WY,1,0.00000001,0.00000001
