Region,Technology,Fuel,2005Vintage,PHEV,Emission,2005,2010
R2,TLSSCONV10,GSL,no,no,BC,0,0.041
R2,TLSSDSL10,DSL,no,no,BC,0,0
R2,TLSSHEV10,Other,no,no,BC,0,0.003
R2,TMB20C,B20,no,no,BC,0,0
R2,TMCNGC,CNG,no,no,BC,0,0
R2,TMCNGC10,CNG,no,no,BC,0,0
R2,TMCNGE,CNG,yes,no,BC,0,0
R2,TMDSLC,DSL,no,no,BC,0,0
R2,TMDSLC10,DSL,no,no,BC,0,0.184
R2,TMDSLE,DSL,yes,no,BC,0.821,0.396
R2,TMGSLC,GSL,no,no,BC,0,0
R2,TMGSLC10,GSL,no,no,BC,0,0.003
R2,TMGSLE,GSL,yes,no,BC,0.01,0.005
R2,TMLPGC,Other,no,no,BC,0,0
R2,TMLPGC10,Other,no,no,BC,0,0
R2,TMLPGE,Other,yes,no,BC,0,0
R3,TBCNGC,CNG,no,no,BC,0,0
R3,TBCNGE,CNG,yes,no,BC,0.001,0
R3,TBDSLC,DSL,no,no,BC,0,0
R3,TBDSLC10,DSL,no,no,BC,0,0.074
R3,TBDSLE,DSL,yes,no,BC,0.454,0.219
R3,TBGSLE,GSL,yes,no,BC,0.001,0
R3,TCDSLC,DSL,no,no,BC,0,0
R3,TCDSLC10,DSL,no,no,BC,0,0.067
R3,TCDSLE,DSL,yes,no,BC,0.795,0.409
R3,TCE85C,E85,no,no,BC,0,0
R3,TCGSLC,GSL,no,no,BC,0,0
R3,TCGSLC10,GSL,no,no,BC,0,0.002
R3,TCGSLE,GSL,yes,no,BC,0.035,0.018
R3,THLB20C,B20,no,no,BC,0,0
R3,THLDSLC,DSL,no,no,BC,0,0
R3,THLDSLC10,DSL,no,no,BC,0,0.787
R3,THLDSLE,DSL,yes,no,BC,5.251,2.613
R3,THLLPGE,Other,yes,no,BC,0,0
R3,THSCNGC10,CNG,no,no,BC,0,0
R3,THSDSLC,DSL,no,no,BC,0,0
R3,THSDSLC10,DSL,no,no,BC,0,0.501
R3,THSDSLE,DSL,yes,no,BC,4.515,2.101
R3,THSGSLE,GSL,yes,no,BC,0.001,0
R3,THSLPGE,Other,yes,no,BC,0,0
R3,TLCCNG10,CNG,no,no,BC,0,0
R3,TLCCONV10,GSL,no,no,BC,0,0.049
R3,TLCDSL10,DSL,no,no,BC,0,0
R3,TLCETHX10,ETH,no,no,BC,0,0
R3,TLCHEV10,Other,no,no,BC,0,0.006
R3,TLECGSL,GSL,yes,no,BC,0.782,0.339
R3,TLECNGX,CNG,yes,no,BC,0.002,0.001
R3,TLEELC,Other,yes,no,BC,0,0
R3,TLEETHX,ETH,yes,no,BC,0.013,0.004
R3,TLEFDSL,DSL,yes,no,BC,0.005,0.003
R3,TLEFGSL,GSL,yes,no,BC,0.625,0.271
R3,TLELPGX,Other,yes,no,BC,0.007,0.003
R3,TLELSGSL,GSL,yes,no,BC,0.138,0.066
R3,TLEMCGSL,GSL,yes,no,BC,0.046,0.02
R3,TLEMGSL,GSL,yes,no,BC,0.316,0.15
R3,TLEPDSL,DSL,yes,no,BC,0.21,0.114
R3,TLEPGSL,GSL,yes,no,BC,0.457,0.217
R3,TLESSGSL,GSL,yes,no,BC,0.162,0.077
R3,TLFCONV10,GSL,no,no,BC,0,0.08
R3,TLFDSL10,DSL,no,no,BC,0,0.001
R3,TLLSCONV10,GSL,no,no,BC,0,0.055
R3,TLLSETHX10,ETH,no,no,BC,0,0
R3,TLMCCONV10,GSL,no,no,BC,0,0.005
R3,TLMCONV10,GSL,no,no,BC,0,0.022
R3,TLMETHX10,ETH,no,no,BC,0,0
