Region,Demand,Description,Units,MARKAL Tech,Class,Electrification,Fuel,Vintage,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055
6,TL,Light duty vehicles,bn-vmt,TLEPDSL,Pickup,,DSL,Existing,0.6,0.42,0.25,0.1,0,0,0,0,0,0,0
6,TL,Light duty vehicles,bn-vmt,TLEPGSL,Pickup,,GSL,Existing,35.88,25.12,14.71,5.74,0,0,0,0,0,0,0
6,TL,Light duty vehicles,bn-vmt,TLESSGSL,Small SUV,,GSL,Existing,8.17,5.72,3.35,1.31,0,0,0,0,0,0,0
6,TL,Light duty vehicles,bn-vmt,TLFCONV10,Full size car,,GSL,2010,0,11.82,25.59,38.5,47.35,50.53,52.98,55.16,56.97,58.99,60.86
6,TL,Light duty vehicles,bn-vmt,TLFDSL10,Full size car,,DSL,2010,0,0.3,0.3,0.3,0.3,0,0,0,0,0,0
6,TL,Light duty vehicles,bn-vmt,TLFHEV10,Full size car,Hybrid,Hybrid GSL,2010,0,1,1,1,1,0,0,0,0,0,0
6,TL,Light duty vehicles,bn-vmt,TLLSCONV10,Large SUV,,GSL,2010,0,6.59,12.79,17.88,21.2,19.94,19.34,19.31,19.45,19.47,19.56
6,TL,Light duty vehicles,bn-vmt,TLMCCONV10,Mini car,,GSL,2010,0,0.78,1.4,1.78,2.04,1.7,1.56,1.63,1.69,1.76,1.82
6,TL,Light duty vehicles,bn-vmt,TLMCNG10,Minivan,,CNG,2010,0,0.03,0.03,0.03,0.03,0,0,0,0,0,0
6,TL,Light duty vehicles,bn-vmt,TLMCONV10,Minivan,,GSL,2010,0,2.59,2.59,4.69,6.07,5.7,8.03,8.03,8.1,8.12,8.16
6,TL,Light duty vehicles,bn-vmt,TLMDHEV15,Minivan,Hybrid,Hybrid DSL,2015,0,0,2.01,2.01,2.01,2.01,0,0,0,0,0
6,TL,Light duty vehicles,bn-vmt,TLMP20G10,Minivan,Plugin-20mi,PH20G,2010,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0
6,TL,Light duty vehicles,bn-vmt,TLPCONV10,Pickup,,GSL,2010,0,4.49,10.86,16.79,19.61,18.15,17.79,17.51,18.6,20.28,20.93
6,TL,Light duty vehicles,bn-vmt,TLPDSL10,Pickup,,DSL,2010,0,1.6,1.6,1.6,1.6,0,0,0,0,0,0
6,TL,Light duty vehicles,bn-vmt,TLPETHX10,Pickup,,E85,2010,0,0,0,0,1.05,4.28,4.82,5.1,4.19,2.53,1.98
6,TL,Light duty vehicles,bn-vmt,TLSSCONV10,Small SUV,,GSL,2010,0,7.56,14.64,21.63,26.15,25.82,26.28,26.06,26.14,26,26
6,TL,Light duty vehicles,bn-vmt,TLSSDSL10,Small SUV,,DSL,2010,0,0,1.73,3.39,4.5,6.35,6.59,6.75,6.9,7.05,7.21
6,TL,Light duty vehicles,bn-vmt,TLSSHEV10,Small SUV,Hybrid,Hybrid GSL,2010,0,0.45,0.45,0.45,0.45,0,0,0,0,0,0
7,TL,Light duty vehicles,bn-vmt,TLCCNG10,Compact car,,CNG,2010,0,0.04,0.04,0.04,0.04,0,0,0,0,0,0
7,TL,Light duty vehicles,bn-vmt,TLCCONV10,Compact car,,GSL,2010,0,17.28,37.78,60.28,76.66,88.31,98.87,105.84,112.23,119.48,126.27
7,TL,Light duty vehicles,bn-vmt,TLCDSL10,Compact car,,DSL,2010,0,0,0.58,1.15,1.55,2.24,2.39,2.51,2.62,2.74,2.85
7,TL,Light duty vehicles,bn-vmt,TLECGSL,Compact car,,GSL,Existing,95.36,66.76,39.1,15.26,0,0,0,0,0,0,0
7,TL,Light duty vehicles,bn-vmt,TLECNGX,Miscl,,CNG,Existing,0.31,0.22,0.13,0.05,0,0,0,0,0,0,0
7,TL,Light duty vehicles,bn-vmt,TLEELC,Miscl,Electric,ELC,Existing,0.02,0.02,0.01,0,0,0,0,0,0,0,0
7,TL,Light duty vehicles,bn-vmt,TLEETHX,Miscl,,E85,Existing,0.25,0.18,0.1,0.04,0,0,0,0,0,0,0
7,TL,Light duty vehicles,bn-vmt,TLEFDSL,Full size car,,DSL,Existing,1.27,0.89,0.52,0.2,0,0,0,0,0,0,0
7,TL,Light duty vehicles,bn-vmt,TLEFGSL,Full size car,,GSL,Existing,76.21,53.35,31.25,12.19,0,0,0,0,0,0,0
7,TL,Light duty vehicles,bn-vmt,TLELPGX,Miscl,,LPG,Existing,2.4,1.68,0.98,0.38,0,0,0,0,0,0,0
7,TL,Light duty vehicles,bn-vmt,TLELSGSL,Large SUV,,GSL,Existing,14.19,9.99,5.85,2.28,0,0,0,0,0,0,0
7,TL,Light duty vehicles,bn-vmt,TLEMCGSL,Mini car,,GSL,Existing,5.65,3.96,2.32,0.9,0,0,0,0,0,0,0
7,TL,Light duty vehicles,bn-vmt,TLEMGSL,Minivan,,GSL,Existing,17.9,12.53,7.34,2.86,0,0,0,0,0,0,0
7,TL,Light duty vehicles,bn-vmt,TLEPDSL,Pickup,,DSL,Existing,0.98,0.69,0.4,0.16,0,0,0,0,0,0,0
7,TL,Light duty vehicles,bn-vmt,TLEPGSL,Pickup,,GSL,Existing,58.61,41.03,24.03,9.38,0,0,0,0,0,0,0
7,TL,Light duty vehicles,bn-vmt,TLESSGSL,Small SUV,,GSL,Existing,16.75,11.73,6.87,2.68,0,0,0,0,0,0,0
7,TL,Light duty vehicles,bn-vmt,TLFCONV10,Full size car,,GSL,2010,0,23.19,48.98,72.59,89.78,96.97,103.58,110.57,116.93,123.84,130.42
7,TL,Light duty vehicles,bn-vmt,TLFDSL10,Full size car,,DSL,2010,0,0.55,0.55,0.55,0.55,0,0,0,0,0,0
7,TL,Light duty vehicles,bn-vmt,TLFHEV10,Full size car,Hybrid,Hybrid GSL,2010,0,1.95,1.95,1.95,1.95,0,0,0,0,0,0
7,TL,Light duty vehicles,bn-vmt,TLLSCONV10,Large SUV,,GSL,2010,0,12.92,25.27,35.92,43.29,42.75,43.22,44.29,45.67,46.73,47.97
7,TL,Light duty vehicles,bn-vmt,TLMCCONV10,Mini car,,GSL,2010,0,1.53,2.7,3.4,3.91,3.27,3.06,3.27,3.46,3.69,3.9
7,TL,Light duty vehicles,bn-vmt,TLMCONV10,Minivan,,GSL,2010,0,5.14,5.14,9.54,12.59,12.6,17.94,18.43,19.03,19.48,20.01
7,TL,Light duty vehicles,bn-vmt,TLMDHEV15,Minivan,Hybrid,Hybrid DSL,2015,0,0,4.04,4.04,4.04,4.04,0,0,0,0,0
7,TL,Light duty vehicles,bn-vmt,TLMP20G10,Minivan,Plugin-20mi,PH20G,2010,0,0,0.96,0.96,0.96,0.96,0,0,0,0,0
7,TL,Light duty vehicles,bn-vmt,TLPCNG10,Pickup,,CNG,2010,0,0.07,0.07,0.07,0.07,0,0,0,0,0,0
7,TL,Light duty vehicles,bn-vmt,TLPCONV10,Pickup,,GSL,2010,0,8.9,21.63,34.04,42.65,48.26,50.54,51.87,53.51,54.74,56.18
7,TL,Light duty vehicles,bn-vmt,TLPDSL10,Pickup,,DSL,2010,0,2.98,2.98,2.98,2.98,0,0,0,0,0,0
7,TL,Light duty vehicles,bn-vmt,TLSSCONV10,Small SUV,,GSL,2010,0,14.82,29.32,44.36,54.71,57.17,60.47,61.66,63.35,64.48,65.93
7,TL,Light duty vehicles,bn-vmt,TLSSDSL10,Small SUV,,DSL,2010,0,0,3.16,6.23,8.41,12.17,12.97,13.6,14.23,14.85,15.48
7,TL,Light duty vehicles,bn-vmt,TLSSHEV10,Small SUV,Hybrid,Hybrid GSL,2010,0,0.87,0.87,0.87,0.87,0,0,0,0,0,0
8,TL,Light duty vehicles,bn-vmt,TLCCNG10,Compact car,,CNG,2010,0,0.02,0.02,0.02,0.02,0,0,0,0,0,0
8,TL,Light duty vehicles,bn-vmt,TLCCONV10,Compact car,,GSL,2010,0,10.64,22.98,36.5,42.48,50.2,57.41,62.59,71.63,77.08,82.23
8,TL,Light duty vehicles,bn-vmt,TLCDSL10,Compact car,,DSL,2010,0,0,0.39,0.77,1.04,1.53,1.65,1.76,1.86,1.96,2.06
8,TL,Light duty vehicles,bn-vmt,TLCELC,Compact car,Electric,ELC,Future,0,0,0,0,4.18,4.18,4.18,4.18,0,0,0
8,TL,Light duty vehicles,bn-vmt,TLECGSL,Compact car,,GSL,Existing,53.86,37.7,22.08,8.62,0,0,0,0,0,0,0
8,TL,Light duty vehicles,bn-vmt,TLECNGX,Miscl,,CNG,Existing,0.41,0.29,0.17,0.07,0,0,0,0,0,0,0
8,TL,Light duty vehicles,bn-vmt,TLEELC,Miscl,Electric,ELC,Existing,0.03,0.02,0.01,0,0,0,0,0,0,0,0
8,TL,Light duty vehicles,bn-vmt,TLEETHX,Miscl,,E85,Existing,0.38,0.27,0.16,0.06,0,0,0,0,0,0,0
8,TL,Light duty vehicles,bn-vmt,TLEFDSL,Full size car,,DSL,Existing,0.72,0.5,0.29,0.12,0,0,0,0,0,0,0
8,TL,Light duty vehicles,bn-vmt,TLEFGSL,Full size car,,GSL,Existing,43.04,30.13,17.65,6.89,0,0,0,0,0,0,0
8,TL,Light duty vehicles,bn-vmt,TLELPGX,Miscl,,LPG,Existing,0.76,0.54,0.31,0.12,0,0,0,0,0,0,0
8,TL,Light duty vehicles,bn-vmt,TLELSGSL,Large SUV,,GSL,Existing,9.16,6.43,3.77,1.47,0,0,0,0,0,0,0
8,TL,Light duty vehicles,bn-vmt,TLEMCGSL,Mini car,,GSL,Existing,3.19,2.24,1.31,0.51,0,0,0,0,0,0,0
8,TL,Light duty vehicles,bn-vmt,TLEMGSL,Minivan,,GSL,Existing,11.56,8.09,4.74,1.85,0,0,0,0,0,0,0
8,TL,Light duty vehicles,bn-vmt,TLEPDSL,Pickup,,DSL,Existing,0.49,0.34,0.2,0.08,0,0,0,0,0,0,0
8,TL,Light duty vehicles,bn-vmt,TLEPGSL,Pickup,,GSL,Existing,29.35,20.55,12.03,4.7,0,0,0,0,0,0,0
8,TL,Light duty vehicles,bn-vmt,TLESSGSL,Small SUV,,GSL,Existing,10.78,7.55,4.42,1.72,0,0,0,0,0,0,0
8,TL,Light duty vehicles,bn-vmt,TLFCONV10,Full size car,,GSL,2010,0,14.2,29.81,44.03,54.72,59.84,64.7,69.93,74.82,80.09,85.14
8,TL,Light duty vehicles,bn-vmt,TLFDSL10,Full size car,,DSL,2010,0,0.37,0.37,0.37,0.37,0,0,0,0,0,0
8,TL,Light duty vehicles,bn-vmt,TLFHEV10,Full size car,Hybrid,Hybrid GSL,2010,0,1.24,1.24,1.24,1.24,0,0,0,0,0,0
8,TL,Light duty vehicles,bn-vmt,TLLSCONV10,Large SUV,,GSL,2010,0,7.95,15.55,22.21,26.97,27.2,28,29.08,30.33,31.35,32.5
8,TL,Light duty vehicles,bn-vmt,TLMCCONV10,Mini car,,GSL,2010,0,0.94,1.65,2.07,2.39,2.02,1.91,2.07,2.21,2.38,2.55
8,TL,Light duty vehicles,bn-vmt,TLMCONV10,Minivan,,GSL,2010,0,3.16,3.16,5.91,7.89,8.13,11.62,12.1,12.63,13.07,13.56
8,TL,Light duty vehicles,bn-vmt,TLMDHEV15,Minivan,Hybrid,Hybrid DSL,2015,0,0,2.49,2.49,2.49,2.49,0,0,0,0,0
8,TL,Light duty vehicles,bn-vmt,TLMP20G10,Minivan,Plugin-20mi,PH20G,2010,0,0,0.58,0.58,0.58,0.58,0,0,0,0,0
8,TL,Light duty vehicles,bn-vmt,TLPCNG10,Pickup,,CNG,2010,0,0.04,0.04,0.04,0.04,0,0,0,0,0,0
8,TL,Light duty vehicles,bn-vmt,TLPCONV10,Pickup,,GSL,2010,0,5.27,13.12,20.88,26.44,30.75,32.74,34.05,35.53,36.72,38.06
8,TL,Light duty vehicles,bn-vmt,TLPDSL10,Pickup,,DSL,2010,0,2.03,2.03,2.03,2.03,0,0,0,0,0,0
8,TL,Light duty vehicles,bn-vmt,TLSSCONV10,Small SUV,,GSL,2010,0,9.1,17.84,27.08,33.64,35.74,38.44,39.7,41.24,42.39,43.76
8,TL,Light duty vehicles,bn-vmt,TLSSDSL10,Small SUV,,DSL,2010,0,0,2.14,4.23,5.76,8.46,9.15,9.71,10.27,10.83,11.4
8,TL,Light duty vehicles,bn-vmt,TLSSHEV10,Small SUV,Hybrid,Hybrid GSL,2010,0,0.56,0.56,0.56,0.56,0,0,0,0,0,0
9,TL,Light duty vehicles,bn-vmt,TLCCNG10,Compact car,,CNG,2010,0,0.06,0.06,0.06,0.06,0,0,0,0,0,0
9,TL,Light duty vehicles,bn-vmt,TLCCONV10,Compact car,,GSL,2010,0,23.26,51.73,83.74,106.74,123.88,138.77,147.79,156,165.33,174.05
9,TL,Light duty vehicles,bn-vmt,TLCDSL10,Compact car,,DSL,2010,0,0,0.89,1.76,2.36,3.41,3.61,3.77,3.93,4.09,4.25
9,TL,Light duty vehicles,bn-vmt,TLECGSL,Compact car,,GSL,Existing,131.57,92.1,53.94,21.05,0,0,0,0,0,0,0
9,TL,Light duty vehicles,bn-vmt,TLECNGX,Miscl,,CNG,Existing,0.81,0.57,0.33,0.13,0,0,0,0,0,0,0
9,TL,Light duty vehicles,bn-vmt,TLEELC,Miscl,Electric,ELC,Existing,1.58,1.1,0.65,0.25,0.13,0,0,0,0,0,0
9,TL,Light duty vehicles,bn-vmt,TLEETHX,Miscl,,E85,Existing,0.24,0.17,0.1,0.04,0,0,0,0,0,0,0
9,TL,Light duty vehicles,bn-vmt,TLEFDSL,Full size car,,DSL,Existing,1.76,1.23,0.72,0.28,0,0,0,0,0,0,0
9,TL,Light duty vehicles,bn-vmt,TLEFGSL,Full size car,,GSL,Existing,105.14,73.6,43.11,16.82,0,0,0,0,0,0,0
9,TL,Light duty vehicles,bn-vmt,TLELPGX,Miscl,,LPG,Existing,1.04,0.73,0.43,0.17,0,0,0,0,0,0,0
9,TL,Light duty vehicles,bn-vmt,TLELSGSL,Large SUV,,GSL,Existing,22.04,15.44,9.05,3.53,0,0,0,0,0,0,0
9,TL,Light duty vehicles,bn-vmt,TLEMCGSL,Mini car,,GSL,Existing,7.8,5.46,3.2,1.25,0,0,0,0,0,0,0
9,TL,Light duty vehicles,bn-vmt,TLEMGSL,Minivan,,GSL,Existing,36.6,25.62,15.01,5.86,0,0,0,0,0,0,0
9,TL,Light duty vehicles,bn-vmt,TLEPDSL,Pickup,,DSL,Existing,1.08,0.75,0.44,0.17,0,0,0,0,0,0,0
9,TL,Light duty vehicles,bn-vmt,TLEPGSL,Pickup,,GSL,Existing,64.43,45.1,26.41,10.31,0,0,0,0,0,0,0
9,TL,Light duty vehicles,bn-vmt,TLESSGSL,Small SUV,,GSL,Existing,25.9,18.13,10.62,4.14,0,0,0,0,0,0,0
9,TL,Light duty vehicles,bn-vmt,TLFCONV10,Full size car,,GSL,2010,0,30.95,66.7,100.34,124.52,136.05,145.65,154.68,162.82,171.66,180.07
9,TL,Light duty vehicles,bn-vmt,TLFDSL10,Full size car,,DSL,2010,0,0.84,0.84,0.84,0.84,0,0,0,0,0,0
9,TL,Light duty vehicles,bn-vmt,TLFHEV10,Full size car,Hybrid,Hybrid GSL,2010,0,2.77,2.77,2.77,2.77,0,0,0,0,0,0
9,TL,Light duty vehicles,bn-vmt,TLLSCONV10,Large SUV,,GSL,2010,0,17.39,33.58,47.05,56.24,54.22,53.92,54.96,56.41,57.45,58.74
9,TL,Light duty vehicles,bn-vmt,TLMCCONV10,Mini car,,GSL,2010,0,2.06,3.67,4.67,5.38,4.57,4.3,4.57,4.82,5.11,5.38
9,TL,Light duty vehicles,bn-vmt,TLMCONV10,Minivan,,GSL,2010,0,6.92,6.92,12.48,16.29,15.76,22.38,22.87,23.5,23.96,24.51
9,TL,Light duty vehicles,bn-vmt,TLMDHEV15,Minivan,Hybrid,Hybrid DSL,2015,0,0,5.26,5.26,5.26,5.26,0,0,0,0,0
9,TL,Light duty vehicles,bn-vmt,TLMP20G10,Minivan,Plugin-20mi,PH20G,2010,0,0,1.29,1.29,1.29,1.29,0,0,0,0,0
9,TL,Light duty vehicles,bn-vmt,TLPCNG10,Pickup,,CNG,2010,0,0.09,0.09,0.09,0.09,0,0,0,0,0,0
9,TL,Light duty vehicles,bn-vmt,TLPCONV10,Pickup,,GSL,2010,0,11.21,27.85,43.54,54.28,61.07,63.05,64.36,66.09,67.3,68.8
9,TL,Light duty vehicles,bn-vmt,TLPDSL10,Pickup,,DSL,2010,0,4.78,4.78,4.78,4.78,0,0,0,0,0,0
9,TL,Light duty vehicles,bn-vmt,TLSSCONV10,Small SUV,,GSL,2010,0,19.87,37.83,55.79,67.96,68.24,71.02,71.85,73.39,74.21,75.45
9,TL,Light duty vehicles,bn-vmt,TLSSDSL10,Small SUV,,DSL,2010,0,0,5.09,10.02,13.48,19.43,20.62,21.53,22.43,23.34,24.25
9,TL,Light duty vehicles,bn-vmt,TLSSHEV10,Small SUV,Hybrid,Hybrid GSL,2010,0,1.25,1.25,1.25,1.25,0,0,0,0,0,0
