# technical change,,,,,,,,,,,,,,,,,,,,,,,
resource,subresource,1975,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
conventional gas,conventional gas,0,0,0,0,0.008589701,0.008589701,0.008589701,0.008589701,0.008589701,0.008589701,0.008589701,0.008589701,0,0,0,0,0,0,0,0,0,0
coalbed methane,coalbed methane,0,0,0,0,0.008589701,0.008589701,0.008589701,0.008589701,0.008589701,0.008589701,0.008589701,0.008589701,0,0,0,0,0,0,0,0,0,0
shale gas,shale gas,0,0,0,0,0.025,0.008589701,0.008589701,0.008589701,0.008589701,0.008589701,0.008589701,0.008589701,0,0,0,0,0,0,0,0,0,0
tight gas,tight gas,0,0,0,0,0.008589701,0.008589701,0.008589701,0.008589701,0.008589701,0.008589701,0.008589701,0.008589701,0,0,0,0,0,0,0,0,0,0
offshore gas,offshore gas,0,0,0,0,0.008589701,0.008589701,0.008589701,0.008589701,0.008589701,0.008589701,0.008589701,0.008589701,0,0,0,0,0,0,0,0,0,0
unconventional gas other,unconventional gas other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
