# Building default technology efficiencies,,,,,,,,,,,,,
comm hot water,electricity,electric resistance water heater,elect_td_bld,0.983,0.983,0.983,0.983,0.99,0.99,0.99,0.99,0.99,0.99
comm hot water,electricity,electric heat pump water heater,elect_td_bld,2.1,2.1,2.1,2.1,2.2,2.454515613,2.547923582,2.645378307,2.745945733,2.78751782
comm hot water,refined liquids,fuel water heater,refined liquids enduse,0.768,0.768,0.768,0.7826113,0.850004575,0.860260215,0.860091889,0.859738082,0.860225996,0.873507395
comm ventilation,electricity,ventilation,elect_td_bld,0.743,0.743,0.71,0.71,0.721,0.732,0.743,0.754,0.754,0.754
comm ventilation,electricity,ventilation hi-eff,elect_td_bld,0.743,0.743,0.854,0.854,0.867,0.88,0.893,0.907,0.907,0.907
comm cooking,gas,gas stove,delivered gas,0.514,0.514,0.514,0.514,0.527,0.533,0.541,0.55,0.558,0.566
comm cooking,electricity,electric stove,elect_td_bld,0.722,0.722,0.713,0.762758886,0.823277565,0.849857657,0.881825324,0.915984134,0.950035677,0.964484889
comm lighting,electricity,incandescent,elect_td_bld,0.021,0.021,0.021,0.021,0.021,0.022,0.022,0.022,0.023,0.023
comm lighting,electricity,fluorescent,elect_td_bld,0.12,0.12,0.12,0.12,0.122,0.124,0.126,0.127,0.129,0.131
comm lighting,electricity,solid state,elect_td_bld,0.154,0.154,0.154,0.234666667,0.243599623,0.262724806,0.282953058,0.304340646,0.328783299,0.339803969
comm refrigeration,electricity,refrigeration,elect_td_bld,1.396,1.396,1.964,2.202325455,2.557212121,2.748848485,2.853939394,2.963151515,3.075454545,3.192909091
comm refrigeration,electricity,refrigeration hi-eff,elect_td_bld,1.396,1.396,3.094,3.094,3.141,3.188,3.236,3.285,3.335,3.385
comm office,electricity,office equipment,elect_td_bld,1,1,1,1.195348776,1.483155326,1.540309674,1.59889288,1.660333804,1.723203587,1.788931087
comm other,gas,gas,delivered gas,1,1,1,1,1.038,1.078,1.119,1.162,1.206,1.252
comm other,electricity,electricity,elect_td_bld,1,1,1,1.027032522,1.077837417,1.205467643,1.34768996,1.507483222,1.686930985,1.751067176
comm other,refined liquids,refined liquids,refined liquids enduse,1,1,1,1,1.038,1.078,1.119,1.162,1.206,1.252
comm non-building,electricity,electricity,elect_td_bld,1,1,1,1,0.974,1.011,1.049,1.089,1.131,1.174
