# Building sector technology efficiencies,,,,,,,,,,,,
supplysector,subsector,technology,minicam.energy.input,1971,2010,2015,2020,2025,2030,2035,2040,2100
comm hot water,gas,gas water heater hi-eff,delivered gas,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
comm hot water,electricity,electric resistance water heater,elect_td_bld,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975
comm hot water,electricity,electric heat pump water heater,elect_td_bld,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45
comm hot water,refined liquids,fuel water heater,refined liquids enduse,0.787,0.787,0.787,0.787,0.787,0.787,0.787,0.787,0.787
comm ventilation,electricity,ventilation,elect_td_bld,0.613,0.613,0.613,0.613,0.613,0.613,0.613,0.613,0.613
comm ventilation,electricity,ventilation hi-eff,elect_td_bld,2.416,2.416,2.416,2.416,2.416,2.416,2.416,2.416,2.416
comm cooking,gas,gas range,delivered gas,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45
comm cooking,gas,gas range hi-eff,delivered gas,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
comm cooking,electricity,electric range,elect_td_bld,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
comm cooking,electricity,electric range hi-eff,elect_td_bld,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
comm lighting,electricity,incandescent,elect_td_bld,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75
comm lighting,electricity,fluorescent,elect_td_bld,19.333,19.333,19.333,19.333,19.333,19.333,19.333,19.333,19.333
comm lighting,electricity,solid state,elect_td_bld,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5
comm refrigeration,electricity,refrigeration,elect_td_bld,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06
comm refrigeration,electricity,refrigeration hi-eff,elect_td_bld,3.756,3.756,3.756,3.756,3.756,3.756,3.756,3.756,3.756
comm office,electricity,office equipment,elect_td_bld,1,1,1,1,1,1,1,1,1
comm other,gas,gas,delivered gas,1,1,1,1,1,1,1,1,1
comm other,electricity,electricity,elect_td_bld,1,1,1,1,1,1,1,1,1
comm other,refined liquids,refined liquids,refined liquids enduse,1,1,1,1,1,1,1,1,1
comm non-building,electricity,electricity,elect_td_bld,1,1,1,1,1,1,1,1,1
