INPUT_TABLE,,,,,,,,
Variable ID,,,,,,,,
StubTechRESSecondaryOutput,,,,,,,,
,,,,,,,,
region,supplysector,subsector,stub.technology,year,res.secondary.output,output.ratio,pMult,new.vintage.only
DC,electricity,wind,wind,1975,ELEC_RPS,1,1,1
DC,electricity,wind,wind_storage,1975,ELEC_RPS,1,1,1
DC,electricity,solar,PV,1975,ELEC_RPS,1,1,1
DC,electricity,solar,PV_storage,1975,ELEC_RPS,1,1,1
DC,electricity,solar,CSP,1975,ELEC_RPS,1,1,1
DC,electricity,solar,CSP_storage,1975,ELEC_RPS,1,1,1
DC,elect_td_bld,rooftop_pv,rooftop_pv,1975,ELEC_RPS,1,1,1
DE,electricity,biomass,biomass (conv),1975,ELEC_RPS,1,1,1
DE,electricity,biomass,biomass (conv CCS),1975,ELEC_RPS,1,1,1
DE,electricity,biomass,biomass (IGCC),1975,ELEC_RPS,1,1,1
DE,electricity,biomass,biomass (IGCC CCS),1975,ELEC_RPS,1,1,1
DE,electricity,wind,wind,1975,ELEC_RPS,1,1,1
DE,electricity,wind,wind_storage,1975,ELEC_RPS,1,1,1
DE,electricity,solar,PV,1975,ELEC_RPS,1,1,1
DE,electricity,solar,PV_storage,1975,ELEC_RPS,1,1,1
DE,electricity,solar,CSP,1975,ELEC_RPS,1,1,1
DE,electricity,solar,CSP_storage,1975,ELEC_RPS,1,1,1
DE,elect_td_bld,rooftop_pv,rooftop_pv,1975,ELEC_RPS,1,1,1
FL,electricity,biomass,biomass (conv),1975,ELEC_RPS,1,1,1
FL,electricity,biomass,biomass (conv CCS),1975,ELEC_RPS,1,1,1
FL,electricity,biomass,biomass (IGCC),1975,ELEC_RPS,1,1,1
FL,electricity,biomass,biomass (IGCC CCS),1975,ELEC_RPS,1,1,1
FL,electricity,wind,wind,1975,ELEC_RPS,1,1,1
FL,electricity,wind,wind_storage,1975,ELEC_RPS,1,1,1
FL,electricity,solar,PV,1975,ELEC_RPS,1,1,1
FL,electricity,solar,PV_storage,1975,ELEC_RPS,1,1,1
FL,electricity,solar,CSP,1975,ELEC_RPS,1,1,1
FL,electricity,solar,CSP_storage,1975,ELEC_RPS,1,1,1
FL,elect_td_bld,rooftop_pv,rooftop_pv,1975,ELEC_RPS,1,1,1
GA,electricity,biomass,biomass (conv),1975,ELEC_RPS,1,1,1
GA,electricity,biomass,biomass (conv CCS),1975,ELEC_RPS,1,1,1
GA,electricity,biomass,biomass (IGCC),1975,ELEC_RPS,1,1,1
GA,electricity,biomass,biomass (IGCC CCS),1975,ELEC_RPS,1,1,1
