INPUT_TABLE,,,,,,,,
Variable ID,,,,,,,,
StubTechCoef,,,,,,,,
,,,,,,,,
region,supplysector,subsector,stub.technology,year,minicam.energy.input,coefficient,market.name,new.vintage.only
AZ,electricity,biomass,biomass (conv),1975,ELEC_RPS,0,AZ,1
AZ,electricity,biomass,biomass (conv CCS),1975,ELEC_RPS,0,AZ,1
AZ,electricity,biomass,biomass (IGCC),1975,ELEC_RPS,0,AZ,1
AZ,electricity,biomass,biomass (IGCC CCS),1975,ELEC_RPS,0,AZ,1
AZ,electricity,nuclear,Gen_II_LWR,1975,ELEC_RPS,0,AZ,1
AZ,electricity,nuclear,Gen_III,1975,ELEC_RPS,0,AZ,1
AZ,electricity,wind,wind,1975,ELEC_RPS,0,AZ,1
AZ,electricity,wind,wind_storage,1975,ELEC_RPS,0,AZ,1
AZ,electricity,solar,PV,1975,ELEC_RPS,0,AZ,1
AZ,electricity,solar,PV_storage,1975,ELEC_RPS,0,AZ,1
AZ,electricity,solar,CSP,1975,ELEC_RPS,0,AZ,1
AZ,electricity,solar,CSP_storage,1975,ELEC_RPS,0,AZ,1
AZ,electricity,geothermal,geothermal,1975,ELEC_RPS,0,AZ,1
AZ,elect_td_bld,rooftop_pv,rooftop_pv,1975,ELEC_RPS,0,AZ,1
CA,electricity,coal,coal (conv pul),1975,ELEC_RPS,0,CA,1
CA,electricity,coal,coal (conv pul CCS),1975,ELEC_RPS,0,CA,1
CA,electricity,coal,coal (IGCC),1975,ELEC_RPS,0,CA,1
CA,electricity,coal,coal (IGCC CCS),1975,ELEC_RPS,0,CA,1
CA,electricity,gas,gas (steam/CT),1975,ELEC_RPS,0,CA,1
CA,electricity,gas,gas (CC),1975,ELEC_RPS,0,CA,1
CA,electricity,gas,gas (CC CCS),1975,ELEC_RPS,0,CA,1
CA,electricity,refined liquids,refined liquids (steam/CT),1975,ELEC_RPS,0,CA,1
CA,electricity,refined liquids,refined liquids (CC),1975,ELEC_RPS,0,CA,1
CA,electricity,refined liquids,refined liquids (CC CCS),1975,ELEC_RPS,0,CA,1
CA,electricity,biomass,biomass (conv),1975,ELEC_RPS,0,CA,1
CA,electricity,biomass,biomass (conv CCS),1975,ELEC_RPS,0,CA,1
CA,electricity,biomass,biomass (IGCC),1975,ELEC_RPS,0,CA,1
CA,electricity,biomass,biomass (IGCC CCS),1975,ELEC_RPS,0,CA,1
CA,electricity,nuclear,Gen_II_LWR,1975,ELEC_RPS,0,CA,1
CA,electricity,nuclear,Gen_III,1975,ELEC_RPS,0,CA,1
CA,electricity,wind,wind,1975,ELEC_RPS,0,CA,1
CA,electricity,wind,wind_storage,1975,ELEC_RPS,0,CA,1
CA,electricity,solar,PV,1975,ELEC_RPS,0,CA,1
CA,electricity,solar,PV_storage,1975,ELEC_RPS,0,CA,1
CA,electricity,solar,CSP,1975,ELEC_RPS,0,CA,1
CA,electricity,solar,CSP_storage,1975,ELEC_RPS,0,CA,1
CA,electricity,geothermal,geothermal,1975,ELEC_RPS,0,CA,1
CA,elect_td_bld,rooftop_pv,rooftop_pv,1975,ELEC_RPS,0,CA,1
CO,electricity,coal,coal (conv pul),1975,ELEC_RPS,0,CO,1
CO,electricity,coal,coal (conv pul CCS),1975,ELEC_RPS,0,CO,1
CO,electricity,coal,coal (IGCC),1975,ELEC_RPS,0,CO,1
CO,electricity,coal,coal (IGCC CCS),1975,ELEC_RPS,0,CO,1
CO,electricity,gas,gas (steam/CT),1975,ELEC_RPS,0,CO,1
CO,electricity,gas,gas (CC),1975,ELEC_RPS,0,CO,1
CO,electricity,gas,gas (CC CCS),1975,ELEC_RPS,0,CO,1
CO,electricity,refined liquids,refined liquids (steam/CT),1975,ELEC_RPS,0,CO,1
CO,electricity,refined liquids,refined liquids (CC),1975,ELEC_RPS,0,CO,1
CO,electricity,refined liquids,refined liquids (CC CCS),1975,ELEC_RPS,0,CO,1
CO,electricity,biomass,biomass (conv),1975,ELEC_RPS,0,CO,1
CO,electricity,biomass,biomass (conv CCS),1975,ELEC_RPS,0,CO,1
CO,electricity,biomass,biomass (IGCC),1975,ELEC_RPS,0,CO,1
CO,electricity,biomass,biomass (IGCC CCS),1975,ELEC_RPS,0,CO,1
CO,electricity,nuclear,Gen_II_LWR,1975,ELEC_RPS,0,CO,1
CO,electricity,nuclear,Gen_III,1975,ELEC_RPS,0,CO,1
CO,electricity,wind,wind,1975,ELEC_RPS,0,CO,1
CO,electricity,wind,wind_storage,1975,ELEC_RPS,0,CO,1
CO,electricity,solar,PV,1975,ELEC_RPS,0,CO,1
CO,electricity,solar,PV_storage,1975,ELEC_RPS,0,CO,1
CO,electricity,solar,CSP,1975,ELEC_RPS,0,CO,1
CO,electricity,solar,CSP_storage,1975,ELEC_RPS,0,CO,1
CO,electricity,geothermal,geothermal,1975,ELEC_RPS,0,CO,1
CO,elect_td_bld,rooftop_pv,rooftop_pv,1975,ELEC_RPS,0,CO,1
CT,electricity,coal,coal (conv pul),1975,ELEC_RPS,0,CT,1
CT,electricity,coal,coal (conv pul CCS),1975,ELEC_RPS,0,CT,1
CT,electricity,coal,coal (IGCC),1975,ELEC_RPS,0,CT,1
CT,electricity,coal,coal (IGCC CCS),1975,ELEC_RPS,0,CT,1
