# File: FUBC_crops.csv
# Title: Mapping from GTAP/FAO crop types to country-specific Fertilizer Use By Country (FUBC) crop commodity classes
# Units: none
# Source: Ludemann et al. (2022) https://doi.org/10.5061/dryad.2rbnzs7qh
# Column types: ccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc
# ----------
GTAP_crop,Argentina,Australia,Austria,Bangladesh,Belarus,Belgium,Bolivia,Brazil,Bulgaria,Burkina Faso,Canada,Chile,China,Croatia,Cyprus,Czech Republic,Denmark,Egypt,Estonia,Finland,France,Germany,Greece,Hungary,India,Indonesia,Iran,Ireland,Israel,Italy,Japan,Latvia,Lithuania,Malaysia,Mali,Mexico,Morocco,Myanmar,Netherlands,New Zealand,Nigeria,Norway,Pakistan,Paraguay,Peru,Philippines,Poland,Portugal,Romania,Russia,Senegal,Slovakia,Slovenia,South Africa,Spain,Sweden,Tanzania,Thailand,Turkey,Ukraine,United Kingdom,United States,Uruguay,Vietnam
Lmn_Lme,Citrus,Fruit Primary,Fruits & Treenuts,Fruit Primary,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits and vegetables,Fruits & Treenuts,Fruits & Treenuts,"Fruits (apples, citrus, oranges)",Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruit Primary,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruit Primary,Fruit Primary,Fruits & Treenuts,citrus,Fruits & Treenuts,Fruits & Tree-nuts,Fruits & Treenuts,Fruits & Treenuts,Fruit Primary,Fruits and vegetables,Fruit Primary,Fruits,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Residual,Fruits & Treenuts,Fruits and treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruit Primary,,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,,Fruits (Pineapple+Mangoe+Longan+Rambutan+Durian+Mangosteen+Lychee+Tangerine+Longkong+Lime) & Treenuts,Fruits & Treenuts,Perennial crops,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruit Primary
Lupins,Residual,Residual,"Pulses (peas, beans)",Residual,Pulses,"Pulses (peas, beans)",Pulses,Pulses,"Pulses (peas, beans)",,Pulses,,,"Pulses (peas, beans)","Pulses (peas, beans)","Pulses (peas, beans)","Pulses (peas, beans)",Residual,"Pulses (peas, beans)","Pulses (peas, beans)","Pulses (peas, beans)","Pulses (peas, beans)","Pulses (peas, beans)","Pulses (peas, beans)",Pulses,Residual,Residual,"Pulses (peas, beans)",,"Pulses (peas, beans)",Residual,"Pulses (peas, beans)","Pulses (peas, beans)",Residual,Pulses,Residual,Residual,Pulses,"Pulses (peas, beans)",Residual,Residual,"Pulses (peas, beans)",Pulses,,,,"Pulses (peas, beans)","Pulses (peas, beans)","Pulses (peas, beans)",Residual,,"Pulses (peas, beans)","Pulses (peas, beans)",Pulses,"Pulses (peas, beans)","Pulses (peas, beans)",Beans,,Pulses,Other cereal and leguminous crops,"Pulses (peas, beans)",Pulses,Residual,Residual
Maize,Maize,Maize,"Grain maize, including corn cob maize",Maize,Maize Grain,"Grain maize, including corn cob maize",Maize Grain,Grain Maize,"Grain maize, including corn cob maize",Maize,Grain Maize,Maize Grain,"Maize, Total","Grain maize, including corn cob maize","Grain maize, including corn cob maize","Grain maize, including corn cob maize","Grain maize, including corn cob maize",Maize,"Grain maize, including corn cob maize","Grain maize, including corn cob maize","Grain maize, including corn cob maize","Grain maize, including corn cob maize","Grain maize, including corn cob maize","Grain maize, including corn cob maize","Maize, Grain",Maize,Maize,"Grain maize, including corn cob maize",,"Grain maize, including corn cob maize",Maize (Green),"Grain maize, including corn cob maize","Grain maize, including corn cob maize",Maize,Maize,Maize,Maize,Maize Grain,"Grain maize, including corn cob maize",Grain and other crops,Maize,"Grain maize, including corn cob maize",Grain Maize,Grain Maize,Maize Grain,Maize Grain,"Grain maize, including corn cob maize","Grain maize, including corn cob maize","Grain maize, including corn cob maize",Maize,Maize,"Grain maize, including corn cob maize","Grain maize, including corn cob maize",Maize Grain,"Grain maize, including corn cob maize","Grain maize, including corn cob maize",Maize grain,Maize Grain,Maize Grain,Maize for grain,"Grain maize, including corn cob maize","Maize, Total",Maize Grain,Maize
Maize4FrgSlg,Residual,Residual,Other crops,Residual,"Maize, Green (silage, bioenergy)",Other crops,Forages,"Green Maize (silage, bioenergy)",Other crops,,Green Maize,"Maize, Green (silage, bioenergy)",,Other crops,Other crops,Other crops,Other crops,Residual,Other crops,Other crops,Other crops,Other crops,Other crops,Other crops,Residual,Residual,Residual,Other crops,,Other crops,Maize (Green),Other crops,Other crops,Residual,,Residual,Residual,"Maize, Green (silage, bioenergy)",Other crops,Grassland (Dairy),Residual,Other crops,Green Maize,"Green Maize (silage, bioenergy)","Maize, Green (silage, bioenergy)",,Other crops,Other crops,Other crops,Residual,,Other crops,Other crops,Residual,Other crops,Other crops,,,"Maize, Green (silage, bioenergy)","Fodder crops, including for seed",Other crops,"Maize, Total",Grassland,Residual
Mangoes,Fruits,Fruit Primary,Fruits & Treenuts,Fruit Primary,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits and vegetables,Fruits & Treenuts,Fruits & Treenuts,"Fruits (apples, citrus, oranges)",Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruit Primary,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruit Primary,Fruit Primary,Fruits & Treenuts,orchards,Fruits & Treenuts,Fruits & Tree-nuts,Fruits & Treenuts,Fruits & Treenuts,Fruit Primary,Fruits and vegetables,Fruit Primary,Fruits,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Residual,Fruits & Treenuts,Fruits and treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruit Primary,,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,,Fruits (Pineapple+Mangoe+Longan+Rambutan+Durian+Mangosteen+Lychee+Tangerine+Longkong+Lime) & Treenuts,Fruits & Treenuts,Perennial crops,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruit Primary
Mate,Residual,Residual,Other crops,Residual,Residual,Other crops,,Residual,Other crops,,Residual,,,Other crops,Other crops,Other crops,Other crops,Residual,Other crops,Other crops,Other crops,Other crops,Other crops,Other crops,Residual,Residual,Residual,Other crops,,Other crops,Residual,Other crops,Other crops,Residual,,Residual,Residual,,Other crops,Residual,Residual,Other crops,Residual,,,,Other crops,Other crops,Other crops,Residual,,Other crops,Other crops,Residual,Other crops,Other crops,,,,Perennial crops,Other crops,Residual,Residual,Residual
Melonseed,Other oilseeds,Other Oil Crops,Other oil crops,Other Oil Crops,Other Oil Crops,Other oil crops,Other Oil Crops,Other Oil Crops,Other oil crops,,Other Oil Crops,,,Other oil crops,Other oil crops,Other oil crops,Other oil crops,Other Oil Crops,Other oil crops,Other oil crops,Other oil crops,Other oil crops,Other oil crops,Other oil crops,Other Oil Crops,Other Oil Crops,Other Oil Crops,Other oil crops,,Other oil crops,Residual,Other oil crops,Other oil crops,Residual,,Other Oil Crops,Oth Oilseeds,Other Oil Crops,Other oil crops,Grain and other crops,Residual,Other oil crops,Other oil crops,Other Oil Crops,Other Oil Crops,,Other oil crops,Other oil crops,Other oil crops,Other Oil Crops,,Other oil crops,Other oil crops,Other Oil Crops,Other oil crops,Other oil crops,Other cereals & oil seeds,,Other Oil Crops,Other industrial crops,Other oil crops,Other Oil Crops,Other Cereals,Other Oil Crops
Millet,Other cereals,Other cereals,Other cereals,Other cereals,Other Cereals,Other cereals,Other Cereals,Other Cereals,Other cereals,Millet,Other Cereals,Other Cereals,,Other cereals,Other cereals,Other cereals,Other cereals,Other cereals,Other cereals,Other cereals,Other cereals,Other cereals,Other cereals,Other cereals,Other Cereals,Residual,Other cereals,Other cereals,,Other cereals,Other Cereals,Other cereals,Other cereals,Residual,Mil - Sorghum,Other cereals,Oth Cereals,Other Cereals,Other cereals,Grain and other crops,Millet,Other cereals,Other cereals,Other Cereals,Other Cereals,,Other cereals,Other cereals,Other cereals,Other cereals,Millet,Other cereals,Other cereals,Other Cereals,Other cereals,Other cereals,Other cereals & oil seeds,,Other Cereals,Other cereal and leguminous crops,Other cereals,Other Cereals,Residual,Residual
MixedGrain,Other cereals,Other cereals,Other cereals,Other cereals,Other Cereals,Other cereals,Other Cereals,Other Cereals,Other cereals,,Other Cereals,Other Cereals,,Other cereals,Other cereals,Other cereals,Other cereals,Other cereals,Other cereals,Other cereals,Other cereals,Other cereals,Other cereals,Other cereals,Other Cereals,Residual,Other cereals,Other cereals,,Other cereals,Other Cereals,Other cereals,Other cereals,Residual,,Other cereals,Oth Cereals,Other Cereals,Other cereals,Grain and other crops,Residual,Other cereals,Other cereals,Other Cereals,Other Cereals,,Other cereals,Other cereals,Other cereals,Other cereals,,Other cereals,Other cereals,Other Cereals,Other cereals,Other cereals,Other cereals & oil seeds,,Other Cereals,Other cereal and leguminous crops,Other cereals,Other Cereals,Residual,Residual
Mushrooms,Vegetables,Residual,Vegetables,Vegetables Primary,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Fruits and vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables Primary,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables Primary,Vegetables Primary,Vegetables,open field vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables Primary,Fruits and vegetables,Vegetables Primary,Vegetables,Vegetables,Vegetables,Vegetables (including root & tuber veg),Residual,Vegetables,Vegetables6,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables Primary,,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,,Vegetables (Garlic+Shallot+Onion+Potato+Tomato+Baby corn+Pepper),Vegetables,"Vegetables grown in open-field, including for seed",Vegetables,Vegetables,Vegetables,Vegetables Primary
MustardSeed,Other oilseeds,Other Oil Crops,Other oil crops,Other Oil Crops,Other Oil Crops,Other oil crops,Other Oil Crops,Other Oil Crops,Other oil crops,,Other Oil Crops,,,Other oil crops,Other oil crops,Other oil crops,Other oil crops,Other Oil Crops,Other oil crops,Other oil crops,Other oil crops,Other oil crops,Other oil crops,Other oil crops,Other Oil Crops,Other Oil Crops,Other Oil Crops,Other oil crops,,Other oil crops,Residual,Other oil crops,Other oil crops,Residual,,Other Oil Crops,Oth Oilseeds,Other Oil Crops,Other oil crops,Grain and other crops,Residual,Other oil crops,Other oil crops,Other Oil Crops,Other Oil Crops,,Other oil crops,Other oil crops,Other oil crops,Other Oil Crops,,Other oil crops,Other oil crops,Other Oil Crops,Other oil crops,Other oil crops,Other cereals & oil seeds,,Other Oil Crops,Other industrial crops,Other oil crops,Other Oil Crops,Other Cereals,Other Oil Crops
MxGrss_Lgm,Residual,Grassland,Total Grassland,Residual,Residual,Total Grassland,Grassland,Grassland,Total Grassland,,Grassland,Grassland,,Total Grassland,Total Grassland,Total Grassland,Total Grassland,Residual,Total Grassland,Total Grassland,Total Grassland,Total Grassland,Total Grassland,Total Grassland,Residual,Residual,Grassland,Total Grassland,,Total Grassland,Grassland,Total Grassland,Total Grassland,Residual,,Residual,Residual,,Total Grassland,Grassland (Dairy),Residual,Total Grassland,Residual,Cultivated Pastures,,,Total Grassland,Total Grassland,Total Grassland,Residual,,Total Grassland,Total Grassland,Grassland,Total Grassland,Total Grassland,,,Grassland,Hayfields,Total Grassland,Residual,Grassland,Residual
NatRubber,Residual,Residual,Other crops,Residual,Residual,Other crops,,Residual,Other crops,,Residual,,,Other crops,Other crops,Other crops,Other crops,Residual,Other crops,Other crops,Other crops,Other crops,Other crops,Other crops,Residual,Residual,Residual,Other crops,,Other crops,Residual,Other crops,Other crops,Residual,,Residual,Residual,,Other crops,Residual,Residual,Other crops,Residual,,,,Other crops,Other crops,Other crops,Residual,,Other crops,Other crops,Residual,Other crops,Other crops,,Residual (rubber),,Perennial crops,Other crops,Residual,Residual,Residual
Ntmg_Mc_Crdm,Residual,Residual,Other crops,Residual,Residual,Other crops,,Residual,Other crops,,Residual,,,Other crops,Other crops,Other crops,Other crops,Residual,Other crops,Other crops,Other crops,Other crops,Other crops,Other crops,Residual,Residual,Residual,Other crops,,Other crops,Residual,Other crops,Other crops,Residual,,Residual,Residual,,Other crops,Residual,Residual,Other crops,Residual,,,,Other crops,Other crops,Other crops,Residual,,Other crops,Other crops,Residual,Other crops,Other crops,,,,Perennial crops,Other crops,Residual,Residual,Residual
Nutsnes,Residual,Residual,Fruits & Treenuts,Residual,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,,Fruits & Treenuts,Fruits & Treenuts,,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Residual,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Residual,Residual,Fruits & Treenuts,orchards,Fruits & Treenuts,Fruits & Tree-nuts,Fruits & Treenuts,Fruits & Treenuts,Residual,,Residual,Residual,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Residual,Fruits & Treenuts,Fruits and treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Residual,,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,,,Fruits & Treenuts,Perennial crops,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Residual
Oats,Other cereals,Other cereals,Other cereals,Other cereals,Other Cereals,Other cereals,Other Cereals,Other Cereals,Other cereals,,Other Cereals,Other Cereals,,Other cereals,Other cereals,Other cereals,Other cereals,Other cereals,Other cereals,Other cereals,Other cereals,Other cereals,Other cereals,Other cereals,Other Cereals,Residual,Other cereals,Other cereals,,Other cereals,Other Cereals,Other cereals,Other cereals,Residual,,Other cereals,Oth Cereals,Other Cereals,Other cereals,Grain and other crops,Residual,Other cereals,Other cereals,Other Cereals,Other Cereals,,Other cereals,Other cereals,Other cereals,Other cereals,,Other cereals,Other cereals,Other Cereals,Other cereals,Other cereals,Other cereals & oil seeds,,Other Cereals,Other cereal and leguminous crops,Other cereals,Other Cereals,Residual,Residual
OilPalmFruit,Residual,Residual,Other crops,Residual,Residual,Other crops,Oil Palm,Oil Palm,Other crops,,Other Oil Crops,,,Other crops,Other crops,Other crops,Other crops,Residual,Other crops,Other crops,Other crops,Other crops,Other crops,Other crops,Oil Palm,Oil palm fruit,Residual,Other crops,,Other crops,Residual,Other crops,Other crops,Oil palm fruit,,Oil palm fruit,Residual,Oil Palm,Other crops,Residual,Residual,Other crops,Residual,,Oil Palm,Oil Palm,Other crops,Other crops,Other crops,Residual,,Other crops,Other crops,Oil Palm,Other crops,Other crops,Other cereals & oil seeds,Oil Palm,,Other industrial crops,Other crops,Oil Palm,Residual,Residual
Oilseedsnes,Other oilseeds,Other Oil Crops,Other oil crops,Other Oil Crops,Other Oil Crops,Other oil crops,Other Oil Crops,Other Oil Crops,Other oil crops,,Other Oil Crops,,,Other oil crops,Other oil crops,Other oil crops,Other oil crops,Other Oil Crops,Other oil crops,Other oil crops,Other oil crops,Other oil crops,Other oil crops,Other oil crops,Other Oil Crops,Other Oil Crops,Other Oil Crops,Other oil crops,,Other oil crops,Residual,Other oil crops,Other oil crops,Residual,,Other Oil Crops,Oth Oilseeds,Other Oil Crops,Other oil crops,Grain and other crops,Residual,Other oil crops,Other oil crops,Other Oil Crops,Other Oil Crops,,Other oil crops,Other oil crops,Other oil crops,Other Oil Crops,,Other oil crops,Other oil crops,Other Oil Crops,Other oil crops,Other oil crops,Other cereals & oil seeds,,Other Oil Crops,Other industrial crops,Other oil crops,Other Oil Crops,Other Cereals,Other Oil Crops
Okra,Vegetables,Residual,Vegetables,Vegetables Primary,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Fruits and vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables Primary,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables Primary,Vegetables Primary,Vegetables,open field vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables Primary,Fruits and vegetables,Vegetables Primary,Vegetables,Vegetables,Vegetables,Vegetables (including root & tuber veg),Residual,Vegetables,Vegetables6,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables Primary,,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,,Vegetables (Garlic+Shallot+Onion+Potato+Tomato+Baby corn+Pepper),Vegetables,"Vegetables grown in open-field, including for seed",Vegetables,Vegetables,Vegetables,Vegetables Primary
Olives,Other oilseeds,Other Oil Crops,Other oil crops,Other Oil Crops,Other Oil Crops,Other oil crops,Other Oil Crops,Other Oil Crops,Other oil crops,,Other Oil Crops,,,Other oil crops,Other oil crops,Other oil crops,Other oil crops,Other Oil Crops,Other oil crops,Other oil crops,Other oil crops,Other oil crops,Other oil crops,Other oil crops,Other Oil Crops,Other Oil Crops,Other Oil Crops,Other oil crops,irrigated olives,Other oil crops,Residual,Other oil crops,Other oil crops,Residual,,Other Oil Crops,Oth Oilseeds,Other Oil Crops,Other oil crops,Grain and other crops,Residual,Other oil crops,Other oil crops,Other Oil Crops,Other Oil Crops,,Other oil crops,Other oil crops,Other oil crops,Other Oil Crops,,Other oil crops,Other oil crops,Other Oil Crops,Other oil crops,Other oil crops,Other cereals & oil seeds,,Other Oil Crops,Other industrial crops,Other oil crops,Other Oil Crops,Other Cereals,Other Oil Crops
OnionDry,Vegetables,Residual,Vegetables,Vegetables Primary,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Fruits and vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables Primary,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables Primary,Vegetables Primary,Vegetables,open field vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables Primary,Fruits and vegetables,Vegetables Primary,Vegetables,Other Crop 2 (Onion),Vegetables,Vegetables (including root & tuber veg),Residual,Vegetables,Vegetables6,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables Primary,,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,,Vegetables (Garlic+Shallot+Onion+Potato+Tomato+Baby corn+Pepper),Vegetables,"Vegetables grown in open-field, including for seed",Vegetables,Vegetables,Vegetables,Vegetables Primary
OnionShlltGn,Vegetables,Residual,Vegetables,Vegetables Primary,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Fruits and vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables Primary,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables Primary,Vegetables Primary,Vegetables,open field vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables Primary,Fruits and vegetables,Vegetables Primary,Vegetables,Other Crop 2 (Onion),Vegetables,Vegetables (including root & tuber veg),Residual,Vegetables,Vegetables6,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables Primary,,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,,Vegetables (Garlic+Shallot+Onion+Potato+Tomato+Baby corn+Pepper),Vegetables,"Vegetables grown in open-field, including for seed",Vegetables,Vegetables,Vegetables,Vegetables Primary
Oranges,Citrus,Fruit Primary,Fruits & Treenuts,Fruit Primary,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Orange,Fruits & Treenuts,Fruits and vegetables,Fruits & Treenuts,Fruits & Treenuts,"Fruits (apples, citrus, oranges)",Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruit Primary,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruit Primary,Fruit Primary,Fruits & Treenuts,citrus,Fruits & Treenuts,Fruits & Tree-nuts,Fruits & Treenuts,Fruits & Treenuts,Fruit Primary,Fruits and vegetables,Fruit Primary,Fruits,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Residual,Fruits & Treenuts,Fruits and treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruit Primary,,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,,Fruits (Pineapple+Mangoe+Longan+Rambutan+Durian+Mangosteen+Lychee+Tangerine+Longkong+Lime) & Treenuts,Fruits & Treenuts,Perennial crops,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruit Primary
PaddyRice,Rice,"Rice, paddy",Other cereals,"Rice, paddy",Other Cereals,Other cereals,Rice,Rice,Other cereals,Rice,Rice,Rice,Rice,Other cereals,Other cereals,Other cereals,Other cereals,"Rice, paddy",Other cereals,Other cereals,Other cereals,Other cereals,Other cereals,Other cereals,Rice,"Rice, paddy","Rice, paddy",Other cereals,,Other cereals,Rice,Other cereals,Other cereals,"Rice, paddy",Rice,"Rice, paddy",Rice,Rice,Other cereals,Grain and other crops,RIce,Other cereals,Rice,Rice,Rice,Rice,Other cereals,Other cereals,Other cereals,"Rice, paddy",Rice (total),Other cereals,Other cereals,Other Cereals,Other cereals,Other cereals,Rice,Rice,Rice,Other cereal and leguminous crops,Other cereals,Rice,Rice,"Rice, paddy"
Papayas,Fruits,Fruit Primary,Fruits & Treenuts,Fruit Primary,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits and vegetables,Fruits & Treenuts,Fruits & Treenuts,"Fruits (apples, citrus, oranges)",Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruit Primary,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruit Primary,Fruit Primary,Fruits & Treenuts,orchards,Fruits & Treenuts,Fruits & Tree-nuts,Fruits & Treenuts,Fruits & Treenuts,Fruit Primary,Fruits and vegetables,Fruit Primary,Fruits,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Residual,Fruits & Treenuts,Fruits and treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruit Primary,,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,,Fruits (Pineapple+Mangoe+Longan+Rambutan+Durian+Mangosteen+Lychee+Tangerine+Longkong+Lime) & Treenuts,Fruits & Treenuts,Perennial crops,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruit Primary
Peach_Nctrn,Fruits,Fruit Primary,Fruits & Treenuts,Fruit Primary,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits and vegetables,Fruits & Treenuts,Fruits & Treenuts,"Fruits (apples, citrus, oranges)",Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruit Primary,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruit Primary,Fruit Primary,Fruits & Treenuts,orchards,Fruits & Treenuts,Fruits & Tree-nuts,Fruits & Treenuts,Fruits & Treenuts,Fruit Primary,Fruits and vegetables,Fruit Primary,Fruits,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Residual,Fruits & Treenuts,Fruits and treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruit Primary,,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,,Fruits (Pineapple+Mangoe+Longan+Rambutan+Durian+Mangosteen+Lychee+Tangerine+Longkong+Lime) & Treenuts,Fruits & Treenuts,Perennial crops,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruit Primary
Pears,Fruits,Fruit Primary,Fruits & Treenuts,Fruit Primary,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits and vegetables,Fruits & Treenuts,Fruits & Treenuts,"Fruits (apples, citrus, oranges)",Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruit Primary,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruit Primary,Fruit Primary,Fruits & Treenuts,orchards,Fruits & Treenuts,Fruits & Tree-nuts,Fruits & Treenuts,Fruits & Treenuts,Fruit Primary,Fruits and vegetables,Fruit Primary,Fruits,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Residual,Fruits & Treenuts,Fruits and treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruit Primary,,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,,Fruits (Pineapple+Mangoe+Longan+Rambutan+Durian+Mangosteen+Lychee+Tangerine+Longkong+Lime) & Treenuts,Fruits & Treenuts,Perennial crops,Fruits & Treenuts,Fruits & Treenuts,Fruits & Treenuts,Fruit Primary
PeasDry,Residual,Residual,"Pulses (peas, beans)",Residual,Pulses,"Pulses (peas, beans)",Pulses,Pulses,"Pulses (peas, beans)",,Pulses,,,"Pulses (peas, beans)","Pulses (peas, beans)","Pulses (peas, beans)","Pulses (peas, beans)",Residual,"Pulses (peas, beans)","Pulses (peas, beans)","Pulses (peas, beans)","Pulses (peas, beans)","Pulses (peas, beans)","Pulses (peas, beans)",Pulses,Residual,Residual,"Pulses (peas, beans)",,"Pulses (peas, beans)",Residual,"Pulses (peas, beans)","Pulses (peas, beans)",Residual,Pulses,Residual,Residual,Pulses,"Pulses (peas, beans)",Residual,Residual,"Pulses (peas, beans)",Pulses,,,,"Pulses (peas, beans)","Pulses (peas, beans)","Pulses (peas, beans)",Residual,,"Pulses (peas, beans)","Pulses (peas, beans)",Pulses,"Pulses (peas, beans)","Pulses (peas, beans)",Beans,,Pulses,Other cereal and leguminous crops,"Pulses (peas, beans)",Pulses,Residual,Residual
