# File: A_FLX_FuelPrefElast.csv
# Title: Fuel preference elasticities used in the FLX scenario
# Description: Fuel pref elasticities are adjusted to hit target shares of caloric consumption in 2050
# Source: none
# Units: unitless
# Column types: cccn
# ----------
region,supplysector,subsector,fuelprefElasticity
Argentina,FoodDemand_Crops,MiscCrop,0
Argentina,FoodDemand_Crops,NutsSeeds,2.879133053
Argentina,FoodDemand_Crops,OilCrop,0.865833097
Argentina,FoodDemand_Crops,OtherGrain,0.204102086
Argentina,FoodDemand_Crops,PalmFruit,0.046686362
Argentina,FoodDemand_Crops,Rice,0.45155644
Argentina,FoodDemand_Crops,RootTuber,0.549981969
Argentina,FoodDemand_Crops,Soybean,0.607670894
Argentina,FoodDemand_Crops,SugarCrop,0.113665878
Argentina,FoodDemand_Crops,Vegetables,1.168558853
Argentina,FoodDemand_Crops,Wheat,0.397462746
Argentina,FoodDemand_Meat,Beef,0.457748885
Argentina,FoodDemand_Meat,Dairy,1.494793404
Argentina,FoodDemand_Meat,OtherMeat_Fish,1.350419434
Argentina,FoodDemand_Meat,Pork,0.1435609
Argentina,FoodDemand_Meat,Poultry,0.762944854
Argentina,FoodDemand_Meat,SheepGoat,0.16687155
Australia_NZ,FoodDemand_Crops,Corn,0.318090225
Australia_NZ,FoodDemand_Crops,FiberCrop,0
Australia_NZ,FoodDemand_Crops,Fruits,0.351472626
Australia_NZ,FoodDemand_Crops,Legumes,3
Australia_NZ,FoodDemand_Crops,MiscCrop,0
Australia_NZ,FoodDemand_Crops,NutsSeeds,0.887895147
Australia_NZ,FoodDemand_Crops,OilCrop,0.658969968
Australia_NZ,FoodDemand_Crops,OtherGrain,0.525254392
Australia_NZ,FoodDemand_Crops,PalmFruit,0.156679262
Australia_NZ,FoodDemand_Crops,Rice,0.465155553
Australia_NZ,FoodDemand_Crops,RootTuber,0.353399759
Australia_NZ,FoodDemand_Crops,Soybean,1.37011299
Australia_NZ,FoodDemand_Crops,SugarCrop,0.096843611
Australia_NZ,FoodDemand_Crops,Vegetables,0.722952839
Australia_NZ,FoodDemand_Crops,Wheat,0.35660338
Australia_NZ,FoodDemand_Meat,Beef,0.316022444
Australia_NZ,FoodDemand_Meat,Dairy,1.738378677
Australia_NZ,FoodDemand_Meat,OtherMeat_Fish,1.086665741
Australia_NZ,FoodDemand_Meat,Pork,0.190297811
Australia_NZ,FoodDemand_Meat,Poultry,1.177932775
Australia_NZ,FoodDemand_Meat,SheepGoat,0.43350033
Brazil,FoodDemand_Crops,Corn,0.148058674
Brazil,FoodDemand_Crops,FiberCrop,0
Brazil,FoodDemand_Crops,Fruits,0.204959043
Brazil,FoodDemand_Crops,Legumes,0.405402325
Brazil,FoodDemand_Crops,MiscCrop,0
Brazil,FoodDemand_Crops,NutsSeeds,2.082079322
Brazil,FoodDemand_Crops,OilCrop,3
Brazil,FoodDemand_Crops,OtherGrain,0.130044074
Brazil,FoodDemand_Crops,PalmFruit,0.058302978
Brazil,FoodDemand_Crops,Rice,0.189267064
Brazil,FoodDemand_Crops,RootTuber,0.119430224
Brazil,FoodDemand_Crops,Soybean,0.035603601
Brazil,FoodDemand_Crops,SugarCrop,0.05430886
Brazil,FoodDemand_Crops,Vegetables,1.038726675
Brazil,FoodDemand_Crops,Wheat,0.126428249
Brazil,FoodDemand_Meat,Beef,0.175536369
Brazil,FoodDemand_Meat,Dairy,1.57597513
Brazil,FoodDemand_Meat,OtherMeat_Fish,0.878023799
Brazil,FoodDemand_Meat,Pork,0.16091486
Brazil,FoodDemand_Meat,Poultry,0.459911205
Brazil,FoodDemand_Meat,SheepGoat,0.164174182
Canada,FoodDemand_Crops,Corn,0.252867175
Canada,FoodDemand_Crops,FiberCrop,0
Canada,FoodDemand_Crops,Fruits,0.357024855
Canada,FoodDemand_Crops,Legumes,1.516780434
Canada,FoodDemand_Crops,MiscCrop,0
Canada,FoodDemand_Crops,NutsSeeds,1.933040141
Canada,FoodDemand_Crops,OilCrop,0.868280842
Canada,FoodDemand_Crops,OtherGrain,0.236528777
Canada,FoodDemand_Crops,PalmFruit,0.018483235
Canada,FoodDemand_Crops,Rice,0.528225357
Canada,FoodDemand_Crops,RootTuber,0.357142013
Canada,FoodDemand_Crops,Soybean,0.365073684
Canada,FoodDemand_Crops,SugarCrop,0.202438872
Canada,FoodDemand_Crops,Vegetables,1.016772665
Canada,FoodDemand_Crops,Wheat,0.376369231
Canada,FoodDemand_Meat,Beef,0.435451791
Canada,FoodDemand_Meat,Dairy,1.761750093
Canada,FoodDemand_Meat,OtherMeat_Fish,0.856658105
Canada,FoodDemand_Meat,Pork,0.199105306
Canada,FoodDemand_Meat,Poultry,1.024721012
Canada,FoodDemand_Meat,SheepGoat,0.472910331
Central America and Caribbean,FoodDemand_Crops,Corn,0.068580434
Central America and Caribbean,FoodDemand_Crops,FiberCrop,0
Central America and Caribbean,FoodDemand_Crops,Fruits,0.084007222
Central America and Caribbean,FoodDemand_Crops,Legumes,0.217927355
Central America and Caribbean,FoodDemand_Crops,MiscCrop,0
Central America and Caribbean,FoodDemand_Crops,NutsSeeds,1.493579038
Central America and Caribbean,FoodDemand_Crops,OilCrop,1.85202245
Central America and Caribbean,FoodDemand_Crops,OtherGrain,0.061193622
Central America and Caribbean,FoodDemand_Crops,PalmFruit,0.044287103
Central America and Caribbean,FoodDemand_Crops,Rice,0.084900243
Central America and Caribbean,FoodDemand_Crops,RootTuber,0.059665577
Central America and Caribbean,FoodDemand_Crops,Soybean,0.064096598
Central America and Caribbean,FoodDemand_Crops,SugarCrop,0.022364803
Central America and Caribbean,FoodDemand_Crops,Vegetables,0.461619885
Central America and Caribbean,FoodDemand_Crops,Wheat,0.052722032
Central America and Caribbean,FoodDemand_Meat,Beef,0.801886305
Central America and Caribbean,FoodDemand_Meat,Dairy,1.402101433
Central America and Caribbean,FoodDemand_Meat,OtherMeat_Fish,1.019878978
Central America and Caribbean,FoodDemand_Meat,Pork,0.24349308
Central America and Caribbean,FoodDemand_Meat,Poultry,0.470839204
Central America and Caribbean,FoodDemand_Meat,SheepGoat,0.377775865
Central Asia,FoodDemand_Crops,Corn,0.195084418
Central Asia,FoodDemand_Crops,FiberCrop,0
Central Asia,FoodDemand_Crops,Fruits,1.003822094
Central Asia,FoodDemand_Crops,Legumes,2.908339444
Central Asia,FoodDemand_Crops,MiscCrop,0
Central Asia,FoodDemand_Crops,NutsSeeds,2.238054576
Central Asia,FoodDemand_Crops,OilCrop,1.355011248
Central Asia,FoodDemand_Crops,OtherGrain,0.169018992
Central Asia,FoodDemand_Crops,PalmFruit,2.025682575
Central Asia,FoodDemand_Crops,Rice,0.553453924
Central Asia,FoodDemand_Crops,RootTuber,0.38422482
Central Asia,FoodDemand_Crops,Soybean,1.695142744
Central Asia,FoodDemand_Crops,SugarCrop,0.483740173
Central Asia,FoodDemand_Crops,Vegetables,0.611513979
Central Asia,FoodDemand_Crops,Wheat,0.342025329
Central Asia,FoodDemand_Meat,Beef,0.473478524
Central Asia,FoodDemand_Meat,Dairy,1.077392626
Central Asia,FoodDemand_Meat,OtherMeat_Fish,1.108743916
Central Asia,FoodDemand_Meat,Pork,0.163152161
Central Asia,FoodDemand_Meat,Poultry,0.821457965
Central Asia,FoodDemand_Meat,SheepGoat,0.286514983
China,FoodDemand_Crops,Corn,0.062335278
China,FoodDemand_Crops,FiberCrop,0
China,FoodDemand_Crops,Fruits,0.394047726
China,FoodDemand_Crops,Legumes,1.119667093
China,FoodDemand_Crops,MiscCrop,0
China,FoodDemand_Crops,NutsSeeds,0.652321517
China,FoodDemand_Crops,OilCrop,0.769395636
China,FoodDemand_Crops,OtherGrain,0.073313993
China,FoodDemand_Crops,PalmFruit,0.467215317
China,FoodDemand_Crops,Rice,0.088021311
China,FoodDemand_Crops,RootTuber,0.150425622
China,FoodDemand_Crops,Soybean,0.425499002
China,FoodDemand_Crops,SugarCrop,0.602204118
China,FoodDemand_Crops,Vegetables,0.449709254
China,FoodDemand_Crops,Wheat,0.101454889
China,FoodDemand_Meat,Beef,0.047970672
China,FoodDemand_Meat,Dairy,0.633907668
China,FoodDemand_Meat,OtherMeat_Fish,0.128196393
China,FoodDemand_Meat,Pork,0.015909338
China,FoodDemand_Meat,Poultry,0.056625276
China,FoodDemand_Meat,SheepGoat,0.016549214
Colombia,FoodDemand_Crops,Corn,0.356630934
Colombia,FoodDemand_Crops,FiberCrop,0
Colombia,FoodDemand_Crops,Fruits,0.310126389
Colombia,FoodDemand_Crops,Legumes,1.179567681
Colombia,FoodDemand_Crops,MiscCrop,0
Colombia,FoodDemand_Crops,NutsSeeds,2.818163465
Colombia,FoodDemand_Crops,OilCrop,2.715121645
Colombia,FoodDemand_Crops,OtherGrain,0.292677096
Colombia,FoodDemand_Crops,PalmFruit,0.121342627
