# File: bld_tech_scenarios.csv
# Title: Parameter adjustments to define the buildings scenarios
# Units: various
# Comments: This is intended as a single control table for scenario differentiation
# Source: harmonization exercise with Scout
# Column types: cccccccni
# ----------
scenario,gcam.consumer,supplysector,subsector,technology,variable,value,adj_factor,rule_number
HiTech,,comm hot water,refined liquids,,from.year,2025,,1
HiTech,,comm hot water,refined liquids,,to.value,0,,1
HiTech,,comm hot water,refined liquids,,to.year,2036,,1
HiTech,,comm hot water,refined liquids,,interpolation.function,linear,,1
HiTech,,comm hot water,refined liquids,,from.year,2035,,2
HiTech,,comm hot water,refined liquids,,to.year,2100,,2
HiTech,,comm hot water,refined liquids,,to.value,0,,2
HiTech,,comm hot water,refined liquids,,interpolation.function,fixed,,2
HiTech,,comm lighting,electricity,,efficiency,,1.15,
HiTech,,comm office,electricity,,efficiency,,1.15,
HiTech,,comm refrigeration,electricity,,efficiency,,1.1,
HiTech,,comm other,electricity,,input.cost,,0.8,
HiTech,,comm other,refined liquids,,from.year,2025,,1
HiTech,,comm other,refined liquids,,to.value,0,,1
HiTech,,comm other,refined liquids,,to.year,2080,,1
HiTech,,comm other,refined liquids,,interpolation.function,linear,,1
HiTech,,comm non-building,,,input.cost,,0.6,
HiTech,,resid clothes washers,electricity,,efficiency,,1.15,
HiTech,,resid computers,electricity,,efficiency,,1.05,
HiTech,,resid cooking,electricity,,efficiency,,1.3,
HiTech,,resid cooking,gas,,from.year,2025,,1
HiTech,,resid cooking,gas,,to.value,0,,1
HiTech,,resid cooking,gas,,to.year,2036,,1
HiTech,,resid cooking,gas,,interpolation.function,linear,,1
HiTech,,resid cooking,gas,,from.year,2035,,2
HiTech,,resid cooking,gas,,to.value,0,,2
HiTech,,resid cooking,gas,,to.year,2100,,2
HiTech,,resid cooking,gas,,interpolation.function,fixed,,2
HiTech,,resid dishwashers,electricity,dishwasher hi-eff,share.weight,1.4,,
HiTech,,resid freezers,electricity,,efficiency,,1.07,
