# File: A44.bld_shell_conductance.csv
# Title: Assumed USA shell efficiency trajectories
# Units: Unitless
# Source: Revised for consistency with global model (0.45%/yr improvement in resid; 0.4%/yr in comm)
# Column types: cnnnnnnnnn 
# ----------
gcam.consumer,1971,2010,2015,2020,2025,2030,2035,2040,2100
resid,1,0.99,0.96,0.95,0.9288,0.9081,0.8879,0.8681,0.6623
comm,1,1,0.96,0.95,0.9312,0.9127,0.8946,0.8768,0.6894
