# File: Scout_bld_calibration.csv
# Title: Buildings sector calibration from Scout model
# Units: unitless shares
# Comments: Scout output data processed to compute shares of service/technology within state/sector/fuel
# Source:  LBNL team (Aven Satre-Meloy) provided for DECARB project
# Column types: cccccinn
# ----------
state,sector,fuel,service,technology,year,share,energy
Arizona,resid,electricity,heating,electric furnace,2015,0.0301855,0.0032064
Arizona,resid,electricity,heating,electric heat pump,2015,0.0075528,8.023e-4
Arizona,resid,electricity,hot water,electric resistance water heater,2015,0.0702556,0.0074627
Arizona,resid,electricity,lighting,lighting,2015,0.0932411,0.0099042
Arizona,resid,electricity,other,electricity,2015,0.350537,0.0372346
Arizona,resid,electricity,refrigerators,refrigerator,2015,0.062455,0.0066341
Arizona,resid,gas,clothes dryers,clothes dryer,2015,0.007314,3.613e-4
Arizona,resid,gas,cooking,gas oven,2015,0.0188854,9.329e-4
Arizona,resid,gas,cooling,air conditioning,2015,0.0182115,8.996e-4
Arizona,resid,gas,heating,gas furnace,2015,0.6053685,0.0299034
Arizona,resid,gas,hot water,gas water heater,2015,0.2868483,0.0141695
Arizona,resid,gas,other,gas,2015,0.0633723,0.0031304
Arizona,resid,refined liquids,cooking,lpg oven,2015,0.0377561,2.228e-4
Arizona,resid,refined liquids,heating,fuel furnace,2015,0.5073799,0.0029936
Arizona,resid,refined liquids,hot water,fuel water heater,2015,0.2630277,0.0015519
Arizona,resid,refined liquids,other,refined liquids,2015,0.1918362,0.0011319
Arkansas,comm,electricity,cooking,electric range,2015,0.0152971,7.928e-4
Arkansas,comm,electricity,cooling,air conditioning,2015,0.1499483,0.0077714
Arkansas,comm,electricity,heating,electric furnace,2015,0.0104899,5.437e-4
Arkansas,comm,electricity,heating,electric heat pump,2015,0.0044226,2.292e-4
Arkansas,comm,electricity,hot water,electric heat pump water heater,2015,3.54e-5,1.8e-6
Arkansas,comm,electricity,hot water,electric resistance water heater,2015,0.0056916,2.95e-4
Arkansas,comm,electricity,lighting,lighting,2015,0.1013665,0.0052536
Arkansas,comm,electricity,office,office equipment,2015,0.0878651,0.0045538
Arkansas,comm,electricity,other,electricity,2015,0.4273321,0.0221475
Arkansas,comm,electricity,refrigeration,refrigeration,2015,0.1179073,0.0061108000000000004
Arkansas,comm,electricity,ventilation,ventilation,2015,0.0796441,0.0041277
Arkansas,comm,gas,cooking,gas range,2015,0.1663392,0.0042334
Arkansas,comm,gas,cooling,gas cooling,2015,0.0267097,6.798e-4
Arkansas,comm,gas,heating,gas furnace,2015,0.5335559,0.0135792
Arkansas,comm,gas,hot water,gas water heater,2015,0.2342298,0.0059612
Arkansas,comm,gas,other,gas,2015,0.0391653,9.968e-4
Arkansas,comm,refined liquids,heating,fuel furnace,2015,0,0
Arkansas,comm,refined liquids,hot water,fuel water heater,2015,0,0
Arkansas,comm,refined liquids,other,refined liquids,2015,1,0.0060378
Arkansas,resid,biomass,heating,wood furnace,2015,1,0.0031947
Arkansas,resid,electricity,clothes dryers,clothes dryer,2015,0.0386321,0.0023441
Arkansas,resid,electricity,clothes washers,clothes washer,2015,0.006007,3.645e-4
Arkansas,resid,electricity,computers,electricity,2015,0.0172822,0.0010486
Arkansas,resid,electricity,cooking,electric oven,2015,0.008515,5.167e-4
Arkansas,resid,electricity,cooling,air conditioning,2015,0.2276951,0.0138158
Arkansas,resid,electricity,dishwashers,dishwasher,2015,0.0040389,2.451e-4
Arkansas,resid,electricity,freezers,freezer,2015,0.0123105,7.47e-4
Arkansas,resid,electricity,furnace fans,electricity,2015,0.0162941,9.887e-4
Arkansas,resid,electricity,heating,electric furnace,2015,0.132218,0.0080226
Arkansas,resid,electricity,heating,electric heat pump,2015,0.0233301,0.0014156
Arkansas,resid,electricity,hot water,electric resistance water heater,2015,0.115423,0.0070035
Arkansas,resid,electricity,lighting,lighting,2015,0.0674372,0.0040919
Arkansas,resid,electricity,other,electricity,2015,0.2787766,0.0169153
Arkansas,resid,electricity,refrigerators,refrigerator,2015,0.0520402,0.0031576
Arkansas,resid,gas,clothes dryers,clothes dryer,2015,0.0068437,2.055e-4
Arkansas,resid,gas,cooking,gas oven,2015,0.0244212,7.334e-4
Arkansas,resid,gas,cooling,air conditioning,2015,0.0281331,8.449e-4
Arkansas,resid,gas,heating,gas furnace,2015,0.6224452,0.0186929
Arkansas,resid,gas,hot water,gas water heater,2015,0.2278635,0.0068431
Arkansas,resid,gas,other,gas,2015,0.0902933,0.0027116
Arkansas,resid,refined liquids,cooking,lpg oven,2015,0.0621626,2.126e-4
Arkansas,resid,refined liquids,heating,fuel furnace,2015,0.56179,0.0019215
Arkansas,resid,refined liquids,hot water,fuel water heater,2015,0.2086297,7.136e-4
Arkansas,resid,refined liquids,other,refined liquids,2015,0.1674177,5.726e-4
California,comm,electricity,cooking,electric range,2015,0.0199068,0.0102586
