# Building sector technology efficiencies,,,,,,,,,,,,
supplysector,subsector,technology,minicam.energy.input,1971,2010,2015,2020,2025,2030,2035,2040,2100
comm hot water,gas,gas water heater hi-eff,delivered gas,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990
comm hot water,electricity,electric resistance water heater,elect_td_bld,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975
comm hot water,electricity,electric heat pump water heater,elect_td_bld,2.450,2.450,2.450,2.450,2.450,2.450,2.450,2.450,2.450
comm hot water,refined liquids,fuel water heater,refined liquids enduse,0.787,0.787,0.800,0.800,0.800,0.800,0.800,0.800,0.800
comm ventilation,electricity,ventilation,elect_td_bld,0.613,0.613,0.654,0.727,0.727,0.769,0.769,0.818,0.818
comm ventilation,electricity,ventilation hi-eff,elect_td_bld,2.416,2.416,2.416,2.567,2.567,2.738,2.738,2.934,2.934
comm cooking,gas,gas range,delivered gas,0.450,0.450,0.450,0.450,0.450,0.450,0.450,0.450,0.450
comm cooking,gas,gas range hi-eff,delivered gas,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.600
comm cooking,electricity,electric range,elect_td_bld,0.700,0.700,0.700,0.700,0.700,0.700,0.700,0.700,0.700
comm cooking,electricity,electric range hi-eff,elect_td_bld,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.800,0.800
comm lighting,electricity,incandescent,elect_td_bld,3.750,3.750,5.389,5.651,5.651,5.934,5.934,5.934,5.934
comm lighting,electricity,fluorescent,elect_td_bld,19.333,19.333,19.515,19.808,19.808,20.133,20.133,20.133,20.133
comm lighting,electricity,solid state,elect_td_bld,17.500,17.500,25.278,47.222,47.222,56.111,56.111,56.111,56.111
comm refrigeration,electricity,refrigeration,elect_td_bld,2.060,2.060,2.931,3.317,3.317,3.317,3.317,3.317,3.317
comm refrigeration,electricity,refrigeration hi-eff,elect_td_bld,3.756,3.756,3.756,4.115,4.115,4.115,4.115,4.115,4.115
comm office,electricity,office equipment,elect_td_bld,1,1,1.3,1.45,1.45,1.45,1.45,1.45,1.45
comm other,gas,gas,delivered gas,1,1,1,1,1,1,1,1,1
comm other,electricity,electricity,elect_td_bld,1,1,1,1,1,1,1,1,1
comm other,refined liquids,refined liquids,refined liquids enduse,1,1,1,1,1,1,1,1,1
comm non-building,electricity,electricity,elect_td_bld,1,1,1,1,1,1,1,1,1
