"sourceTypeID";"yearID";"ageID";"ageFraction"
62;1999;30;0.0015160920449314363
62;1999;29;0.0019693858981910265
62;1999;28;0.003977441456340927
62;1999;27;0.006046624597752428
62;1999;26;0.00973395599080777
62;1999;25;0.011044015501724826
62;1999;24;0.0101068921513698
62;1999;23;0.017608655344448096
62;1999;22;0.027415409003943052
62;1999;21;0.035011034179404966
62;1999;20;0.025378248618147695
62;1999;19;0.024953946526876408
62;1999;18;0.029999358827099323
62;1999;17;0.03346988723520537
62;1999;16;0.041903967786890324
62;1999;15;0.04846135116341915
62;1999;14;0.03588479400896093
62;1999;13;0.028024588978942954
62;1999;12;0.03432348579217409
62;1999;11;0.030448682693956255
62;1999;10;0.031784790647260905
62;1999;9;0.03241518408304542
62;1999;8;0.033141439330678577
62;1999;7;0.02638327472196971
62;1999;6;0.030986374638423204
62;1999;5;0.04025338709896061
62;1999;4;0.05155213749353445
62;1999;3;0.057242802565498165
62;1999;2;0.0520557073240157
62;1999;1;0.0776220370688911
62;1999;0;0.10928504722713527
61;1999;30;0.00220189293677722
61;1999;29;0.004009433740301603
61;1999;28;0.0075782500781340426
61;1999;27;0.011446463558993666
61;1999;26;0.01501978036634722
61;1999;25;0.014159366202000598
61;1999;24;0.011876269822212258
61;1999;23;0.013590490903736768
61;1999;22;0.015622634580177475
61;1999;21;0.017158029606599633
61;1999;20;0.01652982019960798
61;1999;19;0.01347464125637357
61;1999;18;0.01939060393797408
61;1999;17;0.01959668616799238
61;1999;16;0.019788709749814802
61;1999;15;0.02674602392296193
61;1999;14;0.026822430796052385
61;1999;13;0.027555448183971303
61;1999;12;0.03497011268898228
61;1999;11;0.039447231174231094
61;1999;10;0.038730181716040236
61;1999;9;0.04487820063749364
61;1999;8;0.044078701093046756
61;1999;7;0.04821586494853105
61;1999;6;0.055741728948803436
61;1999;5;0.07023920101736855
61;1999;4;0.0793168387562983
61;1999;3;0.07457000810634758
61;1999;2;0.06316952053855428
61;1999;1;0.061420466374679544
61;1999;0;0.06265496798959438
54;1999;30;0.0038182968307289063
54;1999;29;0.0046708536321835034
54;1999;28;0.007467165390435018
54;1999;27;0.008839682532544189
54;1999;26;0.010185762235761616
54;1999;25;0.006055849736386421
54;1999;24;0.005325762293584244
54;1999;23;0.0023798551609818786
54;1999;22;0.004973891276408974
54;1999;21;0.005172137330533941
54;1999;20;0.007155260219973668
54;1999;19;0.010217090484968187
54;1999;18;0.01736706827734366
54;1999;17;0.01841079535433747
54;1999;16;0.024113438349864666
54;1999;15;0.031921220004031504
54;1999;14;0.03170241632530749
54;1999;13;0.0354304092816424
54;1999;12;0.03787604409956747
54;1999;11;0.0457037510145316
54;1999;10;0.049993617734431076
54;1999;9;0.047533037273813465
54;1999;8;0.04209261346270692
54;1999;7;0.049885859792323316
54;1999;6;0.05465888824983247
54;1999;5;0.07140179650362348
54;1999;4;0.07388331114929585
54;1999;3;0.0636603873502437
54;1999;2;0.08627005419019665
54;1999;1;0.052668306074914274
54;1999;0;0.08916537838750199
53;1999;30;0.0040393258374549195
53;1999;29;0.0028821494819579923
53;1999;28;0.019235590142015
53;1999;27;0.007249568773182227
53;1999;26;0.011809767293751362
53;1999;25;0.004917884410120143
53;1999;24;0.0023226080407513583
53;1999;23;0.0018284532425692846
53;1999;22;0.010107635331924544
53;1999;21;0.010551933770628399
53;1999;20;0.007839684323419974
53;1999;19;0.0051568358050655145
53;1999;18;0.009188360102003908
53;1999;17;0.00900149052480357
53;1999;16;0.012898344575222263
53;1999;15;0.016484388308523047
53;1999;14;0.013881872071475076
53;1999;13;0.016291372691166862
53;1999;12;0.012640545809312042
53;1999;11;0.03234189791046636
53;1999;10;0.08627634392927694
53;1999;9;0.027267794965808532
53;1999;8;0.04042823086208024
53;1999;7;0.02941383736574118
53;1999;6;0.12628128927977153
53;1999;5;0.0542919245351613
53;1999;4;0.0815106527843675
53;1999;3;0.06211455978279022
53;1999;2;0.03926352169966935
53;1999;1;0.04164069846664003
53;1999;0;0.20084143788287934
52;1999;30;0.0038386047504278026
52;1999;29;0.004418871422470172
52;1999;28;0.007498674340988658
52;1999;27;0.008755226757696705
52;1999;26;0.012175779964124443
52;1999;25;0.00655990650931217
52;1999;24;0.005453475946593403
52;1999;23;0.002693794079941394
52;1999;22;0.0054339198287313055
52;1999;21;0.006260811075300348
52;1999;20;0.006755181321309392
52;1999;19;0.008064585369463122
52;1999;18;0.01880435556660283
52;1999;17;0.017596773686760665
52;1999;16;0.017760196963908417
52;1999;15;0.024718806639168492
52;1999;14;0.025778949683410695
52;1999;13;0.03763582700175184
52;1999;12;0.033048869100928094
52;1999;11;0.04216003011378299
52;1999;10;0.04257276971100973
52;1999;9;0.04735841552243989
52;1999;8;0.04065393055538748
52;1999;7;0.04631923733635959
52;1999;6;0.055470522950254245
52;1999;5;0.06966707620526916
52;1999;4;0.08550223579999275
52;1999;3;0.06655025108801259
52;1999;2;0.08856135618142356
52;1999;1;0.05932278994498769
52;1999;0;0.10260877458219032
51;1999;30;0.004727412628444782
51;1999;29;0.0033526893358729634
51;1999;28;0.005594928084242699
51;1999;27;0.009705600873276194
51;1999;26;0.015290823863927317
51;1999;25;0.008480461879652726
51;1999;24;0.004052741801374072
51;1999;23;0.005276582249134055
51;1999;22;0.006072388276130184
51;1999;21;0.005571483618184361
51;1999;20;0.007203542157771937
51;1999;19;0.007512654458415616
51;1999;18;0.013487468316104818
51;1999;17;0.012225014168097372
51;1999;16;0.012951363238916845
51;1999;15;0.016189953510076304
51;1999;14;0.016873608830034335
