# File: A25.stubtech_cost.csv
# Title: Regional hydrogen non-energy costs
# Units: $1975/GJ
# Source: H2A 2018 (electrolyzer) and ATB (solar panels and wind turbines)
# Comments: Non-energy costs refer to the LCOH for the electrolyzer. Solar panel and wind turbine costs are displayed separately. Electrolyzer capacity factors are based on the renewable they are paired to, and the renewable capacity factors are consistent with GCAMs electricity sector.
# Column types: cccccnnnnnnnnnnnnnnnnnnnnnn 
# ----------
Europe_Non_EU,H2 central production,solar,electrolysis,non-energy,11.91921937,11.91921937,11.91921937,11.91921937,11.91921937,10.04661491,8.468211545,7.137787946,6.01638451,5.0711625,4.27444241,3.933342392,3.933342392,3.933342392,3.933342392,3.933342392,3.933342392,3.933342392,3.933342392,3.933342392,3.933342392,3.933342392
European Free Trade Association,H2 central production,solar,electrolysis,non-energy,23.72473461,23.72473461,23.72473461,23.72473461,23.72473461,19.98019227,16.8266617,14.17086183,11.93423441,10.05062025,8.46430227,7.591915075,7.591915075,7.591915075,7.591915075,7.591915075,7.591915075,7.591915075,7.591915075,7.591915075,7.591915075,7.591915075
India,H2 central production,solar,electrolysis,non-energy,10.58784833,10.58784833,10.58784833,10.58784833,10.58784833,8.926348136,7.525579186,6.34462618,5.348994459,4.509602444,3.801932186,3.49398995,3.49398995,3.49398995,3.49398995,3.49398995,3.49398995,3.49398995,3.49398995,3.49398995,3.49398995,3.49398995
Indonesia,H2 central production,solar,electrolysis,non-energy,11.29469069,11.29469069,11.29469069,11.29469069,11.29469069,9.52111269,8.026035358,6.765726408,5.70332073,4.807742049,4.052793926,3.727247929,3.727247929,3.727247929,3.727247929,3.727247929,3.727247929,3.727247929,3.727247929,3.727247929,3.727247929,3.727247929
Japan,H2 central production,solar,electrolysis,non-energy,13.82245594,13.82245594,13.82245594,13.82245594,13.82245594,11.64806881,9.815730832,8.27163484,6.970437973,5.873930181,4.949912173,4.423185901,4.423185901,4.423185901,4.423185901,4.423185901,4.423185901,4.423185901,4.423185901,4.423185901,4.423185901,4.423185901
Mexico,H2 central production,solar,electrolysis,non-energy,9.763295945,9.763295945,9.763295945,9.763295945,9.763295945,8.23253703,6.941781376,5.853399565,4.935661988,4.161813829,3.509295084,3.221887662,3.221887662,3.221887662,3.221887662,3.221887662,3.221887662,3.221887662,3.221887662,3.221887662,3.221887662,3.221887662
Middle East,H2 central production,solar,electrolysis,non-energy,9.576272331,9.576272331,9.576272331,9.576272331,9.576272331,8.075167803,6.809365147,5.741980209,4.841910516,4.082928989,3.442919706,3.160169869,3.160169869,3.160169869,3.160169869,3.160169869,3.160169869,3.160169869,3.160169869,3.160169869,3.160169869,3.160169869
Pakistan,H2 central production,solar,electrolysis,non-energy,10.09190823,10.09190823,10.09190823,10.09190823,10.09190823,8.509044563,7.174444882,6.049170267,5.100389161,4.30041947,3.625920893,3.330329717,3.330329717,3.330329717,3.330329717,3.330329717,3.330329717,3.330329717,3.330329717,3.330329717,3.330329717,3.330329717
Russia,H2 central production,solar,electrolysis,non-energy,20.03733708,20.03733708,20.03733708,20.03733708,20.03733708,16.87748957,14.21594362,11.97411809,10.0858239,8.495309882,7.155616707,6.411947864,6.411947864,6.411947864,6.411947864,6.411947864,6.411947864,6.411947864,6.411947864,6.411947864,6.411947864,6.411947864
South Africa,H2 central production,solar,electrolysis,non-energy,9.492908696,9.492908696,9.492908696,9.492908696,9.492908696,8.005022253,6.750342106,5.692316287,4.80012186,4.047766975,3.413333652,3.13265987,3.13265987,3.13265987,3.13265987,3.13265987,3.13265987,3.13265987,3.13265987,3.13265987,3.13265987,3.13265987
South America_Northern,H2 central production,solar,electrolysis,non-energy,10.77285578,10.77285578,10.77285578,10.77285578,10.77285578,9.082020625,7.656567609,6.454844134,5.441735112,4.587636883,3.867592182,3.555042408,3.555042408,3.555042408,3.555042408,3.555042408,3.555042408,3.555042408,3.555042408,3.555042408,3.555042408,3.555042408
South America_Southern,H2 central production,solar,electrolysis,non-energy,10.88034312,10.88034312,10.88034312,10.88034312,10.88034312,9.172464649,7.732670452,6.518879561,5.495616422,4.632974053,3.905739944,3.590513229,3.590513229,3.590513229,3.590513229,3.590513229,3.590513229,3.590513229,3.590513229,3.590513229,3.590513229,3.590513229
South Asia,H2 central production,solar,electrolysis,non-energy,10.2817435,10.2817435,10.2817435,10.2817435,10.2817435,8.668779484,7.308851632,6.162264512,5.195549975,4.380490239,3.693294228,3.392975354,3.392975354,3.392975354,3.392975354,3.392975354,3.392975354,3.392975354,3.392975354,3.392975354,3.392975354,3.392975354
South Korea,H2 central production,solar,electrolysis,non-energy,12.50230184,12.50230184,12.50230184,12.50230184,12.50230184,10.53724241,8.881042789,7.485157686,6.308671956,5.317101325,4.481381612,4.125759608,4.125759608,4.125759608,4.125759608,4.125759608,4.125759608,4.125759608,4.125759608,4.125759608,4.125759608,4.125759608
Southeast Asia,H2 central production,solar,electrolysis,non-energy,11.0134261,11.0134261,11.0134261,11.0134261,11.0134261,9.284445824,7.826895417,6.598163535,5.562328319,4.68910723,3.952971732,3.634430612,3.634430612,3.634430612,3.634430612,3.634430612,3.634430612,3.634430612,3.634430612,3.634430612,3.634430612,3.634430612
Taiwan,H2 central production,solar,electrolysis,non-energy,13.07792015,13.07792015,13.07792015,13.07792015,13.07792015,11.02158904,9.288588978,7.828080407,6.597217618,5.559891831,4.685671894,4.315713648,4.315713648,4.315713648,4.315713648,4.315713648,4.315713648,4.315713648,4.315713648,4.315713648,4.315713648,4.315713648
USA,H2 central production,solar,electrolysis,non-energy,13.07520204,13.07520204,13.07520204,13.07520204,13.07520204,11.01930193,9.286664523,7.826461108,6.595855091,5.558745361,4.684707224,4.314816675,4.314816675,4.314816675,4.314816675,4.314816675,4.314816675,4.314816675,4.314816675,4.314816675,4.314816675,4.314816675
Africa_Eastern,H2 central production,wind,electrolysis,non-energy,6.42113124,6.42113124,6.42113124,6.42113124,6.42113124,5.42029214,4.575450304,3.862290988,3.260289302,2.752119497,2.323156329,2.118973309,2.118973309,2.118973309,2.118973309,2.118973309,2.118973309,2.118973309,2.118973309,2.118973309,2.118973309,2.118973309
