# File: A62.globaltech_shrwt.csv
# Title: dac default shareweights
# Units: Unitless
# Column types: ccciiinn
# ----------
supplysector,subsector,technology,1971,2019,2020,2050,2100
CO2 removal,dac,hightemp DAC NG,1,1,1,1,1
CO2 removal,dac,hightemp DAC elec,1,1,1,1,1
CO2 removal,dac,lowtemp DAC heatpump,1,1,1,1,1
CO2 removal,no CDR,no CDR,1,1,1,1,1
process heat dac,gas CCS,gas CCS,1,1,1,1,1
airCO2,airCO2,airCO2,1,1,1,1,1
CO2 removal,dac,direct ocean capture (stand-alone),1,1,1,1,1
desalinated water,direct ocean capture,direct ocean capture (co-located with desal),0,0,0,1,1
