# File: fertilizer_commodity_naming.csv
# Title: Mapping between fertilizer commodity names at various points in the production-consumption chain
# Units: None
# Column types: ccccc
# ----------
ag_commodity,production_commodity,export_commodity,domestic_supply_commodity,subsector
N fertilizer,ammonia,traded ammonia,regional ammonia,synthetic N
P fertilizer,phosphate,traded phosphate,regional phosphate,geologic P
