UCD_region,UCD_sector,mode,size.class,UCD_technology,UCD_fuel,variable,unit,2005,2010,2015,2020,2025,2030,2035,2050,2065,2080,2095
India,Passenger,LDV_3W,Three-Wheeler,All,All,annual travel per vehicle,vkt/veh/yr,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478
India,Passenger,LDV_4W,Mini Car,All,All,annual travel per vehicle,vkt/veh/yr,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391
India,Passenger,LDV_4W,Subcompact Car,All,All,annual travel per vehicle,vkt/veh/yr,10392,10392,10392,10392,10392,10392,10392,10392,10392,10392,10392
India,Passenger,LDV_4W,Compact Car,All,All,annual travel per vehicle,vkt/veh/yr,10401,10401,10401,10401,10401,10401,10401,10401,10401,10401,10401
India,Passenger,LDV_4W,Multipurpose Vehicle,All,All,annual travel per vehicle,vkt/veh/yr,9466,9466,9466,9466,9466,9466,9466,9466,9466,9466,9466
Japan,Passenger,LDV_2W,Moped,All,All,annual travel per vehicle,vkt/veh/yr,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674
Japan,Passenger,LDV_2W,Motorcycle (50-250cc),All,All,annual travel per vehicle,vkt/veh/yr,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674
Japan,Passenger,LDV_2W,Motorcycle (>250cc),All,All,annual travel per vehicle,vkt/veh/yr,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674
Japan,Passenger,LDV_4W,Mini Car,All,All,annual travel per vehicle,vkt/veh/yr,9424,9424,9424,9424,9424,9424,9424,9424,9424,9424,9424
Japan,Passenger,LDV_4W,Subcompact Car,All,All,annual travel per vehicle,vkt/veh/yr,9164,9164,9164,9164,9164,9164,9164,9164,9164,9164,9164
Japan,Passenger,LDV_4W,Compact Car,All,All,annual travel per vehicle,vkt/veh/yr,10925,10925,10925,10925,10925,10925,10925,10925,10925,10925,10925
Japan,Passenger,LDV_4W,Large Car and SUV,All,All,annual travel per vehicle,vkt/veh/yr,8710,8710,8710,8710,8710,8710,8710,8710,8710,8710,8710
Korea,Passenger,LDV_2W,Motorcycle (50-250cc),All,All,annual travel per vehicle,vkt/veh/yr,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674,3674
Korea,Passenger,LDV_4W,Subcompact Car,All,All,annual travel per vehicle,vkt/veh/yr,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353
Korea,Passenger,LDV_4W,Compact Car,All,All,annual travel per vehicle,vkt/veh/yr,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353
Korea,Passenger,LDV_4W,Large Car,All,All,annual travel per vehicle,vkt/veh/yr,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353
Korea,Passenger,LDV_4W,Light Truck and SUV,All,All,annual travel per vehicle,vkt/veh/yr,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353
Latin America,Passenger,LDV_2W,Moped,All,All,annual travel per vehicle,vkt/veh/yr,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500
Latin America,Passenger,LDV_2W,Motorcycle (50-250cc),All,All,annual travel per vehicle,vkt/veh/yr,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000
Latin America,Passenger,LDV_2W,Motorcycle (>250cc),All,All,annual travel per vehicle,vkt/veh/yr,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000
Latin America,Passenger,LDV_4W,Mini Car,All,All,annual travel per vehicle,vkt/veh/yr,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000
Latin America,Passenger,LDV_4W,Subcompact Car,All,All,annual travel per vehicle,vkt/veh/yr,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000
Latin America,Passenger,LDV_4W,Compact Car,All,All,annual travel per vehicle,vkt/veh/yr,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000
Latin America,Passenger,LDV_4W,Large Car and SUV,All,All,annual travel per vehicle,vkt/veh/yr,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000
Middle East,Passenger,LDV_2W,Motorcycle (50-250cc),All,All,annual travel per vehicle,vkt/veh/yr,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
Middle East,Passenger,LDV_4W,Mini Car,All,All,annual travel per vehicle,vkt/veh/yr,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
Middle East,Passenger,LDV_4W,Subcompact Car,All,All,annual travel per vehicle,vkt/veh/yr,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000
Middle East,Passenger,LDV_4W,Compact Car,All,All,annual travel per vehicle,vkt/veh/yr,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000
Middle East,Passenger,LDV_4W,Large Car and SUV,All,All,annual travel per vehicle,vkt/veh/yr,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000
Southeast Asia,Passenger,LDV_2W,Moped,All,All,annual travel per vehicle,vkt/veh/yr,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478
Southeast Asia,Passenger,LDV_2W,Scooter,All,All,annual travel per vehicle,vkt/veh/yr,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478
Southeast Asia,Passenger,LDV_2W,Motorcycle (50-250cc),All,All,annual travel per vehicle,vkt/veh/yr,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478
Southeast Asia,Passenger,LDV_3W,Three-Wheeler,All,All,annual travel per vehicle,vkt/veh/yr,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478
Southeast Asia,Passenger,LDV_4W,Mini Car,All,All,annual travel per vehicle,vkt/veh/yr,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391
Southeast Asia,Passenger,LDV_4W,Subcompact Car,All,All,annual travel per vehicle,vkt/veh/yr,10392,10392,10392,10392,10392,10392,10392,10392,10392,10392,10392
Southeast Asia,Passenger,LDV_4W,Compact Car,All,All,annual travel per vehicle,vkt/veh/yr,10401,10401,10401,10401,10401,10401,10401,10401,10401,10401,10401
Southeast Asia,Passenger,LDV_4W,Multipurpose Vehicle,All,All,annual travel per vehicle,vkt/veh/yr,9466,9466,9466,9466,9466,9466,9466,9466,9466,9466,9466
USA,Passenger,LDV_2W,Motorcycle (>250cc),All,All,annual travel per vehicle,vkt/veh/yr,3438,3438,3438,3438,3438,3438,3438,3438,3438,3438,3438
USA,Passenger,LDV_4W,Compact Car,All,All,annual travel per vehicle,vkt/veh/yr,19204,19204,19204,19204,19204,19204,19204,19204,19204,19204,19204
USA,Passenger,LDV_4W,Midsize Car,All,All,annual travel per vehicle,vkt/veh/yr,19204,19204,19204,19204,19204,19204,19204,19204,19204,19204,19204
USA,Passenger,LDV_4W,Large Car,All,All,annual travel per vehicle,vkt/veh/yr,19204,19204,19204,19204,19204,19204,19204,19204,19204,19204,19204
USA,Passenger,LDV_4W,Light Truck and SUV,All,All,annual travel per vehicle,vkt/veh/yr,16587,16587,16587,16587,16587,16587,16587,16587,16587,16587,16587
Western Europe,Passenger,LDV_2W,Moped,All,All,annual travel per vehicle,vkt/veh/yr,3606,3606,3606,3606,3606,3606,3606,3606,3606,3606,3606
Western Europe,Passenger,LDV_2W,Motorcycle (50-250cc),All,All,annual travel per vehicle,vkt/veh/yr,4377,4377,4377,4377,4377,4377,4377,4377,4377,4377,4377
Western Europe,Passenger,LDV_2W,Motorcycle (>250cc),All,All,annual travel per vehicle,vkt/veh/yr,4327,4327,4327,4327,4327,4327,4327,4327,4327,4327,4327
Western Europe,Passenger,LDV_4W,Subcompact Car,All,All,annual travel per vehicle,vkt/veh/yr,11646,11646,11646,11646,11646,11646,11646,11646,11646,11646,11646
Western Europe,Passenger,LDV_4W,Compact Car,All,All,annual travel per vehicle,vkt/veh/yr,11646,11646,11646,11646,11646,11646,11646,11646,11646,11646,11646
Western Europe,Passenger,LDV_4W,Van,All,All,annual travel per vehicle,vkt/veh/yr,11646,11646,11646,11646,11646,11646,11646,11646,11646,11646,11646
Western Europe,Passenger,LDV_4W,Large Car and SUV,All,All,annual travel per vehicle,vkt/veh/yr,11646,11646,11646,11646,11646,11646,11646,11646,11646,11646,11646
Africa,Passenger,Air Domestic,All,Liquids,Liquids,CAPEX,2005$/vkt,5.0155,4.893233333,4.770966667,4.6487,4.591133333,4.533566667,4.476,4.6121,4.6121,4.6121,4.6121
Africa,Passenger,Air International,All,Liquids,Liquids,CAPEX,2005$/vkt,8.681,8.4694,8.2578,8.0462,7.946533333,7.846866667,7.7472,7.9829,7.9829,7.9829,7.9829
Australia_NZ,Passenger,Air Domestic,All,Liquids,Liquids,CAPEX,2005$/vkt,4.9221,4.8021,4.6821,4.5621,4.5056,4.4491,4.3926,4.5263,4.5263,4.5263,4.5263
